Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,33.82,33.87,33.75,33.95,0.0,0.0,80746
07/11/2019,33.69,33.87,33.65,34.032,0.0,0.0,130612
07/10/2019,33.41,33.58,33.38,33.619,0.0,0.0,89297
07/09/2019,32.94,33.14,32.8371,33.19,0.0,0.0,61838
07/08/2019,32.79,32.97,32.75,33,0.0,0.0,116236
07/05/2019,32.93,32.94,32.7,32.975,0.0,0.0,61363
07/03/2019,32.86,32.99,32.8401,33.05,0.0,0.0,46830
07/02/2019,32.65,32.81,32.56,32.81,0.0,0.0,58313
07/01/2019,32.82,32.64,32.47,32.84,0.0,0.0,90384
06/28/2019,31.99,32.31,31.9532,32.31,0.0,0.0,107634
06/27/2019,31.65,31.88,31.65,32.0093,0.0,0.0,79938
06/26/2019,31.54,31.57,31.37,31.7599,0.0,0.0,115417
06/25/2019,32.15,31.31,31.15,32.25,0.0,0.0,269050
06/24/2019,32.65,32.39,32.31,32.77,0.0,0.0,95288
06/21/2019,32.84,32.66,32.53,32.8693,0.0,0.0,116553
06/20/2019,33.18,32.9,32.79,33.2399,0.0,0.0,101021
06/19/2019,32.55,32.71,32.3601,32.72,0.0,0.0,127012
06/18/2019,32.54,32.5,32.49,32.81,0.0,0.0,80177
06/17/2019,32.09,32.18,32.09,32.5199,0.0,0.0,69345
06/14/2019,32.19,32.15,31.89,32.2329,0.0,0.0,61346
06/13/2019,32.31,32.29,32.2465,32.45,0.0,0.0,69032
06/12/2019,32.4,32.28,32.28,32.72,0.0,0.0,63626
06/11/2019,33.05,32.55,32.38,33.05,0.0,0.0,66913
06/10/2019,32.55,32.66,32.55,32.9,0.0,0.0,121857
06/07/2019,31.75,32.24,31.6191,32.2539,0.0,0.0,94659
06/06/2019,31.26,31.56,31.091,31.6808,0.0,0.0,86771
06/05/2019,31.13,31.21,30.7601,31.25,0.0,0.0,99154
06/04/2019,30.21,30.78,30,30.91,0.0,0.0,127778
06/03/2019,30.83,29.98,29.7,31.12,0.0,0.0,179310
05/31/2019,30.9,30.81,30.67,31.01,0.0,0.0,74414
05/30/2019,31.1,31.16,31.1,31.38,0.0,0.0,65781
05/29/2019,31.38,31.1,30.64,31.41,0.0,0.0,184284
05/28/2019,31.54,31.63,31.54,32.03,0.0,0.0,55739
05/24/2019,31.79,31.64,31.56,31.98,0.0,0.0,78479
05/23/2019,31.9,31.7,31.52,31.9,0.0,0.0,71420
05/22/2019,32.07,32.2,32.07,32.4306,0.0,0.0,48494
05/21/2019,32.47,32.25,32.0685,32.47,0.0,0.0,101876
05/20/2019,32.5,31.89,31.57,32.5218,0.0,0.0,114598
05/17/2019,32.9,32.81,32.71,33.23,0.0,0.0,77352
05/16/2019,32.9,33,32.8355,33.32,0.0,0.0,81203
05/15/2019,32.22,32.77,32.0925,32.85,0.0,0.0,76558
05/14/2019,31.94,32.45,31.94,32.56,0.0,0.0,82367
05/13/2019,32.03,31.81,31.71,32.5,0.0,0.0,152380
05/10/2019,33.15,33.11,32.44,33.15,0.0,0.0,50159
05/09/2019,33.01,33.07,31.86,33.15,0.0,0.0,140270
05/08/2019,33.07,33.31,33.0131,33.3962,0.0,0.0,51503
05/07/2019,33.51,33.12,33.12,33.8628,0.0,0.0,100509
05/06/2019,33.5,34.11,33.41,34.11,0.0,0.0,76445
05/03/2019,33.54,34.18,33.54,34.24,0.0,0.0,84333
05/02/2019,33.57,33.54,33.14,33.78,0.0,0.0,70136
05/01/2019,34.35,33.77,33.39,34.61,0.0,0.0,164029
04/30/2019,34.4,34.05,33.78,34.4127,0.0,0.0,162315
04/29/2019,34,34.46,33.96,34.69,0.0,0.0,124854
04/26/2019,34.2,33.96,33.69,34.2131,0.0,0.0,91644
04/25/2019,34.04,34.15,33.99,34.15,0.0,0.0,71998
04/24/2019,34.06,33.97,33.92,34.15,0.0,0.0,53551
04/23/2019,33.7,34,33.53,34.01,0.0,0.0,75147
04/22/2019,33.45,33.67,33.4419,33.7694,0.0,0.0,47095
04/18/2019,33.63,33.58,33.52,33.73,0.0,0.0,46964
04/17/2019,33.75,33.71,33.65,33.85,0.0,0.0,57844
04/16/2019,33.91,33.74,33.5,33.9688,0.0,0.0,70369
04/15/2019,34,33.76,33.57,34.14,0.0,0.0,53577
04/12/2019,33.97,33.96,33.596,33.97,0.0,0.0,31712
