Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,17.94,17.86,17.64,17.98,0.0,0.0,1919
07/15/2019,17.94,17.97,17.94,17.97,0.0,0.0,847
07/12/2019,18.1,17.8,17.8,18.1,0.0,0.0,4113
07/11/2019,18.24,18.09,18.01,18.24,0.0,0.0,3261
07/10/2019,18.14,18.22,18.14,18.2795,0.0,0.0,2303
07/09/2019,18.05,18.14,18.05,18.37,0.0,0.0,10517
07/08/2019,18,18.12,17.99,18.18,0.0,0.0,3934
07/05/2019,18.02,17.8,17.8,18.43,0.0,0.0,4296
07/03/2019,18.32,18.15,17.5324,18.32,0.0,0.0,4342
07/02/2019,18.6,17.82,17.63,18.6,0.0,0.0,11393
07/01/2019,18.45,18.26,17.482,18.65,0.0,0.0,16141
06/28/2019,16.95,18.49,16.79,19.25,0.0,0.0,97516
06/27/2019,16.86,16.93,16.6,16.94,0.0,0.0,12511
06/26/2019,16.93,16.6,16.595,17.0975,0.0,0.0,3624
06/25/2019,16.75,16.45,16.395,16.96,0.0,0.0,4431
06/24/2019,16.95,16.65,16.65,16.95,0.0,0.0,1965
06/21/2019,16.54,16.95,16.54,17.07,0.0,0.0,6942
06/20/2019,16.95,16.69,16.5,17.225,0.0,0.0,2223
06/19/2019,17.075,16.95,16.4,17.075,0.0,0.0,4272
06/18/2019,16.668,16.95,16.66,16.96,0.0,0.0,7487
06/17/2019,16.9,16.75,16.37,17,0.0,0.0,12652
06/14/2019,16.8,16.6,16.6,17.5,0.0,0.0,3488
06/13/2019,17.05,16.75,16.57,17.05,0.0,0.0,9098
06/12/2019,17.03,16.9,16.9,17.05,0.0,0.0,3103
06/11/2019,17.07,17,17,17.07,0.0,0.0,10667
06/10/2019,17.05,17.07,17.01,17.19,0.0,0.0,20624
06/07/2019,17.245,17,17,17.245,0.0,0.0,2539
06/06/2019,16.93,16.96,16.93,17.18,0.0,0.0,3197
06/05/2019,17.195,17.05,17.05,17.38,0.0,0.0,1931
06/04/2019,17.3,17.21,16.97,17.3,0.0,0.0,1664
06/03/2019,17.15,17.09,16.85,17.15,0.0,0.0,4412
05/31/2019,17.3,16.94,16.94,17.31,0.0,0.0,6547
05/30/2019,17.35,17.45,17.35,17.49,0.0,0.0,1750
05/29/2019,17.25,17.31,17.25,17.5,0.0,0.0,4871
05/28/2019,17.5,17.25,17.25,17.5,0.0,0.0,2507
05/24/2019,17.25,17.5,17.25,17.64,0.0,0.0,3657
05/23/2019,17.27,17.27,17.27,17.4318,0.0,0.0,1776
05/22/2019,17.27,17.27,17.27,17.27,0.0,0.0,646
05/21/2019,17.426,17.5,17.35,17.5,0.0,0.0,2917
05/20/2019,17.49,17.48,17.28,17.5,0.0,0.0,1355
05/17/2019,17.41,17.51,17.41,17.6024,0.0,0.0,1807
05/16/2019,17.45,17.45,17.45,17.45,0.0,0.0,399
05/15/2019,17.441,17.7,17.441,17.7,0.0,0.0,1464
05/14/2019,17.3671,17.7,17.3671,17.7,0.0,0.0,1403
05/13/2019,17.53,17.5,17.27,17.7,0.0,0.0,11707
05/10/2019,17.5,17.68,17.5,17.68,0.0,0.0,1104
05/09/2019,17.7,17.6,17.6,17.7,0.0,0.0,2726
05/08/2019,17.9,17.9,17.9,17.9,0.0,0.0,909
05/07/2019,17.7668,17.75,17.5101,17.7668,0.0,0.0,6103
05/06/2019,17.64,17.65,17.5578,18,0.0,0.0,9905
05/03/2019,17.63,17.65,17.501,17.75,0.0,0.0,10993
05/02/2019,17.44,17.44,17.44,17.44,0.0,0.0,628
05/01/2019,17.6985,17.27,17.27,17.6985,0.0,0.0,1297
04/30/2019,17.97,17.32,17.25,17.97,0.0,0.0,3977
04/29/2019,17.76,17.67,17.67,18,0.0,0.0,4814
04/26/2019,17.79,17.81,17.36,17.81,0.0,0.0,2789
04/25/2019,17.61,17.61,17.5239,17.61,0.0,0.0,1113
04/24/2019,17.75,17.75,17.75,17.75,0.0,0.0,540
04/23/2019,17.81,17.5,17.4748,17.81,0.0,0.0,1755
04/22/2019,17.5,17.42,17.39,17.5,0.0,0.0,6054
04/18/2019,17.28,17.44,17.12,17.5,0.0,0.0,20265
04/17/2019,17.4,17.45,16.9047,17.5,0.0,0.0,2093
04/16/2019,17.2,17.48,17.2,17.7,0.0,0.0,7115
