Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,36.07,36.24,36.02,36.25,0.0,0.0,1236368
07/11/2019,35.97,36.02,35.93,36.15,0.0,0.0,1006135
07/10/2019,36.01,35.92,35.88,36.13,0.0,0.0,738972
07/09/2019,35.66,35.98,35.65,36.01,0.0,0.0,1008221
07/08/2019,35.67,35.72,35.54,35.75,0.0,0.0,880266
07/05/2019,35.58,35.6,35.315,35.65,0.0,0.0,628879
07/03/2019,35.53,35.59,35.51,35.795,0.0,0.0,495377
07/02/2019,35.47,35.52,35.33,35.565,0.0,0.0,1029915
07/01/2019,35.73,35.4,35.38,35.8,0.0,0.0,1147156
06/28/2019,35.42,35.58,35.42,35.91,0.0,0.0,3163722
06/27/2019,35.15,35.36,35.065,35.395,0.0,0.0,1104481
06/26/2019,36.07,35.74,35.71,36.15,0.0,0.0,1589440
06/25/2019,36.16,35.84,35.8,36.21,0.0,0.0,1374134
06/24/2019,36.01,36.1,36.01,36.28,0.0,0.0,1649457
06/21/2019,35.96,36.08,35.85,36.21,0.0,0.0,6347681
06/20/2019,36.7,36.62,36.53,36.77,0.0,0.0,893533
06/19/2019,36.36,36.59,36.29,36.61,0.0,0.0,700952
06/18/2019,36.37,36.36,36.215,36.53,0.0,0.0,776691
06/17/2019,36.56,36.27,36.11,36.65,0.0,0.0,1065974
06/14/2019,36.28,36.46,36.2,36.54,0.0,0.0,493297
06/13/2019,36.24,36.27,36.2,36.41,0.0,0.0,437041
06/12/2019,36.12,36.22,36.11,36.32,0.0,0.0,508957
06/11/2019,36.48,36.09,35.98,36.48,0.0,0.0,673704
06/10/2019,36.42,36.33,36.21,36.5,0.0,0.0,701965
06/07/2019,36.25,36.37,36.13,36.4,0.0,0.0,809581
06/06/2019,36,36.21,35.88,36.28,0.0,0.0,581866
06/05/2019,36,36.01,35.78,36.08,0.0,0.0,594174
06/04/2019,35.98,35.97,35.58,36.1,0.0,0.0,801716
06/03/2019,35.31,35.77,35.305,35.82,0.0,0.0,800900
05/31/2019,35.3,35.26,35.06,35.44,0.0,0.0,834435
05/30/2019,35.65,35.46,35.385,35.73,0.0,0.0,613176
05/29/2019,35.82,35.64,35.54,35.85,0.0,0.0,810050
05/28/2019,36.26,35.9,35.89,36.38,0.0,0.0,700927
05/24/2019,36.07,36.23,36.035,36.32,0.0,0.0,759461
05/23/2019,35.76,35.9,35.67,35.91,0.0,0.0,788592
05/22/2019,35.8,35.89,35.785,35.98,0.0,0.0,529445
05/21/2019,35.95,35.87,35.84,35.99,0.0,0.0,439997
05/20/2019,35.87,35.86,35.77,35.985,0.0,0.0,522113
05/17/2019,35.82,35.84,35.81,36,0.0,0.0,545528
05/16/2019,35.77,35.94,35.71,36.07,0.0,0.0,609176
05/15/2019,35.44,35.71,35.44,35.85,0.0,0.0,488785
05/14/2019,35.51,35.6,35.48,35.775,0.0,0.0,911152
05/13/2019,35.31,35.43,35.3,35.67,0.0,0.0,1096368
05/10/2019,35.29,35.78,35.16,35.79,0.0,0.0,927091
05/09/2019,35.48,35.28,35.2,35.5,0.0,0.0,856313
05/08/2019,35.61,35.61,35.5081,35.7945,0.0,0.0,676693
05/07/2019,35.78,35.66,35.46,35.83,0.0,0.0,832312
05/06/2019,35.68,35.78,35.65,35.96,0.0,0.0,791369
05/03/2019,35.71,35.94,35.71,35.98,0.0,0.0,637392
05/02/2019,35.59,35.69,35.51,35.8,0.0,0.0,657404
05/01/2019,35.64,35.57,35.57,35.78,0.0,0.0,625313
04/30/2019,35.55,35.59,35.4,35.6662,0.0,0.0,778626
04/29/2019,35.75,35.57,35.54,35.77,0.0,0.0,829280
04/26/2019,35.64,35.75,35.58,35.79,0.0,0.0,1090736
04/25/2019,35.71,35.58,35.34,35.75,0.0,0.0,1061354
04/24/2019,35.25,35.59,34.95,35.74,0.0,0.0,1945063
04/23/2019,34.65,35.04,34.65,35.05,0.0,0.0,881666
04/22/2019,34.75,34.65,34.485,34.83,0.0,0.0,727683
04/18/2019,34.63,34.72,34.57,34.83,0.0,0.0,471334
04/17/2019,34.85,34.63,34.54,34.85,0.0,0.0,753510
04/16/2019,34.88,34.76,34.665,34.95,0.0,0.0,948773
04/15/2019,34.9,34.8,34.68,34.9,0.0,0.0,583547
04/12/2019,34.77,34.84,34.615,34.85,0.0,0.0,560837
