Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,32.7601,32.66,32.6204,32.7864,0.0,0.0,31024
07/15/2019,32.7146,32.72,32.6882,32.7799,0.0,0.0,12315
07/12/2019,32.545,32.73,32.52,32.73,0.0,0.0,19193
07/11/2019,32.3987,32.49,32.3601,32.509,0.0,0.0,18251
07/10/2019,32.25,32.335,32.1815,32.4392,0.0,0.0,14111
07/09/2019,32.01,32.2264,32.01,32.2264,0.0,0.0,11272
07/08/2019,32.22,32.07,32.01,32.22,0.0,0.0,84161
07/05/2019,32.28,32.26,32.105,32.28,0.0,0.0,2241
07/03/2019,32.25,32.28,32.1675,32.2994,0.0,0.0,8795
07/02/2019,32.15,32.07,32.0106,32.15,0.0,0.0,42695
07/01/2019,32.0994,31.91,31.91,32.1048,0.0,0.0,29162
06/28/2019,31.6619,31.7,31.6131,31.78,0.0,0.0,21235
06/27/2019,31.699,31.7114,31.64,31.785,0.0,0.0,15663
06/26/2019,31.67,31.57,31.55,31.67,0.0,0.0,24749
06/25/2019,31.94,31.53,31.4484,31.94,0.0,0.0,16401
06/24/2019,31.8,31.725,31.66,31.8,0.0,0.0,16397
06/21/2019,31.68,31.83,31.68,31.9223,0.0,0.0,17404
06/20/2019,31.8785,31.9,31.7225,31.9,0.0,0.0,64249
06/19/2019,31.35,31.5599,31.32,31.5599,0.0,0.0,30872
06/18/2019,31.11,31.37,31.11,31.4899,0.0,0.0,49986
06/17/2019,30.95,30.89,30.89,31.0299,0.0,0.0,6309
06/14/2019,31.05,30.88,30.785,31.05,0.0,0.0,52164
06/13/2019,30.9,30.93,30.9,31.0361,0.0,0.0,40610
06/12/2019,31,30.92,30.8177,31,0.0,0.0,7179
06/11/2019,31.14,30.95,30.933,31.21,0.0,0.0,20782
06/10/2019,30.98,31.0006,30.9518,31.1446,0.0,0.0,9748
06/07/2019,30.41,30.77,30.41,30.8331,0.0,0.0,13344
06/06/2019,30.43,30.381,30.2268,30.4419,0.0,0.0,119516
06/05/2019,30.19,30.22,29.99,30.289,0.0,0.0,28255
06/04/2019,29.66,30.178,29.66,30.18,0.0,0.0,11983
06/03/2019,29.72,29.4399,29.34,29.77,0.0,0.0,34877
05/31/2019,29.78,29.88,29.77,29.9426,0.0,0.0,9271
05/30/2019,30.16,30.1517,30.1517,30.37,0.0,0.0,6966
05/29/2019,30.22,30.2282,30.0835,30.3399,0.0,0.0,5738
05/28/2019,30.75,30.52,30.519,30.7596,0.0,0.0,12888
05/24/2019,30.94,30.7,30.62,30.94,0.0,0.0,6461
05/23/2019,30.845,30.68,30.59,30.845,0.0,0.0,58405
05/22/2019,31.25,31.23,31.15,31.2899,0.0,0.0,12325
05/21/2019,31.23,31.24,31.1949,31.3095,0.0,0.0,6439
05/20/2019,31.04,30.8663,30.8,31.07,0.0,0.0,5867
05/17/2019,31.3,31.2355,31.1048,31.46,0.0,0.0,9134
05/16/2019,31.32,31.42,31.32,31.6019,0.0,0.0,138864
05/15/2019,30.78,31.18,30.78,31.23,0.0,0.0,8486
05/14/2019,30.85,30.84,30.8,31.1,0.0,0.0,7746
05/13/2019,30.68,30.5496,30.5,30.7605,0.0,0.0,13467
05/10/2019,31.18,31.48,30.9947,31.48,0.0,0.0,11033
05/09/2019,31.38,31.4,31.0001,31.45,0.0,0.0,20908
05/08/2019,31.569,31.55,31.48,31.68,0.0,0.0,8422
05/07/2019,31.8578,31.48,31.4,31.8578,0.0,0.0,19500
05/06/2019,31.6585,32.1001,31.6585,32.1093,0.0,0.0,20141
05/03/2019,32.02,32.1501,32,32.21,0.0,0.0,19307
05/02/2019,31.8575,31.76,31.63,31.9693,0.0,0.0,10916
05/01/2019,32.39,32,32,32.39,0.0,0.0,20615
04/30/2019,32.1,32.1215,31.9419,32.1601,0.0,0.0,6319
04/29/2019,32.16,32.221,32.16,32.25,0.0,0.0,5808
04/26/2019,31.937,32.12,31.9301,32.12,0.0,0.0,9954
04/25/2019,31.82,31.9398,31.82,32.02,0.0,0.0,13345
04/24/2019,32.05,31.9079,31.86,32.05,0.0,0.0,15701
04/23/2019,31.7,31.9178,31.672,31.97,0.0,0.0,6128
04/22/2019,31.45,31.4646,31.371,31.49,0.0,0.0,8478
04/18/2019,31.3,31.43,31.228,31.43,0.0,0.0,5947
04/17/2019,31.59,31.356,31.2508,31.59,0.0,0.0,15300
04/16/2019,31.58,31.4745,31.45,31.58,0.0,0.0,6930
