Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,209.83,213.43,209.65,214.09,0.0,0.0,216408
07/11/2019,210.76,209.1,207.9714,210.89,0.0,0.0,282288
07/10/2019,210.44,210.36,209.69,211.92,0.0,0.0,196142
07/09/2019,207,209.45,205.09,209.57,0.0,0.0,287604
07/08/2019,213.87,209.67,209.23,214.36,0.0,0.0,215819
07/05/2019,212.84,214.67,211.75,215.09,0.0,0.0,175503
07/03/2019,211.17,214.29,210.15,215.29,0.0,0.0,383929
07/02/2019,209.37,209.93,208.85,211.55,0.0,0.0,554029
07/01/2019,207.6,209.21,205.975,209.29,0.0,0.0,512778
06/28/2019,206.66,204.59,204.55,207.36,0.0,0.0,3220621
06/27/2019,201.3,205.49,200.935,205.8,0.0,0.0,377617
06/26/2019,204.74,200.99,200.92,204.74,0.0,0.0,299978
06/25/2019,202.35,203.32,201.87,205.02,0.0,0.0,388681
06/24/2019,204.56,202.12,201.76,205.58,0.0,0.0,375542
06/21/2019,208.36,203.44,203.26,208.36,0.0,0.0,509730
06/20/2019,207.73,209.66,207.73,212.845,0.0,0.0,319997
06/19/2019,203.99,206.21,202.8,206.755,0.0,0.0,310984
06/18/2019,204.17,204.03,202.12,207.185,0.0,0.0,281385
06/17/2019,203.11,203,201.98,204.11,0.0,0.0,216861
06/14/2019,204,202.75,201.815,204.005,0.0,0.0,207105
06/13/2019,204.99,203.99,203.31,206.75,0.0,0.0,229071
06/12/2019,202.84,203.77,202.13,204.8,0.0,0.0,219826
06/11/2019,207.93,202.78,202.13,207.93,0.0,0.0,238842
06/10/2019,209.11,206.47,205.77,209.43,0.0,0.0,190829
06/07/2019,207.59,208.05,207.095,210.12,0.0,0.0,188296
06/06/2019,205.03,206.73,204.22,207.28,0.0,0.0,118304
06/05/2019,205.29,204.41,203.26,206.31,0.0,0.0,186189
06/04/2019,203.58,205.07,201.83,206.52,0.0,0.0,293458
06/03/2019,203.14,201.24,199.3165,204.39,0.0,0.0,175881
05/31/2019,199.72,203.52,199.51,204.33,0.0,0.0,206105
05/30/2019,201.6,202,200.31,202.57,0.0,0.0,168215
05/29/2019,201.62,201.24,200.37,203.18,0.0,0.0,156445
05/28/2019,205.83,202.9,202.84,206.6744,0.0,0.0,152073
05/24/2019,206.55,205.35,204.44,207.72,0.0,0.0,100447
05/23/2019,207.16,204.97,203.41,207.215,0.0,0.0,171686
05/22/2019,205.49,208.76,205.17,209.79,0.0,0.0,216560
05/21/2019,204.72,205.55,203.945,206.15,0.0,0.0,117048
05/20/2019,202.25,203.29,202.25,205.42,0.0,0.0,126074
05/17/2019,203.9,203.75,203.01,206.99,0.0,0.0,103885
05/16/2019,202.95,205.64,202.3,207.11,0.0,0.0,154928
05/15/2019,196.82,202.19,196.82,202.3,0.0,0.0,169547
05/14/2019,197.64,198.32,196.03,199.88,0.0,0.0,103798
05/13/2019,200.22,197.07,196.11,201.72,0.0,0.0,122385
05/10/2019,201.71,204.08,199.42,204.7599,0.0,0.0,161060
05/09/2019,200.59,202.94,199.04,203.9999,0.0,0.0,142380
05/08/2019,199.27,200.07,198.38,201.61,0.0,0.0,151279
05/07/2019,202.73,199.5,197.85,204.1775,0.0,0.0,203546
05/06/2019,201.16,204.41,199.8,205.12,0.0,0.0,232903
05/03/2019,203.85,204.81,203.45,206.15,0.0,0.0,241738
05/02/2019,201.1,202.71,197.48,207.77,0.0,0.0,525073
05/01/2019,195.82,190.03,189.93,195.82,0.0,0.0,234009
04/30/2019,190.55,194.94,190.0101,195.9,0.0,0.0,239503
04/29/2019,189.95,190.61,189.3452,190.93,0.0,0.0,102882
04/26/2019,188,189.51,187.17,190.2,0.0,0.0,102063
04/25/2019,189.88,187.75,186.3911,189.88,0.0,0.0,65765
04/24/2019,190.13,190.59,190.005,191.745,0.0,0.0,97121
04/23/2019,188.13,190.42,188.13,192.48,0.0,0.0,161987
04/22/2019,185.96,187.51,185.79,187.58,0.0,0.0,90247
04/18/2019,185.89,186.32,184.79,186.72,0.0,0.0,184066
04/17/2019,187.15,186.29,185.75,187.9046,0.0,0.0,150587
04/16/2019,187.75,186.95,186.44,187.91,0.0,0.0,152553
04/15/2019,186.29,186.84,185.715,187.66,0.0,0.0,83192
04/12/2019,185.75,186.45,184.22,186.575,0.0,0.0,135074
