Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.79,6.5,6.46,6.8105,0.0,0.0,292043
07/15/2019,6.61,6.78,6.48,6.8,0.0,0.0,688127
07/12/2019,6.42,6.6,6.41,6.65,0.0,0.0,213618
07/11/2019,6.38,6.38,6.22,6.43,0.0,0.0,138550
07/10/2019,6.22,6.4,6.18,6.53,0.0,0.0,222395
07/09/2019,6.11,6.17,6.05,6.2131,0.0,0.0,125214
07/08/2019,6.33,6.15,6.11,6.34,0.0,0.0,114646
07/05/2019,6.33,6.36,6.26,6.37,0.0,0.0,109761
07/03/2019,6.4,6.36,6.31,6.4,0.0,0.0,53258
07/02/2019,6.42,6.37,6.34,6.57,0.0,0.0,158155
07/01/2019,6.55,6.38,6.3002,6.73,0.0,0.0,298713
06/28/2019,6.52,6.43,6.4,6.69,0.0,0.0,888409
06/27/2019,6.43,6.48,6.42,6.56,0.0,0.0,163902
06/26/2019,6.2,6.41,6.195,6.46,0.0,0.0,198787
06/25/2019,6.27,6.14,6.14,6.38,0.0,0.0,244591
06/24/2019,6.48,6.27,6.2,6.48,0.0,0.0,249380
06/21/2019,6.3,6.47,6.205,6.48,0.0,0.0,411185
06/20/2019,6.33,6.31,6.24,6.48,0.0,0.0,165783
06/19/2019,6.22,6.25,6.08,6.3,0.0,0.0,153944
06/18/2019,6.19,6.16,6.12,6.3316,0.0,0.0,165518
06/17/2019,6.09,6.11,5.91,6.18,0.0,0.0,524336
06/14/2019,6.13,6.12,5.97,6.27,0.0,0.0,470754
06/13/2019,5.69,6.15,5.69,6.18,0.0,0.0,411818
06/12/2019,5.69,5.68,5.61,5.79,0.0,0.0,154782
06/11/2019,5.78,5.71,5.7,5.92,0.0,0.0,179577
06/10/2019,5.7,5.74,5.6605,5.82,0.0,0.0,179832
06/07/2019,5.67,5.64,5.46,5.675,0.0,0.0,235201
06/06/2019,5.75,5.65,5.55,5.78,0.0,0.0,221388
06/05/2019,5.79,5.75,5.57,5.936,0.0,0.0,212699
06/04/2019,5.77,5.74,5.74,5.94,0.0,0.0,202477
06/03/2019,5.61,5.72,5.61,5.83,0.0,0.0,307445
05/31/2019,5.68,5.62,5.5344,5.72,0.0,0.0,218783
05/30/2019,5.84,5.74,5.66,5.92,0.0,0.0,195590
05/29/2019,5.9,5.84,5.79,5.96,0.0,0.0,120315
05/28/2019,6.07,5.94,5.86,6.16,0.0,0.0,169170
05/24/2019,6,6.06,5.98,6.09,0.0,0.0,175331
05/23/2019,5.87,5.96,5.78,6,0.0,0.0,336775
05/22/2019,6.22,6.01,6,6.27,0.0,0.0,317818
05/21/2019,6.19,6.25,6.14,6.32,0.0,0.0,313107
05/20/2019,6.31,6.14,6.13,6.39,0.0,0.0,245664
05/17/2019,6.5,6.36,6.33,6.58,0.0,0.0,236497
05/16/2019,6.73,6.57,6.56,6.91,0.0,0.0,333732
05/15/2019,6.46,6.73,6.4413,6.76,0.0,0.0,362795
05/14/2019,6.51,6.5,6.32,6.7,0.0,0.0,374951
05/13/2019,6.59,6.53,6.425,6.7299,0.0,0.0,277645
05/10/2019,6.82,6.78,6.56,6.84,0.0,0.0,360262
05/09/2019,6.92,6.86,6.715,7,0.0,0.0,357581
05/08/2019,7.07,7,6.82,7.19,0.0,0.0,504490
05/07/2019,7.16,7.16,6.81,7.23,0.0,0.0,537455
05/06/2019,7.35,7.17,7.08,7.39,0.0,0.0,449717
05/03/2019,7.69,7.4,7.115,7.8,0.0,0.0,1095520
05/02/2019,7.82,7.68,7.55,8.37,0.0,0.0,1790584
05/01/2019,9.61,9.55,9.435,9.94,0.0,0.0,453717
04/30/2019,9.87,9.59,9.5,9.87,0.0,0.0,266017
04/29/2019,9.81,9.88,9.77,10.05,0.0,0.0,264245
04/26/2019,9.81,9.8,9.75,9.91,0.0,0.0,181326
04/25/2019,9.76,9.8,9.61,9.94,0.0,0.0,329246
04/24/2019,9.88,9.9,9.76,10.1,0.0,0.0,268617
04/23/2019,9.78,9.89,9.58,9.96,0.0,0.0,346351
04/22/2019,9.54,9.79,9.54,10.1,0.0,0.0,402976
04/18/2019,9.48,9.52,9.31,9.73,0.0,0.0,1188559
04/17/2019,9.26,9.51,9.22,9.59,0.0,0.0,573621
04/16/2019,9.16,9.22,9.0409,9.345,0.0,0.0,318060
