Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,28.19,28,27.725,28.4,0.0,0.0,292330
07/15/2019,28.49,28.11,27.99,28.58,0.0,0.0,234962
07/12/2019,27.98,28.35,27.47,28.39,0.0,0.0,250727
07/11/2019,28.71,27.86,27.68,28.89,0.0,0.0,241641
07/10/2019,28.94,28.59,28.51,29.14,0.0,0.0,361001
07/09/2019,28.34,28.69,28.3,28.92,0.0,0.0,307682
07/08/2019,27.99,28.52,27.83,28.9,0.0,0.0,572917
07/05/2019,27.94,28.08,27.57,28.355,0.0,0.0,1127759
07/03/2019,27.89,28.35,27.85,28.71,0.0,0.0,383687
07/02/2019,27.54,27.71,27.01,27.81,0.0,0.0,769706
07/01/2019,27.71,27.61,27.1,27.8999,0.0,0.0,344126
06/28/2019,26.85,27.32,26.6,27.53,0.0,0.0,403343
06/27/2019,27.04,26.82,26.33,27.39,0.0,0.0,398808
06/26/2019,27,26.81,26.76,27.82,0.0,0.0,414672
06/25/2019,26.82,26.8,26.44,27.76,0.0,0.0,603029
06/24/2019,26.96,26.76,26.16,27.15,0.0,0.0,568277
06/21/2019,27.48,27.05,26.89,27.61,0.0,0.0,580325
06/20/2019,28.67,27.56,27.55,28.845,0.0,0.0,306494
06/19/2019,29.12,28.3,27.74,29.12,0.0,0.0,422289
06/18/2019,28.17,28.93,28.01,29.33,0.0,0.0,485141
06/17/2019,27.91,28.01,27.69,28.57,0.0,0.0,957401
06/14/2019,28.64,28.12,28,28.8037,0.0,0.0,620988
06/13/2019,28.82,28.48,28.23,29.25,0.0,0.0,1029868
06/12/2019,29.65,28.63,28.4,30.01,0.0,0.0,543798
06/11/2019,30.24,29.75,29.68,30.83,0.0,0.0,389977
06/10/2019,30.52,29.91,29.86,30.87,0.0,0.0,338931
06/07/2019,30.62,30.38,30.21,31.06,0.0,0.0,266827
06/06/2019,29.93,30.38,29.7,30.63,0.0,0.0,212123
06/05/2019,30.7,30.05,29.59,30.86,0.0,0.0,320972
06/04/2019,30.27,30.56,29.71,30.63,0.0,0.0,450245
06/03/2019,30.07,29.81,29.52,30.235,0.0,0.0,397652
05/31/2019,29.71,30.2,29.05,30.67,0.0,0.0,444128
05/30/2019,30.48,29.83,29.415,30.95,0.0,0.0,333382
05/29/2019,30.38,30.4,29.43,30.48,0.0,0.0,681477
05/28/2019,33.58,30.83,30.53,34.15,0.0,0.0,985324
05/24/2019,32.38,33.52,32.38,34.21,0.0,0.0,250684
05/23/2019,32.72,32.1,31.87,32.72,0.0,0.0,255348
05/22/2019,33.22,33.11,32.94,33.55,0.0,0.0,150307
05/21/2019,33.53,33.4,33.31,33.94,0.0,0.0,263992
05/20/2019,32.85,33.2,32.49,33.24,0.0,0.0,157090
05/17/2019,33.21,33.07,32.92,33.84,0.0,0.0,235200
05/16/2019,34.25,33.63,33.53,34.69,0.0,0.0,286467
05/15/2019,33.47,34.23,33.47,34.43,0.0,0.0,177804
05/14/2019,33.15,33.82,33.08,34.25,0.0,0.0,282819
05/13/2019,34.19,32.89,32.7,34.33,0.0,0.0,272884
05/10/2019,34.7,35,33.98,35.0947,0.0,0.0,203069
05/09/2019,34.92,34.95,33.98,35.225,0.0,0.0,299690
05/08/2019,34.41,35.29,34.41,35.5,0.0,0.0,243706
05/07/2019,33.72,34.6,33.3,34.755,0.0,0.0,304884
05/06/2019,34.46,34.01,33.925,36.15,0.0,0.0,399678
05/03/2019,35.76,34.92,31.04,36.1,0.0,0.0,828590
05/02/2019,35.58,35.41,34.28,36.04,0.0,0.0,413564
05/01/2019,35.73,35.58,35.12,36.115,0.0,0.0,569905
04/30/2019,35.67,35.76,34.99,36.25,0.0,0.0,241979
04/29/2019,35.15,35.73,34.85,35.85,0.0,0.0,185941
04/26/2019,35.5,34.96,34.805,35.8,0.0,0.0,191717
04/25/2019,35.52,35.57,35.13,35.81,0.0,0.0,262444
04/24/2019,35.73,35.54,34.98,35.75,0.0,0.0,206070
04/23/2019,34.27,35.6,34.27,35.94,0.0,0.0,358281
04/22/2019,33.31,34.4,33.31,34.52,0.0,0.0,396987
04/18/2019,35.39,33.43,33.2,35.82,0.0,0.0,246672
04/17/2019,35.16,35.58,34.69,35.62,0.0,0.0,325124
04/16/2019,35.1,34.82,34.2,35.24,0.0,0.0,192553
