Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,16.17,16.41,15.665,16.61,0.0,0.0,12142
07/15/2019,16.35,16.33,16.17,16.4,0.0,0.0,12085
07/12/2019,16.44,16.46,16.35,16.69,0.0,0.0,12334
07/11/2019,16.6,16.6,16.43,16.98,0.0,0.0,11367
07/10/2019,16.98,16.72,16.65,17.23,0.0,0.0,10733
07/09/2019,17.29,16.9,16.69,17.2995,0.0,0.0,7933
07/08/2019,16.98,17.22,16.8,17.36,0.0,0.0,16051
07/05/2019,16.98,16.94,16.64,17,0.0,0.0,10327
07/03/2019,17,16.98,16.85,17,0.0,0.0,3643
07/02/2019,16.81,16.96,16.77,17.1999,0.0,0.0,50530
07/01/2019,17.01,16.92,16.56,17.4,0.0,0.0,79627
06/28/2019,16.97,16.95,16.925,17.4,0.0,0.0,918424
06/27/2019,16.77,17,16.77,17,0.0,0.0,68672
06/26/2019,16.72,17,16.72,17,0.0,0.0,30899
06/25/2019,16.32,16.66,16.32,16.75,0.0,0.0,13563
06/24/2019,16.63,16.35,16.31,16.75,0.0,0.0,27650
06/21/2019,16.79,16.75,16.51,17.4,0.0,0.0,47461
06/20/2019,16.63,16.75,16.5,16.75,0.0,0.0,12538
06/19/2019,16.75,16.75,16.4,16.8,0.0,0.0,16448
06/18/2019,16.66,16.6,16.5,16.75,0.0,0.0,23126
06/17/2019,16.94,16.75,16.55,17,0.0,0.0,21961
06/14/2019,16.91,16.97,16.91,17,0.0,0.0,13057
06/13/2019,16.94,16.91,16.78,17,0.0,0.0,19218
06/12/2019,16.99,16.92,16.6,17.16,0.0,0.0,30099
06/11/2019,16.88,16.91,16.88,17,0.0,0.0,29169
06/10/2019,16.69,16.72,16.57,17,0.0,0.0,23882
06/07/2019,16.4821,16.54,16.4821,17,0.0,0.0,30962
06/06/2019,16.94,16.75,16.26,16.96,0.0,0.0,13928
06/05/2019,16.7436,16.85,16.4356,16.99,0.0,0.0,12915
06/04/2019,17,16.81,16.4701,17,0.0,0.0,15787
06/03/2019,17.39,16.99,16.06,17.39,0.0,0.0,9388
05/31/2019,16.6,16.7,16.3157,17.045,0.0,0.0,19736
05/30/2019,16.928,17,16.38,17.3,0.0,0.0,21057
05/29/2019,16.67,16.6,16.43,17.161,0.0,0.0,40431
05/28/2019,16.71,16.7,16.585,16.97,0.0,0.0,13209
05/24/2019,16.53,16.75,16.52,16.75,0.0,0.0,11249
05/23/2019,16.38,16.52,16.38,17,0.0,0.0,14818
05/22/2019,17.11,16.76,16.55,17.22,0.0,0.0,22193
05/21/2019,17.06,17,16.38,17.06,0.0,0.0,33290
05/20/2019,17.03,16.97,16.96,17.1,0.0,0.0,37668
05/17/2019,17.14,17.2,17,17.25,0.0,0.0,13041
05/16/2019,17.2,17.25,17.19,17.49,0.0,0.0,9699
05/15/2019,17.15,17.25,17,17.51,0.0,0.0,22047
05/14/2019,17.25,17.2,16.9201,17.3921,0.0,0.0,22094
05/13/2019,17.54,17.28,17.08,17.54,0.0,0.0,14006
05/10/2019,17.2,17.69,17.0375,17.7495,0.0,0.0,54291
05/09/2019,16.95,17.37,16.95,17.75,0.0,0.0,12181
05/08/2019,17.22,17.2,16.81,17.45,0.0,0.0,17080
05/07/2019,17.55,17.41,17.4,17.55,0.0,0.0,1137
05/06/2019,17.45,17.4,16.9948,17.575,0.0,0.0,24045
05/03/2019,17.72,17.57,17.37,17.72,0.0,0.0,7390
05/02/2019,17.44,17.53,17.44,17.53,0.0,0.0,1654
05/01/2019,16.965,17.29,16.95,17.425,0.0,0.0,2808
04/30/2019,16.78,17.11,16.7,17.43,0.0,0.0,11537
04/29/2019,17.07,17.03,16.74,17.39,0.0,0.0,4650
04/26/2019,16.726,17.44,16.726,17.44,0.0,0.0,1929
04/25/2019,17.01,17.22,17.01,17.22,0.0,0.0,844
04/24/2019,16.75,16.75,16.75,16.75,0.0,0.0,188
04/23/2019,16.99,16.99,16.99,16.99,0.0,0.0,00
04/22/2019,16.64,16.99,16.64,17.38,0.0,0.0,6411
04/18/2019,17.39,17.09,16.77,17.4,0.0,0.0,4630
04/17/2019,16.81,16.83,16.705,17.6,0.0,0.0,10421
04/16/2019,17.75,17.12,16.955,17.75,0.0,0.0,8458
