Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.96,0.9777,0.96,1,0.0,0.0,128147
07/15/2019,0.96,0.993,0.96,0.9975,0.0,0.0,123492
07/12/2019,0.9622,0.988,0.9622,0.998,0.0,0.0,141486
07/11/2019,0.971,0.9831,0.971,1,0.0,0.0,136609
07/10/2019,1,0.96,0.952,1.01,0.0,0.0,95617
07/09/2019,0.93,1.01,0.89,1.0199,0.0,0.0,129148
07/08/2019,0.9077,0.933,0.9077,0.945,0.0,0.0,137376
07/05/2019,0.95,0.945,0.88,0.95,0.0,0.0,188764
07/03/2019,0.9255,0.9252,0.89,0.93,0.0,0.0,72844
07/02/2019,0.9311,0.9255,0.87,0.9598,0.0,0.0,163334
07/01/2019,0.9502,0.9311,0.9198,0.9799,0.0,0.0,134913
06/28/2019,0.9519,0.9371,0.92,1.03,0.0,0.0,460356
06/27/2019,0.9506,0.9787,0.94,1,0.0,0.0,104216
06/26/2019,1,0.98,0.9754,1,0.0,0.0,82904
06/25/2019,1,1.01,0.94,1.02,0.0,0.0,101464
06/24/2019,0.9402,0.96,0.94,0.9708,0.0,0.0,122588
06/21/2019,0.979,0.9573,0.95,0.9799,0.0,0.0,115704
06/20/2019,0.97,0.979,0.94,1.02,0.0,0.0,105266
06/19/2019,1,0.979,0.965,1,0.0,0.0,107848
06/18/2019,0.9562,1.01,0.9501,1.01,0.0,0.0,113721
06/17/2019,0.975,0.965,0.95,1.01,0.0,0.0,127403
06/14/2019,1,0.971,0.97,1.01,0.0,0.0,87172
06/13/2019,0.965,0.9997,0.965,1.02,0.0,0.0,81761
06/12/2019,0.965,0.9801,0.96,1.01,0.0,0.0,119618
06/11/2019,0.951,1.01,0.95,1.02,0.0,0.0,136282
06/10/2019,0.98,0.971,0.9507,0.98,0.0,0.0,122618
06/07/2019,0.9559,0.981,0.9501,0.9891,0.0,0.0,133724
06/06/2019,0.9797,0.9695,0.951,0.99,0.0,0.0,133094
06/05/2019,1.01,0.96,0.94,1.01,0.0,0.0,153084
06/04/2019,0.9402,1.01,0.93,1.01,0.0,0.0,200234
06/03/2019,0.9598,0.9486,0.9315,0.99,0.0,0.0,113429
05/31/2019,0.92,0.9696,0.92,0.97,0.0,0.0,87596
05/30/2019,0.947,0.9559,0.9219,0.98,0.0,0.0,78306
05/29/2019,0.9548,0.947,0.9,0.9749,0.0,0.0,168296
05/28/2019,0.95,0.94,0.925,0.9798,0.0,0.0,158382
05/24/2019,0.98,0.965,0.95,0.98,0.0,0.0,92440
05/23/2019,0.95,0.9827,0.8801,1.02,0.0,0.0,148216
05/22/2019,0.9047,1.01,0.9047,1.02,0.0,0.0,210109
05/21/2019,0.9002,0.93,0.9002,0.9595,0.0,0.0,70568
05/20/2019,0.91,0.93,0.84,1,0.0,0.0,192714
05/17/2019,0.9102,0.94,0.9096,0.96,0.0,0.0,101279
05/16/2019,0.96,0.93,0.89,0.98,0.0,0.0,136229
05/15/2019,0.91,0.9451,0.91,0.97,0.0,0.0,68205
05/14/2019,0.9,0.9331,0.9,0.97,0.0,0.0,53916
05/13/2019,0.92,0.92,0.9,0.97,0.0,0.0,64333
05/10/2019,0.9415,0.93,0.92,0.999,0.0,0.0,90205
05/09/2019,0.98,0.9251,0.91,1.01,0.0,0.0,59212
05/08/2019,0.99,0.97,0.9401,1,0.0,0.0,46822
05/07/2019,0.85,1.01,0.84,1.01,0.0,0.0,287555
05/06/2019,0.86,0.865,0.84,0.88,0.0,0.0,51537
05/03/2019,0.99,0.875,0.81,0.99,0.0,0.0,119780
05/02/2019,0.95,0.8594,0.8,1,0.0,0.0,262470
05/01/2019,1.01,0.97,0.941,1.02,0.0,0.0,133789
04/30/2019,0.955,1.02,0.93,1.02,0.0,0.0,167820
04/29/2019,0.899,0.95,0.8812,0.95,0.0,0.0,127732
04/26/2019,0.89,0.899,0.8799,0.9368,0.0,0.0,178617
04/25/2019,0.9299,0.89,0.76,0.9774,0.0,0.0,228456
04/24/2019,0.92,0.9494,0.888,0.99,0.0,0.0,264210
04/23/2019,1.04,0.9199,0.9,1.06,0.0,0.0,269131
04/22/2019,1.03,1.04,1.03,1.07,0.0,0.0,216690
04/18/2019,1.03,1.04,1.02,1.07,0.0,0.0,244279
04/17/2019,1.07,1.04,1.01,1.08,0.0,0.0,213245
04/16/2019,1.05,1.03,1.02,1.08,0.0,0.0,125482
