Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/15/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/12/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/11/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/10/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/09/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/08/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/05/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/03/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/02/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
07/01/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/28/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/27/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/26/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/25/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/24/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/21/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/20/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/19/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/18/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/17/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/14/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/13/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/12/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/11/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/10/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/07/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/06/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/05/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/04/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
06/03/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/31/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/30/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/29/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/28/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/24/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/23/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/22/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/21/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/20/2019,0.8839,0.8839,0.8839,0.8839,0.0,0.0,00
05/17/2019,0.85,0.8839,0.76,0.9848,0.0,0.0,423219
05/16/2019,1.11,1.1,1.09,1.11,0.0,0.0,56810
05/15/2019,1.1,1.1101,1.1,1.12,0.0,0.0,36097
05/14/2019,1.12,1.11,1.1,1.12,0.0,0.0,34752
05/13/2019,1.11,1.11,1.1,1.13,0.0,0.0,32001
05/10/2019,1.13,1.12,1.1101,1.14,0.0,0.0,30898
05/09/2019,1.13,1.14,1.13,1.17,0.0,0.0,57486
05/08/2019,1.13,1.14,1.13,1.17,0.0,0.0,88970
05/07/2019,1.18,1.15,1.121,1.18,0.0,0.0,80903
05/06/2019,1.2,1.18,1.18,1.23,0.0,0.0,88677
05/03/2019,1.23,1.22,1.21,1.25,0.0,0.0,70935
05/02/2019,1.24,1.23,1.2,1.25,0.0,0.0,81476
05/01/2019,1.2301,1.2201,1.22,1.26,0.0,0.0,83722
04/30/2019,1.23,1.26,1.22,1.26,0.0,0.0,26367
04/29/2019,1.22,1.22,1.22,1.24,0.0,0.0,18705
04/26/2019,1.23,1.21,1.19,1.24,0.0,0.0,48205
04/25/2019,1.24,1.23,1.23,1.27,0.0,0.0,40158
04/24/2019,1.25,1.255,1.23,1.28,0.0,0.0,40859
04/23/2019,1.23,1.25,1.219,1.29,0.0,0.0,66503
04/22/2019,1.28,1.23,1.23,1.49,0.0,0.0,791848
04/18/2019,1.31,1.29,1.29,1.33,0.0,0.0,15322
04/17/2019,1.31,1.3,1.3,1.3392,0.0,0.0,46953
04/16/2019,1.3301,1.31,1.3,1.38,0.0,0.0,148886
