Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,62.31,62.48,62.16,63.05,0.0,0.0,157677
07/15/2019,62.76,62.26,61.85,63.05,0.0,0.0,110111
07/12/2019,62.37,62.93,62.02,63.025,0.0,0.0,199835
07/11/2019,61.78,62.44,61.26,62.66,0.0,0.0,270485
07/10/2019,61.45,61.43,61.04,62.23,0.0,0.0,260425
07/09/2019,61.27,61.13,60.72,61.8,0.0,0.0,249647
07/08/2019,61.61,61.39,60.65,62.02,0.0,0.0,271756
07/05/2019,60.71,61.66,60.59,61.83,0.0,0.0,239246
07/03/2019,59.55,60.91,59.55,60.93,0.0,0.0,75601
07/02/2019,59.1,59.29,58.85,60.14,0.0,0.0,212819
07/01/2019,60.1,59.13,58.96,60.21,0.0,0.0,244529
06/28/2019,59.54,59.36,59.04,59.82,0.0,0.0,426601
06/27/2019,58.58,59.38,58.58,59.72,0.0,0.0,149575
06/26/2019,58.74,58.41,58,59.44,0.0,0.0,197221
06/25/2019,59.07,58.67,58.39,59.235,0.0,0.0,251910
06/24/2019,60.09,59.15,58.945,60.3,0.0,0.0,267781
06/21/2019,58.71,59.86,58.5,61,0.0,0.0,542087
06/20/2019,59.57,59.09,58.6,59.57,0.0,0.0,261217
06/19/2019,59.14,59.08,58.56,59.32,0.0,0.0,209302
06/18/2019,59.08,58.98,58.64,59.92,0.0,0.0,193776
06/17/2019,59.44,58.64,58.48,59.83,0.0,0.0,261763
06/14/2019,59.8,59.49,59.32,60.57,0.0,0.0,252404
06/13/2019,60.87,59.96,59.68,61.02,0.0,0.0,229711
06/12/2019,60.25,60.64,59.89,61.06,0.0,0.0,155719
06/11/2019,61.26,60.26,59.48,61.26,0.0,0.0,300736
06/10/2019,60.59,61.04,60.445,61.43,0.0,0.0,256834
06/07/2019,59.78,60.26,59.58,60.45,0.0,0.0,150317
06/06/2019,58.62,59.44,58.35,59.52,0.0,0.0,142759
06/05/2019,58.5,58.9,58.5,59.42,0.0,0.0,131175
06/04/2019,57.04,58.44,56.72,58.53,0.0,0.0,239125
06/03/2019,58.65,56.4,56.17,58.8453,0.0,0.0,409618
05/31/2019,57.52,58.5,57.0925,58.79,0.0,0.0,372799
05/30/2019,57.11,57.69,57.08,57.79,0.0,0.0,166791
05/29/2019,57.07,56.99,56.73,57.53,0.0,0.0,318680
05/28/2019,57.86,57.17,57.12,58.28,0.0,0.0,214339
05/24/2019,57.6,57.78,57.21,58.17,0.0,0.0,239001
05/23/2019,57.88,57.16,56.86,58.0141,0.0,0.0,198772
05/22/2019,57.77,58.55,57.77,58.72,0.0,0.0,147256
05/21/2019,56.56,57.98,56.56,58.5,0.0,0.0,346513
05/20/2019,56.92,56.15,55.99,56.92,0.0,0.0,299057
05/17/2019,58.29,57.09,57.09,58.36,0.0,0.0,229897
05/16/2019,57.26,58.51,56.9,58.63,0.0,0.0,324284
05/15/2019,57.18,57.62,56.89,57.91,0.0,0.0,180300
05/14/2019,56.09,57.48,56.09,57.82,0.0,0.0,191838
05/13/2019,56.79,55.88,55.81,57.37,0.0,0.0,235281
05/10/2019,57.19,57.63,56.5,57.81,0.0,0.0,186833
05/09/2019,57.16,58.02,55.97,58.1,0.0,0.0,321196
05/08/2019,56.4,57.17,56.4,58.051,0.0,0.0,253816
05/07/2019,56.72,56.62,56.02,57.44,0.0,0.0,214325
05/06/2019,55.74,57.05,55.74,57.44,0.0,0.0,270015
05/03/2019,54.12,56.49,53.91,56.53,0.0,0.0,283706
05/02/2019,57.12,54.94,53.87,57.12,0.0,0.0,394914
05/01/2019,55.41,55.2,54.995,56.32,0.0,0.0,437332
04/30/2019,55.21,55.23,54.4,55.48,0.0,0.0,287761
04/29/2019,55.37,55.09,54.75,55.73,0.0,0.0,300698
04/26/2019,55.36,55.27,54.96,55.54,0.0,0.0,257553
04/25/2019,56.07,55.17,54.7,56.07,0.0,0.0,229327
04/24/2019,56.29,56.04,55.52,56.89,0.0,0.0,158106
04/23/2019,56.7,56.29,56.12,56.75,0.0,0.0,210689
04/22/2019,56.41,56.55,55.91,56.8,0.0,0.0,142104
04/18/2019,56.51,56.44,55.83,56.61,0.0,0.0,186869
04/17/2019,57.12,56.62,56.22,57.27,0.0,0.0,167322
04/16/2019,57.01,56.96,56.37,57.2208,0.0,0.0,126519
