Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.61,1.61,1.6,1.64,0.0,0.0,27939
07/15/2019,1.7,1.61,1.61,1.7,0.0,0.0,66503
07/12/2019,1.7,1.7,1.66,1.72,0.0,0.0,30483
07/11/2019,1.7,1.68,1.66,1.715,0.0,0.0,17251
07/10/2019,1.714,1.66,1.65,1.714,0.0,0.0,24668
07/09/2019,1.6683,1.68,1.6683,1.7,0.0,0.0,14932
07/08/2019,1.72,1.69,1.6505,1.72,0.0,0.0,86965
07/05/2019,1.65,1.63,1.62,1.71,0.0,0.0,32337
07/03/2019,1.605,1.66,1.605,1.66,0.0,0.0,13188
07/02/2019,1.66,1.65,1.61,1.68,0.0,0.0,32108
07/01/2019,1.72,1.65,1.577,1.72,0.0,0.0,48068
06/28/2019,1.59,1.68,1.571,1.68,0.0,0.0,43303
06/27/2019,1.54,1.57,1.5,1.57,0.0,0.0,71758
06/26/2019,1.58,1.52,1.51,1.6,0.0,0.0,73539
06/25/2019,1.69,1.6,1.58,1.7,0.0,0.0,90724
06/24/2019,1.64,1.68,1.6,1.71,0.0,0.0,84783
06/21/2019,1.65,1.67,1.59,1.6775,0.0,0.0,92992
06/20/2019,1.69,1.67,1.64,1.73,0.0,0.0,130015
06/19/2019,1.6,1.66,1.564,1.67,0.0,0.0,84232
06/18/2019,1.64,1.55,1.54,1.66,0.0,0.0,135385
06/17/2019,1.56,1.6,1.55,1.69,0.0,0.0,202432
06/14/2019,1.56,1.54,1.54,1.59,0.0,0.0,80570
06/13/2019,1.54,1.59,1.49,1.59,0.0,0.0,156735
06/12/2019,1.56,1.52,1.46,1.59,0.0,0.0,165282
06/11/2019,1.65,1.56,1.46,1.65,0.0,0.0,368010
06/10/2019,1.62,1.63,1.5718,1.64,0.0,0.0,88131
06/07/2019,1.69,1.62,1.58,1.74,0.0,0.0,519987
06/06/2019,1.65,1.68,1.592,1.92,0.0,0.0,943664
06/05/2019,1.48,1.49,1.41,1.6,0.0,0.0,327177
06/04/2019,1.65,1.52,1.47,1.65,0.0,0.0,222275
06/03/2019,1.61,1.61,1.54,1.7,0.0,0.0,89574
05/31/2019,1.71,1.61,1.59,1.76,0.0,0.0,73312
05/30/2019,1.76,1.75,1.7321,1.79,0.0,0.0,38202
05/29/2019,1.78,1.76,1.66,1.82,0.0,0.0,156713
05/28/2019,1.94,1.8,1.77,1.94,0.0,0.0,133850
05/24/2019,1.939,1.92,1.87,1.95,0.0,0.0,99943
05/23/2019,1.91,1.9,1.86,1.97,0.0,0.0,177399
05/22/2019,2,2.01,1.97,2.056,0.0,0.0,261498
05/21/2019,1.94,2.02,1.85,2.06,0.0,0.0,617601
05/20/2019,2,1.97,1.9337,2.04,0.0,0.0,158520
05/17/2019,1.99,2.02,1.92,2.08,0.0,0.0,241961
05/16/2019,2.07,2.05,2,2.09,0.0,0.0,106037
05/15/2019,2.06,2.05,2,2.11,0.0,0.0,73430
05/14/2019,2.01,2.09,2,2.09,0.0,0.0,60760
05/13/2019,2.03,2.01,1.92,2.11,0.0,0.0,121108
05/10/2019,2.11,2.11,2,2.15,0.0,0.0,78813
05/09/2019,2.2,2.13,2.08,2.2372,0.0,0.0,128773
05/08/2019,2.22,2.3,2.19,2.34,0.0,0.0,89806
05/07/2019,2.4,2.3,2.17,2.4,0.0,0.0,84192
05/06/2019,2.42,2.42,2.37,2.47,0.0,0.0,23044
05/03/2019,2.28,2.44,2.254,2.48,0.0,0.0,61743
05/02/2019,2.19,2.25,2.17,2.265,0.0,0.0,43657
05/01/2019,2.25,2.18,2.15,2.28,0.0,0.0,86406
04/30/2019,2.36,2.25,2.24,2.44,0.0,0.0,69912
04/29/2019,2.33,2.37,2.32,2.48,0.0,0.0,60927
04/26/2019,2.28,2.3,2.26,2.36,0.0,0.0,95540
04/25/2019,2.29,2.3,2.22,2.35,0.0,0.0,90237
04/24/2019,2.31,2.3,2.26,2.4372,0.0,0.0,97640
04/23/2019,2.31,2.3,2.29,2.52,0.0,0.0,139313
04/22/2019,2.37,2.32,2.25,2.38,0.0,0.0,295024
04/18/2019,2.43,2.38,2.36,2.44,0.0,0.0,78391
04/17/2019,2.58,2.42,2.3799,2.58,0.0,0.0,164332
04/16/2019,2.57,2.56,2.49,2.8375,0.0,0.0,105419
