Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,35.52,35.75,35.22,35.88,0.0,0.0,4561958
07/11/2019,35,35.56,34.99,35.735,0.0,0.0,4703148
07/10/2019,35.5,34.99,34.98,35.82,0.0,0.0,5848834
07/09/2019,35.5,35.99,35.26,36.065,0.0,0.0,4464500
07/08/2019,35.58,35.6,35.5,36.07,0.0,0.0,3583616
07/05/2019,35.95,35.89,35.79,36.42,0.0,0.0,2758963
07/03/2019,35.14,35.51,34.94,35.58,0.0,0.0,1999016
07/02/2019,35.43,35.02,34.775,35.565,0.0,0.0,4293428
07/01/2019,35.79,35.6,35.27,36.295,0.0,0.0,4676769
06/28/2019,35.36,35.36,34.67,35.75,0.0,0.0,5347571
06/27/2019,34.57,34.77,34.535,35.02,0.0,0.0,3405690
06/26/2019,34.48,34.39,34.37,34.89,0.0,0.0,3707143
06/25/2019,34.38,34.34,33.76,34.52,0.0,0.0,3060627
06/24/2019,34.72,34.46,34.38,35.125,0.0,0.0,3906201
06/21/2019,34.91,34.79,34.75,35.235,0.0,0.0,5422872
06/20/2019,34.77,34.96,33.88,35.01,0.0,0.0,3969577
06/19/2019,35.53,34.67,34.59,35.93,0.0,0.0,3834183
06/18/2019,34.27,35.29,34.1,35.34,0.0,0.0,3578297
06/17/2019,35.02,34.38,34.3,35.24,0.0,0.0,1625629
06/14/2019,34.9,34.97,34.305,35.13,0.0,0.0,2701218
06/13/2019,34.98,34.88,34.7,35.17,0.0,0.0,3314625
06/12/2019,34.82,34.75,34.59,35.02,0.0,0.0,4132781
06/11/2019,34.65,34.84,34.63,35.23,0.0,0.0,2841221
06/10/2019,34.32,34.46,34.18,34.76,0.0,0.0,7128121
06/07/2019,34.26,33.86,33.805,34.28,0.0,0.0,2455515
06/06/2019,34.21,34.41,33.715,34.56,0.0,0.0,3257232
06/05/2019,34.57,34.31,33.785,34.57,0.0,0.0,3846975
06/04/2019,33.65,34.54,33.58,34.59,0.0,0.0,3276742
06/03/2019,32.48,33.1,32.36,33.41,0.0,0.0,4301472
05/31/2019,32.72,32.58,32.535,33.12,0.0,0.0,3362152
05/30/2019,33.96,33.52,33.29,34.27,0.0,0.0,2777050
05/29/2019,33.34,33.95,33.125,34.005,0.0,0.0,2929408
05/28/2019,34.26,33.76,33.75,34.47,0.0,0.0,3341370
05/24/2019,34.2,34.44,34.015,34.51,0.0,0.0,3329869
05/23/2019,34.5,34.02,33.76,34.5,0.0,0.0,4072065
05/22/2019,34.94,34.88,34.68,35.08,0.0,0.0,2069484
05/21/2019,35.19,35.27,35.08,35.495,0.0,0.0,3425351
05/20/2019,34.61,34.85,34.605,35.08,0.0,0.0,2657829
05/17/2019,34.31,34.76,34.31,35.12,0.0,0.0,3463276
05/16/2019,34.43,34.76,34.42,35.07,0.0,0.0,3301302
05/15/2019,34.42,34.21,33.725,34.555,0.0,0.0,3971849
05/14/2019,34.51,34.91,34.44,35.31,0.0,0.0,3412897
05/13/2019,35.25,34.52,34.46,35.47,0.0,0.0,4058129
05/10/2019,35.75,36.05,35.24,36.15,0.0,0.0,4004983
05/09/2019,35.28,35.82,35.08,35.94,0.0,0.0,4440337
05/08/2019,35.71,35.67,35.38,36.05,0.0,0.0,4487677
05/07/2019,36.06,35.9,35.715,36.35,0.0,0.0,3006453
05/06/2019,35.89,36.59,35.89,36.82,0.0,0.0,3381557
05/03/2019,36.42,36.8,36.33,36.89,0.0,0.0,4094728
05/02/2019,35.9,36.25,35.88,36.465,0.0,0.0,4030715
05/01/2019,36.18,35.89,35.63,36.59,0.0,0.0,5024085
04/30/2019,36.17,36.2,35.7,36.3358,0.0,0.0,5657667
04/29/2019,36.1,36.39,36.0657,36.63,0.0,0.0,3033296
04/26/2019,35.76,35.97,35.52,36.18,0.0,0.0,3017401
04/25/2019,35.56,35.72,35.29,36.03,0.0,0.0,2669760
04/24/2019,35.94,35.81,35.525,36.03,0.0,0.0,3643275
04/23/2019,35.57,36.1,35.41,36.21,0.0,0.0,4852749
04/22/2019,35.48,35.7,35.06,35.875,0.0,0.0,7389821
04/18/2019,35.19,35.36,34.93,35.89,0.0,0.0,7879737
04/17/2019,34.86,35,34.57,35.1,0.0,0.0,6180438
04/16/2019,34.58,34.9,33.875,34.92,0.0,0.0,5238693
04/15/2019,35.06,34.45,34.325,35.18,0.0,0.0,3648884
04/12/2019,35.04,35.06,34.21,35.36,0.0,0.0,4796377
