Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,27.457,27.44,27.41,27.55,0.0,0.0,13767
07/15/2019,27.33,27.44,27.33,27.4798,0.0,0.0,16468
07/12/2019,27.39,27.46,27.39,27.47,0.0,0.0,18936
07/11/2019,27.31,27.36,27.27,27.4,0.0,0.0,7598
07/10/2019,27.39,27.29,27.21,27.54,0.0,0.0,19249
07/09/2019,27.28,27.28,27.28,27.4422,0.0,0.0,21757
07/08/2019,27.29,27.36,27.29,27.58,0.0,0.0,15343
07/05/2019,27.45,27.39,27.26,27.5091,0.0,0.0,12211
07/03/2019,27.51,27.47,27.42,27.64,0.0,0.0,36176
07/02/2019,27.49,27.67,27.3157,27.72,0.0,0.0,23471
07/01/2019,27.37,27.43,27.2822,27.54,0.0,0.0,29337
06/28/2019,27.61,27.21,27.18,27.76,0.0,0.0,157076
06/27/2019,27.43,27.38,27.38,27.5444,0.0,0.0,40005
06/26/2019,27.73,27.44,27.38,27.73,0.0,0.0,35394
06/25/2019,27.66,27.69,27.66,27.78,0.0,0.0,27584
06/24/2019,27.85,27.66,27.66,27.85,0.0,0.0,18193
06/21/2019,27.66,27.66,27.61,27.83,0.0,0.0,32094
06/20/2019,27.67,27.7,27.67,27.8166,0.0,0.0,24211
06/19/2019,27.73,27.76,27.595,27.8,0.0,0.0,30924
06/18/2019,27.77,27.64,27.64,27.88,0.0,0.0,26022
06/17/2019,27.62,27.71,27.62,27.78,0.0,0.0,25043
06/14/2019,27.6,27.73,27.52,27.73,0.0,0.0,14673
06/13/2019,27.6,27.5,27.31,27.64,0.0,0.0,20069
06/12/2019,27.83,27.8,27.69,27.881,0.0,0.0,15641
06/11/2019,27.96,27.76,27.76,27.96,0.0,0.0,31418
06/10/2019,27.94,27.91,27.9,27.99,0.0,0.0,30680
06/07/2019,27.84,27.98,27.8,27.99,0.0,0.0,46122
06/06/2019,27.85,27.99,27.8012,27.99,0.0,0.0,12215
06/05/2019,27.929,27.92,27.8272,27.93,0.0,0.0,10141
06/04/2019,27.77,27.75,27.75,27.89,0.0,0.0,33410
06/03/2019,27.52,27.691,27.51,27.73,0.0,0.0,12555
05/31/2019,27.74,27.44,27.38,27.82,0.0,0.0,106368
05/30/2019,27.76,27.79,27.63,27.85,0.0,0.0,23016
05/29/2019,27.76,27.655,27.62,27.85,0.0,0.0,30760
05/28/2019,27.6,27.73,27.6,27.8341,0.0,0.0,29934
05/24/2019,27.69,27.6,27.55,27.75,0.0,0.0,14191
05/23/2019,27.58,27.64,27.57,27.6885,0.0,0.0,10655
05/22/2019,27.51,27.56,27.51,27.6496,0.0,0.0,12783
05/21/2019,27.6,27.6,27.52,27.65,0.0,0.0,20219
05/20/2019,27.64,27.6024,27.55,27.82,0.0,0.0,21137
05/17/2019,27.67,27.652,27.58,27.81,0.0,0.0,74071
05/16/2019,27.669,27.75,27.645,27.75,0.0,0.0,9609
05/15/2019,27.565,27.6,27.44,27.66,0.0,0.0,82663
05/14/2019,27.58,27.61,27.51,27.69,0.0,0.0,20574
05/13/2019,27.65,27.6614,27.6256,27.6886,0.0,0.0,15641
05/10/2019,27.68,27.65,27.63,27.7,0.0,0.0,17199
05/09/2019,27.67,27.64,27.5373,27.69,0.0,0.0,17277
05/08/2019,27.64,27.62,27.58,27.6744,0.0,0.0,20753
05/07/2019,27.57,27.58,27.567,27.7,0.0,0.0,27403
05/06/2019,27.45,27.6999,27.45,27.7,0.0,0.0,21729
05/03/2019,27.54,27.6,27.54,27.66,0.0,0.0,29750
05/02/2019,27.49,27.6,27.49,27.6499,0.0,0.0,38917
05/01/2019,27.45,27.52,27.45,27.64,0.0,0.0,24564
04/30/2019,27.44,27.55,27.4,27.57,0.0,0.0,49422
04/29/2019,27.33,27.47,27.315,27.63,0.0,0.0,31444
04/26/2019,27.43,27.3,27.25,27.45,0.0,0.0,28638
04/25/2019,27.32,27.3,27.3,27.48,0.0,0.0,26200
04/24/2019,27.49,27.32,27.31,27.49,0.0,0.0,20662
04/23/2019,27.499,27.4,27.34,27.57,0.0,0.0,23195
04/22/2019,27.35,27.3,27.3,27.65,0.0,0.0,23778
04/18/2019,27.43,27.38,27.315,27.55,0.0,0.0,31275
04/17/2019,27.683,27.43,27.42,27.683,0.0,0.0,30650
04/16/2019,27.62,27.5708,27.56,27.72,0.0,0.0,18473
