Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,36.53,36.66,36.4919,36.69,0.0,0.0,49833
07/11/2019,36.57,36.73,36.56,36.78,0.0,0.0,66169
07/10/2019,36.63,36.72,36.63,36.81,0.0,0.0,55059
07/09/2019,36.54,36.56,36.34,36.73,0.0,0.0,80544
07/08/2019,36.69,36.73,36.6,36.82,0.0,0.0,72282
07/05/2019,36.69,36.72,36.55,36.78,0.0,0.0,77300
07/03/2019,36.7,36.76,36.66,36.79,0.0,0.0,37998
07/02/2019,36.65,36.75,36.63,36.76,0.0,0.0,77558
07/01/2019,36.75,36.51,36.38,36.75,0.0,0.0,31700
06/28/2019,36.58,36.54,36.5,36.62,0.0,0.0,34199
06/27/2019,36.67,36.6,36.57,36.74,0.0,0.0,70330
06/26/2019,36.77,36.75,36.74,36.92,0.0,0.0,57238
06/25/2019,36.67,36.77,36.65,36.88,0.0,0.0,91442
06/24/2019,36.51,36.7,36.51,36.8,0.0,0.0,98317
06/21/2019,36.55,36.12,36.12,36.79,0.0,0.0,405919
06/20/2019,36.54,36.59,36.46,36.63,0.0,0.0,75594
06/19/2019,36.04,36.71,36.04,36.73,0.0,0.0,68930
06/18/2019,35.78,36.05,35.78,36.11,0.0,0.0,88384
06/17/2019,35.71,35.75,35.66,35.775,0.0,0.0,48113
06/14/2019,35.97,35.85,35.61,35.97,0.0,0.0,74309
06/13/2019,36.03,36.05,36.03,36.14,0.0,0.0,69370
06/12/2019,36.3,36.18,36.09,36.3,0.0,0.0,76783
06/11/2019,36.22,36.41,36.22,36.57,0.0,0.0,41969
06/10/2019,36.41,36.26,36.23,36.42,0.0,0.0,35570
06/07/2019,36.24,36.41,36.2,36.41,0.0,0.0,47352
06/06/2019,36.21,36.2,35.993,36.35,0.0,0.0,34338
06/05/2019,36.22,36.12,36.1,36.29,0.0,0.0,32903
06/04/2019,35.98,36.09,35.9,36.09,0.0,0.0,86965
06/03/2019,35.82,36.03,35.79,36.09,0.0,0.0,74300
05/31/2019,35.59,35.69,35.59,35.72,0.0,0.0,46278
05/30/2019,35.73,35.71,35.68,35.83,0.0,0.0,58149
05/29/2019,35.56,35.53,35.47,35.66,0.0,0.0,55568
05/28/2019,35.78,35.51,35.48,35.78,0.0,0.0,54404
05/24/2019,35.78,35.83,35.755,35.83,0.0,0.0,29114
05/23/2019,35.63,35.63,35.55,35.69,0.0,0.0,39258
05/22/2019,35.66,35.79,35.63,35.82,0.0,0.0,46277
05/21/2019,35.9,35.84,35.69,35.9,0.0,0.0,69189
05/20/2019,35.49,35.63,35.49,35.75,0.0,0.0,52980
05/17/2019,35.47,35.45,35.41,35.6,0.0,0.0,36811
05/16/2019,35.59,35.7,35.565,35.72,0.0,0.0,56992
05/15/2019,35.68,35.56,35.56,35.715,0.0,0.0,87524
05/14/2019,35.69,35.9,35.69,35.92,0.0,0.0,77583
05/13/2019,35.26,35.37,35.17,35.43,0.0,0.0,67252
05/10/2019,35.52,35.51,35.47,35.58,0.0,0.0,73742
05/09/2019,35.69,35.43,35.38,35.71,0.0,0.0,49329
05/08/2019,35.92,35.87,35.86,36.14,0.0,0.0,77836
05/07/2019,35.83,35.81,35.72,35.91,0.0,0.0,48249
05/06/2019,35.73,36.02,35.72,36.02,0.0,0.0,55340
05/03/2019,35.99,36.07,35.89,36.18,0.0,0.0,57281
05/02/2019,35.96,35.85,35.8,35.99,0.0,0.0,198181
05/01/2019,36.03,36.02,35.97,36.13,0.0,0.0,23550
04/30/2019,35.98,36.04,35.9,36.11,0.0,0.0,30806
04/29/2019,35.82,35.86,35.68,36.01,0.0,0.0,54837
04/26/2019,35.53,35.76,35.53,35.88,0.0,0.0,59810
04/25/2019,35.5,35.55,35.39,35.66,0.0,0.0,51412
04/24/2019,35.53,35.5,35.4225,35.53,0.0,0.0,52103
04/23/2019,35.59,35.56,35.48,35.62,0.0,0.0,146083
04/22/2019,35.44,35.42,35.37,35.49,0.0,0.0,60811
04/18/2019,35.4,35.4,35.39,35.55,0.0,0.0,90305
04/17/2019,35.47,35.29,35.275,35.54,0.0,0.0,88976
04/16/2019,35.42,35.56,35.37,35.62,0.0,0.0,85625
04/15/2019,35.26,35.18,35.14,35.44,0.0,0.0,115015
04/12/2019,35.14,35.18,35.14,35.53,0.0,0.0,92206
