Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,7.18,7.29,7.17,7.34,0.0,0.0,80158
07/11/2019,7.35,7.22,7.17,7.35,0.0,0.0,52628
07/10/2019,7.45,7.37,7.33,7.55,0.0,0.0,57638
07/09/2019,7.34,7.45,7.33,7.47,0.0,0.0,61451
07/08/2019,7.31,7.36,7.28,7.38,0.0,0.0,70488
07/05/2019,7.25,7.32,7.2,7.35,0.0,0.0,67066
07/03/2019,7.27,7.28,7.27,7.37,0.0,0.0,33209
07/02/2019,7.28,7.29,7.13,7.31,0.0,0.0,52569
07/01/2019,7.29,7.31,7.27,7.4,0.0,0.0,52505
06/28/2019,7.18,7.3,7.06,7.3,0.0,0.0,356930
06/27/2019,7.08,7.19,7.01,7.19,0.0,0.0,59285
06/26/2019,7.11,7.08,7.07,7.2,0.0,0.0,64269
06/25/2019,7.09,7.12,6.965,7.15,0.0,0.0,65781
06/24/2019,7.06,7.07,7.045,7.12,0.0,0.0,67593
06/21/2019,7.03,7.14,6.935,7.1557,0.0,0.0,187178
06/20/2019,7.02,7.07,7,7.13,0.0,0.0,42306
06/19/2019,7,7.04,6.83,7.08,0.0,0.0,79290
06/18/2019,6.9,7.03,6.9,7.11,0.0,0.0,53105
06/17/2019,6.9,6.92,6.85,6.92,0.0,0.0,54308
06/14/2019,7.04,6.9,6.89,7.13,0.0,0.0,44385
06/13/2019,7.02,7.08,7.01,7.1,0.0,0.0,50305
06/12/2019,6.87,7.02,6.87,7.05,0.0,0.0,78651
06/11/2019,6.86,6.95,6.83,6.97,0.0,0.0,70253
06/10/2019,6.78,6.87,6.75,6.88,0.0,0.0,58596
06/07/2019,6.77,6.8,6.71,6.82,0.0,0.0,65923
06/06/2019,6.74,6.83,6.62,6.86,0.0,0.0,93268
06/05/2019,6.71,6.83,6.57,6.83,0.0,0.0,565133
06/04/2019,6.52,6.75,6.485,6.75,0.0,0.0,70815
06/03/2019,6.4,6.52,6.3,6.54,0.0,0.0,70301
05/31/2019,6.61,6.41,6.34,6.66,0.0,0.0,89365
05/30/2019,6.6,6.67,6.58,6.7,0.0,0.0,38158
05/29/2019,6.63,6.63,6.61,6.75,0.0,0.0,52515
05/28/2019,6.55,6.71,6.485,6.72,0.0,0.0,91921
05/24/2019,6.54,6.58,6.54,6.63,0.0,0.0,37103
05/23/2019,6.55,6.55,6.47,6.57,0.0,0.0,47493
05/22/2019,6.55,6.62,6.45,6.63,0.0,0.0,113535
05/21/2019,6.61,6.6,6.55,6.66,0.0,0.0,68244
05/20/2019,6.72,6.61,6.59,6.88,0.0,0.0,203100
05/17/2019,6.81,6.78,6.77,6.87,0.0,0.0,36553
05/16/2019,6.91,6.87,6.82,6.98,0.0,0.0,32708
05/15/2019,6.75,6.96,6.75,7,0.0,0.0,55118
05/14/2019,6.69,6.86,6.69,6.89,0.0,0.0,43172
05/13/2019,6.69,6.7,6.67,6.81,0.0,0.0,58843
05/10/2019,6.8,6.76,6.71,6.91,0.0,0.0,55832
05/09/2019,6.76,6.84,6.76,6.97,0.0,0.0,67505
05/08/2019,6.81,6.84,6.7,6.92,0.0,0.0,38689
05/07/2019,6.81,6.79,6.735,6.91,0.0,0.0,34684
05/06/2019,6.8,6.89,6.79,6.97,0.0,0.0,42785
05/03/2019,6.77,6.87,6.77,6.92,0.0,0.0,44941
05/02/2019,6.75,6.8,6.69,6.84,0.0,0.0,42040
05/01/2019,6.74,6.72,6.69,6.84,0.0,0.0,45504
04/30/2019,7.03,6.76,6.74,7.06,0.0,0.0,105017
04/29/2019,6.89,7.1,6.89,7.13,0.0,0.0,76327
04/26/2019,6.94,6.93,6.85,6.99,0.0,0.0,53462
04/25/2019,6.89,6.93,6.84,6.96,0.0,0.0,29550
04/24/2019,6.88,6.94,6.88,7,0.0,0.0,36091
04/23/2019,6.83,6.95,6.83,6.98,0.0,0.0,47511
04/22/2019,6.75,6.88,6.75,6.92,0.0,0.0,51477
04/18/2019,6.87,6.83,6.78,6.97,0.0,0.0,40754
04/17/2019,6.89,6.9,6.81,6.95,0.0,0.0,31628
04/16/2019,6.86,6.89,6.82,7.07,0.0,0.0,54875
04/15/2019,6.84,6.91,6.74,6.95,0.0,0.0,52404
04/12/2019,6.9,6.83,6.68,7.02,0.0,0.0,45200
