Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,38.23,38.2399,38.23,38.2399,0.0,0.0,674
07/15/2019,38.25,38.28,38.21,38.28,0.0,0.0,803
07/12/2019,38.28,38.28,38.28,38.28,0.0,0.0,551
07/11/2019,38.03,38.1728,38.03,38.1728,0.0,0.0,527
07/10/2019,38.2,38.1801,38.16,38.21,0.0,0.0,4353
07/09/2019,37.8599,37.95,37.81,37.97,0.0,0.0,39108
07/08/2019,37.91,38.0799,37.91,38.08,0.0,0.0,673
07/05/2019,38.2524,38.2524,38.2524,38.2524,0.0,0.0,274
07/03/2019,38.57,38.54,38.53,38.57,0.0,0.0,1626
07/02/2019,38.34,38.38,38.34,38.49,0.0,0.0,7595
07/01/2019,38.3001,38.3765,38.3,38.381,0.0,0.0,4607
06/28/2019,38.17,38.1778,38.1426,38.1778,0.0,0.0,1257
06/27/2019,37.9501,37.98,37.9501,37.98,0.0,0.0,405
06/26/2019,38.12,37.8922,37.8922,38.12,0.0,0.0,595
06/25/2019,38.085,37.83,37.83,38.29,0.0,0.0,4404
06/24/2019,38.2028,38.05,38.05,38.2028,0.0,0.0,943
06/21/2019,38.05,38.0401,38.0252,38.05,0.0,0.0,4033
06/20/2019,38.08,38.2112,38.08,38.2112,0.0,0.0,562
06/19/2019,37.47,37.8101,37.47,37.8101,0.0,0.0,3902
06/18/2019,37.571,37.57,37.55,37.59,0.0,0.0,10215
06/17/2019,37.05,37.12,37.05,37.12,0.0,0.0,476
06/14/2019,37.26,37.203,37.02,37.265,0.0,0.0,16468
06/13/2019,37.31,37.33,37.25,37.56,0.0,0.0,103781
06/12/2019,37.63,37.61,37.56,37.65,0.0,0.0,20500
06/11/2019,38.053,37.85,37.85,38.053,0.0,0.0,1235
06/10/2019,37.85,37.85,37.85,37.85,0.0,0.0,152
06/07/2019,37.577,37.598,37.577,37.7107,0.0,0.0,1042
06/06/2019,37.26,37.26,37.26,37.26,0.0,0.0,176
06/05/2019,37.14,37.14,37.14,37.14,0.0,0.0,00
06/04/2019,37.17,37.14,37.1,37.17,0.0,0.0,5566
06/03/2019,36.78,36.76,36.76,36.8,0.0,0.0,3189
05/31/2019,36.5761,36.5221,36.5221,36.5761,0.0,0.0,2205
05/30/2019,36.796,36.8,36.71,36.8,0.0,0.0,5706
05/29/2019,36.65,36.76,36.56,36.78,0.0,0.0,2422
05/28/2019,37.2161,37.2161,37.2161,37.2161,0.0,0.0,1585
05/24/2019,37.24,37.22,37.22,37.24,0.0,0.0,13821
05/23/2019,36.91,36.8802,36.8802,36.9853,0.0,0.0,4747
05/22/2019,37.21,37.24,37.1801,37.278,0.0,0.0,9591
05/21/2019,37.3319,37.3319,37.3319,37.3319,0.0,0.0,220
05/20/2019,37.2058,37.1,37.08,37.2058,0.0,0.0,11788
05/17/2019,37.413,37.26,37.26,37.413,0.0,0.0,9664
05/16/2019,37.3601,37.49,37.3601,37.57,0.0,0.0,8300
05/15/2019,36.86,37.34,36.86,37.34,0.0,0.0,13402
05/14/2019,37,37.39,37,37.39,0.0,0.0,1023
05/13/2019,36.91,36.84,36.83,36.95,0.0,0.0,2892
05/10/2019,37.3138,37.65,37.3138,37.65,0.0,0.0,527
05/09/2019,37.1945,37.4744,37.1945,37.4744,0.0,0.0,1774
05/08/2019,37.67,37.55,37.55,37.67,0.0,0.0,8237
05/07/2019,37.765,37.46,37.46,37.765,0.0,0.0,691
05/06/2019,37.92,38.09,37.92,38.1655,0.0,0.0,12941
05/03/2019,38.481,38.481,38.481,38.481,0.0,0.0,328
05/02/2019,38.34,38.21,38.11,38.34,0.0,0.0,836
05/01/2019,38.5911,38.5384,38.5384,38.7092,0.0,0.0,1195
04/30/2019,38.3601,38.52,38.3501,38.52,0.0,0.0,4924
04/29/2019,38.4905,38.4905,38.4905,38.4905,0.0,0.0,495
04/26/2019,38.12,38.12,38.12,38.12,0.0,0.0,00
04/25/2019,38.1818,38.12,38.11,38.1818,0.0,0.0,19376
04/24/2019,38.4967,38.4967,38.4967,38.4967,0.0,0.0,00
04/23/2019,38.4967,38.4967,38.4967,38.4967,0.0,0.0,1540
04/22/2019,38.5777,38.4801,38.4801,38.6,0.0,0.0,1352
04/18/2019,38.66,38.56,38.5301,38.69,0.0,0.0,1582
04/17/2019,38.5618,38.4887,38.4887,38.58,0.0,0.0,1212
04/16/2019,38.57,38.61,38.57,38.61,0.0,0.0,821
