Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,21.42,21.23,21.12,21.46,0.0,0.0,45656
07/15/2019,21.67,21.53,21.42,21.67,0.0,0.0,16312
07/12/2019,21.68,21.52,21.52,21.8,0.0,0.0,31531
07/11/2019,21.6,21.67,21.38,21.82,0.0,0.0,18330
07/10/2019,21.73,21.57,21.57,21.85,0.0,0.0,23304
07/09/2019,21.53,21.95,21.45,21.95,0.0,0.0,21981
07/08/2019,21.54,21.77,21.52,21.79,0.0,0.0,18497
07/05/2019,21.92,22.15,21.89,22.15,0.0,0.0,16138
07/03/2019,22,22.02,21.8,22.08,0.0,0.0,6016
07/02/2019,22.26,22,21.83,22.26,0.0,0.0,24225
07/01/2019,22.41,22.16,22.16,22.41,0.0,0.0,36914
06/28/2019,21.68,22.45,21.68,22.5,0.0,0.0,347473
06/27/2019,21.67,21.8,21.65,21.98,0.0,0.0,34459
06/26/2019,21.76,21.79,21.65,22.1,0.0,0.0,28523
06/25/2019,21.75,21.65,21.57,22.02,0.0,0.0,27181
06/24/2019,21.62,21.79,21.56,22.18,0.0,0.0,53369
06/21/2019,22.09,21.81,21.75,22.18,0.0,0.0,68487
06/20/2019,22.05,22.19,21.88,22.35,0.0,0.0,65957
06/19/2019,21.785,21.93,21.74,22.29,0.0,0.0,38804
06/18/2019,21.64,21.73,21.62,21.86,0.0,0.0,16551
06/17/2019,21.54,21.75,21.54,22.02,0.0,0.0,26709
06/14/2019,22.02,21.7,21.265,22.02,0.0,0.0,20468
06/13/2019,20.9,22.11,20.9,22.14,0.0,0.0,46915
06/12/2019,21.52,21.38,21.235,21.6,0.0,0.0,78673
06/11/2019,21.79,21.67,21.25,21.98,0.0,0.0,17584
06/10/2019,21.36,21.79,20.56,21.81,0.0,0.0,43066
06/07/2019,21.41,21.17,21.04,21.64,0.0,0.0,23161
06/06/2019,21.33,21.37,20.94,21.68,0.0,0.0,31278
06/05/2019,21.92,21.33,21.28,21.92,0.0,0.0,23995
06/04/2019,21.46,21.98,21.46,22.12,0.0,0.0,16189
06/03/2019,21.11,21.61,21.11,21.68,0.0,0.0,31214
05/31/2019,21.65,21.7,21.1433,21.97,0.0,0.0,16852
05/30/2019,21.4,21.88,20.67,21.88,0.0,0.0,34250
05/29/2019,21.66,21.58,20.93,21.91,0.0,0.0,31016
05/28/2019,22.41,21.82,21.705,22.41,0.0,0.0,16453
05/24/2019,22.24,22.48,21.6,22.61,0.0,0.0,13811
05/23/2019,22.55,22.17,22.01,22.55,0.0,0.0,18391
05/22/2019,22.85,22.76,22.2,22.99,0.0,0.0,23317
05/21/2019,22.87,22.88,22.6,22.98,0.0,0.0,11735
05/20/2019,22.74,22.86,22.155,22.98,0.0,0.0,14589
05/17/2019,22.58,22.82,21.72,22.9,0.0,0.0,26745
05/16/2019,22.19,22.73,22.19,23.04,0.0,0.0,12289
05/15/2019,22.66,22.44,22.02,22.69,0.0,0.0,19103
05/14/2019,22.41,22.79,22.19,22.9,0.0,0.0,40717
05/13/2019,22.56,22.31,22.19,22.58,0.0,0.0,30934
05/10/2019,22.58,22.85,22.29,22.92,0.0,0.0,28041
05/09/2019,22.31,22.59,22.2809,22.96,0.0,0.0,30791
05/08/2019,22.7,22.69,22.53,23.01,0.0,0.0,12918
05/07/2019,22.96,22.82,22.67,23.14,0.0,0.0,23832
05/06/2019,22.6,23.06,22.54,23.19,0.0,0.0,19737
05/03/2019,22,22.79,22,22.94,0.0,0.0,23509
05/02/2019,21.68,21.79,21.68,22.47,0.0,0.0,18482
05/01/2019,22.01,21.92,21.8,22.18,0.0,0.0,32872
04/30/2019,22.11,22,21.78,22.11,0.0,0.0,23553
04/29/2019,21.79,22.16,21.79,22.29,0.0,0.0,30604
04/26/2019,21.5,21.76,21.48,21.95,0.0,0.0,7171
04/25/2019,21.5,21.58,21.185,21.69,0.0,0.0,27719
04/24/2019,21.96,21.65,21.65,22.14,0.0,0.0,19145
04/23/2019,21.46,22.04,21.2256,22.13,0.0,0.0,41278
04/22/2019,22.01,21.27,21.22,22.03,0.0,0.0,18776
04/18/2019,21.94,22.19,21.94,22.325,0.0,0.0,22248
04/17/2019,21.98,22.06,21.78,22.18,0.0,0.0,11068
04/16/2019,21.69,21.92,21.6,22.07,0.0,0.0,22717
