Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,54.85,54.37,54.16,55.43,0.0,0.0,670895
07/11/2019,53.85,55,53.71,55.04,0.0,0.0,1204102
07/10/2019,52.24,53.84,52.24,53.93,0.0,0.0,697401
07/09/2019,52.35,51.32,51.085,52.6,0.0,0.0,580722
07/08/2019,53.28,52.76,52.66,53.96,0.0,0.0,487841
07/05/2019,52.19,53.45,52.05,53.6,0.0,0.0,308358
07/03/2019,52.74,52.5,51.99,52.81,0.0,0.0,239663
07/02/2019,52.61,52.49,51.66,52.88,0.0,0.0,873017
07/01/2019,53.63,52.88,52.7,54.29,0.0,0.0,538662
06/28/2019,51.32,52.28,51.32,52.45,0.0,0.0,540713
06/27/2019,50.17,51.23,50.03,51.84,0.0,0.0,768073
06/26/2019,52.12,50.04,49.93,52.3,0.0,0.0,951202
06/25/2019,52.16,51.77,51.27,52.34,0.0,0.0,857836
06/24/2019,54.8,52.51,52.39,55.25,0.0,0.0,599066
06/21/2019,54.36,55,53.29,55.35,0.0,0.0,1394109
06/20/2019,52.77,54.37,52.77,55,0.0,0.0,715052
06/19/2019,50.95,51.65,50.45,52.12,0.0,0.0,480343
06/18/2019,50.03,50.96,49.93,51.5,0.0,0.0,328679
06/17/2019,47.92,49.69,47.71,50,0.0,0.0,429924
06/14/2019,49.6,47.99,47.93,49.85,0.0,0.0,622250
06/13/2019,49.28,49.6,48.63,49.79,0.0,0.0,674506
06/12/2019,50.07,48.42,48.33,50.21,0.0,0.0,583289
06/11/2019,50.13,50.62,50.13,51.61,0.0,0.0,448741
06/10/2019,49.25,49.44,49.25,51.3,0.0,0.0,796894
06/07/2019,49.44,48.96,48,49.615,0.0,0.0,621273
06/06/2019,48.85,48.94,47.77,49.92,0.0,0.0,1099100
06/05/2019,50.24,49.04,48.58,50.24,0.0,0.0,515932
06/04/2019,49.72,50.47,49.52,51.42,0.0,0.0,516879
06/03/2019,47.86,49.03,47.67,49.45,0.0,0.0,656812
05/31/2019,46.71,47.64,46.32,47.805,0.0,0.0,760761
05/30/2019,48.8,47.67,47.03,48.93,0.0,0.0,418502
05/29/2019,48.21,48.88,47.82,49.555,0.0,0.0,580957
05/28/2019,51.23,48.94,48.76,51.23,0.0,0.0,758549
05/24/2019,52.22,50.3,50.17,52.26,0.0,0.0,711920
05/23/2019,52.86,51.93,51.2,52.86,0.0,0.0,863680
05/22/2019,54.45,54.18,53.76,55.3,0.0,0.0,672109
05/21/2019,54,54.85,54,55.88,0.0,0.0,632328
05/20/2019,53.75,54.57,53.49,55.08,0.0,0.0,759769
05/17/2019,55.33,54.14,54.07,56,0.0,0.0,261759
05/16/2019,56,55.87,55.5,56,0.0,0.0,379345
05/15/2019,55.44,55.8,54.6,56.115,0.0,0.0,495982
05/14/2019,55.07,55.9,55.07,56.499,0.0,0.0,462571
05/13/2019,56.67,54.91,54.18,57.36,0.0,0.0,528467
05/10/2019,58.57,57.6,56.6,58.91,0.0,0.0,502444
05/09/2019,58.31,58.73,58.09,59.26,0.0,0.0,971447
05/08/2019,59.33,58.96,58.05,60.08,0.0,0.0,595822
05/07/2019,59.75,59.41,58.558,60.115,0.0,0.0,469111
05/06/2019,60,60.19,59.56,61.365,0.0,0.0,387502
05/03/2019,59.97,60.52,59.78,60.88,0.0,0.0,854554
05/02/2019,59.46,59.35,58.9,60.2259,0.0,0.0,739368
05/01/2019,63.19,60.02,59.98,63.73,0.0,0.0,844730
04/30/2019,65.74,63.39,63.33,65.74,0.0,0.0,674784
04/29/2019,65.9,65.17,64.94,66.44,0.0,0.0,506106
04/26/2019,63.82,65.86,63.58,66.65,0.0,0.0,1204448
04/25/2019,70.35,64.46,64.45,70.88,0.0,0.0,1653253
04/24/2019,74.23,72.95,72.87,74.68,0.0,0.0,485649
04/23/2019,75.03,74.56,74.18,75.63,0.0,0.0,355173
04/22/2019,74.52,74.87,73.72,75.545,0.0,0.0,747825
04/18/2019,74.17,73.83,73.34,75.41,0.0,0.0,819182
04/17/2019,74.28,73.97,73.61,74.45,0.0,0.0,408585
04/16/2019,72.39,73.47,71.9,73.87,0.0,0.0,333988
04/15/2019,70.92,71.76,70.0605,71.96,0.0,0.0,375482
04/12/2019,70.19,70.88,69.7,70.99,0.0,0.0,245540
