Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,13.17,13.38,12.8685,13.4,0.0,0.0,39268
07/15/2019,13.202,13.07,13.05,13.3,0.0,0.0,18647
07/12/2019,12.943,13.17,12.943,13.39,0.0,0.0,34418
07/11/2019,13.157,13.08,12.945,13.39,0.0,0.0,12344
07/10/2019,13.266,13.17,13.13,13.5,0.0,0.0,9289
07/09/2019,13.01,13.18,13.01,13.25,0.0,0.0,6149
07/08/2019,13.2,13.14,13.004,13.345,0.0,0.0,6758
07/05/2019,13.29,13.35,12.99,13.62,0.0,0.0,9400
07/03/2019,13.55,13.25,13.14,13.55,0.0,0.0,7110
07/02/2019,13.31,13.15,12.0646,13.31,0.0,0.0,6936
07/01/2019,13.34,13.21,12.46,13.46,0.0,0.0,10995
06/28/2019,12.77,13.25,12.73,13.29,0.0,0.0,170619
06/27/2019,13.12,12.98,12.54,13.24,0.0,0.0,12824
06/26/2019,13.01,13.1,13.01,13.6366,0.0,0.0,11532
06/25/2019,13.36,13.16,13.05,13.572,0.0,0.0,5764
06/24/2019,13.442,13.31,13.3,13.54,0.0,0.0,11676
06/21/2019,13.18,13.3,13.08,13.395,0.0,0.0,17769
06/20/2019,13.55,13.28,13.23,13.72,0.0,0.0,19736
06/19/2019,13.28,13.38,13.1,13.41,0.0,0.0,7381
06/18/2019,13.32,13.2,13.13,13.4846,0.0,0.0,9865
06/17/2019,13.39,13.21,13.12,13.58,0.0,0.0,8033
06/14/2019,13.64,13.33,13.23,13.77,0.0,0.0,5539
06/13/2019,13.57,13.65,13.46,13.78,0.0,0.0,43547
06/12/2019,13.68,13.38,13.37,13.87,0.0,0.0,4679
06/11/2019,13.93,13.76,13.54,13.93,0.0,0.0,9427
06/10/2019,13.42,13.68,13.01,13.99,0.0,0.0,4682
06/07/2019,13.35,13.43,12.3371,13.7125,0.0,0.0,9408
06/06/2019,13.205,13.42,13,13.43,0.0,0.0,5241
06/05/2019,12.75,12.99,12.67,13.35,0.0,0.0,38199
06/04/2019,13.15,12.74,12.52,13.9,0.0,0.0,23914
06/03/2019,13.65,13.38,13.35,13.94,0.0,0.0,19342
05/31/2019,13.52,13.29,13,13.93,0.0,0.0,27416
05/30/2019,13.69,13.79,13.69,14.05,0.0,0.0,19899
05/29/2019,13.91,13.7,13.5499,14.08,0.0,0.0,10021
05/28/2019,14.049,13.86,13.83,14.185,0.0,0.0,11118
05/24/2019,13.98,14.19,13.98,14.38,0.0,0.0,21914
05/23/2019,13.9,14.04,13.7,14.16,0.0,0.0,51671
05/22/2019,13.88,14.06,13.88,14.25,0.0,0.0,4869
05/21/2019,14.081,14.28,13.96,14.3,0.0,0.0,4382
05/20/2019,14.14,14.07,13.95,14.19,0.0,0.0,9593
05/17/2019,14.39,14.3,14.3,14.74,0.0,0.0,12199
05/16/2019,14.4,14.57,14.27,14.75,0.0,0.0,12300
05/15/2019,13.98,14.42,13.98,14.49,0.0,0.0,9835
05/14/2019,14.04,14.2,14.01,14.2,0.0,0.0,9863
05/13/2019,14.01,13.91,13.76,14.19,0.0,0.0,18762
05/10/2019,14.2512,14.36,14.2385,14.54,0.0,0.0,4493
05/09/2019,14.39,14.21,14.05,14.39,0.0,0.0,7118
05/08/2019,14.29,14.36,14.21,14.59,0.0,0.0,13616
05/07/2019,14.56,14.18,14.11,14.56,0.0,0.0,9481
05/06/2019,14.38,14.51,14.27,14.67,0.0,0.0,14493
05/03/2019,14.35,14.75,14.33,14.75,0.0,0.0,25017
05/02/2019,14.348,13.97,13.8,14.429,0.0,0.0,31224
05/01/2019,14.67,14.41,14.41,14.7,0.0,0.0,25293
04/30/2019,14.87,14.74,14.52,14.87,0.0,0.0,30368
04/29/2019,14.88,14.84,14.7081,15.1239,0.0,0.0,17397
04/26/2019,15.99,14.92,14.25,15.99,0.0,0.0,43652
04/25/2019,15.31,15.305,15.08,15.64,0.0,0.0,33841
04/24/2019,15.16,15.38,15.0387,15.41,0.0,0.0,16316
04/23/2019,15.1,15.17,15.06,15.5,0.0,0.0,19983
04/22/2019,15.07,15.18,15.07,15.37,0.0,0.0,13592
04/18/2019,15.12,15.34,15.08,15.34,0.0,0.0,10880
04/17/2019,15.012,15.17,14.95,15.29,0.0,0.0,25765
04/16/2019,14.9636,15.06,14.9636,15.42,0.0,0.0,12936
