Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,43.78,44.12,43.39,44.22,0.0,0.0,342286
07/11/2019,43.54,43.78,43.44,44.12,0.0,0.0,341685
07/10/2019,43.29,43.31,42.9549,43.46,0.0,0.0,270011
07/09/2019,42.63,43.07,42.63,43.16,0.0,0.0,245840
07/08/2019,43.16,42.83,42.76,43.34,0.0,0.0,327570
07/05/2019,42.9,43.19,42.39,43.21,0.0,0.0,185868
07/03/2019,42.44,43.15,42.33,43.18,0.0,0.0,238083
07/02/2019,42.29,42.29,42.04,42.46,0.0,0.0,291198
07/01/2019,42.39,42.31,41.96,42.52,0.0,0.0,378507
06/28/2019,41.98,41.83,41.7,42.14,0.0,0.0,1268260
06/27/2019,41.62,41.77,41.62,41.92,0.0,0.0,362332
06/26/2019,41.65,41.59,41.24,41.79,0.0,0.0,500474
06/25/2019,42.26,41.57,41.56,42.32,0.0,0.0,447038
06/24/2019,42.65,42.1,42.1,42.81,0.0,0.0,355703
06/21/2019,43.54,42.6,42.485,43.79,0.0,0.0,748483
06/20/2019,43.2,43.79,43.02,43.94,0.0,0.0,497470
06/19/2019,42.94,42.76,42.39,43.26,0.0,0.0,515240
06/18/2019,42.99,42.92,42.715,43.41,0.0,0.0,793389
06/17/2019,42.43,42.48,42.35,42.77,0.0,0.0,374784
06/14/2019,43.08,42.33,42.27,43.08,0.0,0.0,465059
06/13/2019,43.52,43.11,42.96,43.69,0.0,0.0,424983
06/12/2019,42.43,43.4,42.43,43.46,0.0,0.0,480521
06/11/2019,43.25,42.68,42.46,43.57,0.0,0.0,363145
06/10/2019,43.02,43,42.66,43.32,0.0,0.0,469726
06/07/2019,42.39,42.71,42.39,43.005,0.0,0.0,413203
06/06/2019,41.49,42.31,41.49,42.44,0.0,0.0,424275
06/05/2019,41.13,41.49,40.86,41.59,0.0,0.0,453557
06/04/2019,39.49,40.91,39.225,41.0888,0.0,0.0,518005
06/03/2019,39.25,39.12,38.64,39.25,0.0,0.0,673660
05/31/2019,39.62,39.19,38.89,39.62,0.0,0.0,903455
05/30/2019,41.09,39.99,39.95,41.45,0.0,0.0,470165
05/29/2019,41.01,41.01,40.73,41.08,0.0,0.0,522932
05/28/2019,40.96,41.21,40.96,41.39,0.0,0.0,480789
05/24/2019,40.71,40.92,40.64,41.38,0.0,0.0,415938
05/23/2019,40.55,40.5,40.34,40.75,0.0,0.0,556622
05/22/2019,40.87,40.92,40.41,41.2,0.0,0.0,771248
05/21/2019,40.68,41.06,40.68,41.25,0.0,0.0,416980
05/20/2019,40,40.42,39.865,40.71,0.0,0.0,301864
05/17/2019,40,40.51,39.98,40.98,0.0,0.0,405300
05/16/2019,39.92,40.28,39.725,40.59,0.0,0.0,422631
05/15/2019,38.3,39.69,38.3,39.71,0.0,0.0,330631
05/14/2019,38.53,38.67,38.45,38.915,0.0,0.0,361915
05/13/2019,38.98,38.51,38.32,39.17,0.0,0.0,503296
05/10/2019,39.51,39.75,39.08,39.9,0.0,0.0,350711
05/09/2019,39.07,39.61,38.57,39.65,0.0,0.0,289739
05/08/2019,39.48,39.45,39.26,39.86,0.0,0.0,264608
05/07/2019,40.28,39.63,39.4,40.35,0.0,0.0,572708
05/06/2019,39.91,40.65,39.84,40.87,0.0,0.0,483424
05/03/2019,40.21,40.62,39.97,40.65,0.0,0.0,554195
05/02/2019,39.8,40.03,39.74,40.38,0.0,0.0,553725
05/01/2019,40.62,39.93,39.6901,40.62,0.0,0.0,848791
04/30/2019,40.95,40.61,40.39,41.23,0.0,0.0,701960
04/29/2019,40.81,40.95,40.73,41.225,0.0,0.0,620243
04/26/2019,40.39,40.81,40.18,40.9,0.0,0.0,1059202
04/25/2019,41.85,40.2,39.82,41.85,0.0,0.0,1627102
04/24/2019,42.34,42.35,42.2,42.7,0.0,0.0,649736
04/23/2019,42.02,42.25,42.02,42.43,0.0,0.0,731591
04/22/2019,42.11,41.98,41.95,42.33,0.0,0.0,548262
04/18/2019,41.95,42.12,41.73,42.3,0.0,0.0,886019
04/17/2019,41.13,41.81,40.96,42.07,0.0,0.0,859205
04/16/2019,41.33,41.05,40.885,41.47,0.0,0.0,962107
04/15/2019,40.44,41.2,40.32,41.24,0.0,0.0,641477
04/12/2019,39.82,40.19,39.57,40.46,0.0,0.0,815159
