Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,68.67,69.78,68.61,69.95,0.0,0.0,343211
07/11/2019,68.63,68.44,67.83,68.83,0.0,0.0,203893
07/10/2019,69.62,68.86,68.47,69.84,0.0,0.0,492982
07/09/2019,70.27,69.34,69.18,70.5,0.0,0.0,279973
07/08/2019,71.41,70.49,70.06,71.41,0.0,0.0,248926
07/05/2019,70.59,71.42,70.08,71.42,0.0,0.0,198534
07/03/2019,70.55,70.67,70,71.2,0.0,0.0,106274
07/02/2019,70.55,70.2,69.61,70.9,0.0,0.0,188495
07/01/2019,71.86,70.53,70.23,72.28,0.0,0.0,311895
06/28/2019,70.43,71.1,70.2,71.43,0.0,0.0,498445
06/27/2019,69.21,69.99,69.015,70.0699,0.0,0.0,285235
06/26/2019,68.73,68.84,68.2,69.3,0.0,0.0,234621
06/25/2019,68.46,68.56,67.77,69.185,0.0,0.0,326322
06/24/2019,70.05,68.24,68.0901,70.17,0.0,0.0,206052
06/21/2019,69.5,69.81,69.09,70.15,0.0,0.0,445047
06/20/2019,69.11,69.84,69.02,71.18,0.0,0.0,453761
06/19/2019,67.84,68.31,67.3,68.48,0.0,0.0,192943
06/18/2019,67.8,67.85,67.48,68.5,0.0,0.0,280445
06/17/2019,66.44,67.4,66.17,67.65,0.0,0.0,217199
06/14/2019,66.9,66.4,65.56,66.9,0.0,0.0,228446
06/13/2019,67.38,66.88,66.44,67.64,0.0,0.0,117917
06/12/2019,66.73,67.14,66.34,67.474,0.0,0.0,201296
06/11/2019,67.1,66.91,66.56,67.8,0.0,0.0,179183
06/10/2019,65.96,66.67,65.815,67.05,0.0,0.0,334305
06/07/2019,66.72,65.94,65.86,66.9,0.0,0.0,207750
06/06/2019,66.97,66.45,66.07,67.065,0.0,0.0,169686
06/05/2019,66.08,66.84,65.76,66.9,0.0,0.0,332031
06/04/2019,65.03,65.65,64.56,65.82,0.0,0.0,266062
06/03/2019,64.34,64.64,63.88,64.98,0.0,0.0,211402
05/31/2019,63.03,64.12,62.54,64.42,0.0,0.0,320112
05/30/2019,64.05,63.85,63.14,64.84,0.0,0.0,149787
05/29/2019,64.6,64.04,63.62,64.6,0.0,0.0,288631
05/28/2019,66.75,64.99,64.91,67.25,0.0,0.0,255008
05/24/2019,66.78,66.81,66.59,67.78,0.0,0.0,584773
05/23/2019,67.58,66.4,66.265,67.58,0.0,0.0,179811
05/22/2019,68.83,68.21,67.93,69.445,0.0,0.0,214261
05/21/2019,68.29,69.12,68.02,69.14,0.0,0.0,229996
05/20/2019,67.48,67.96,67.17,68.035,0.0,0.0,287417
05/17/2019,68.28,67.77,67.73,68.58,0.0,0.0,203386
05/16/2019,68.43,68.71,68.32,69.715,0.0,0.0,338273
05/15/2019,67.75,68.05,67.6,68.305,0.0,0.0,189916
05/14/2019,68.26,68.17,67.89,68.7,0.0,0.0,450034
05/13/2019,68.71,68,67.45,69,0.0,0.0,244284
05/10/2019,69.37,69.92,68.44,70.05,0.0,0.0,548151
05/09/2019,69.32,69.78,68.01,70.32,0.0,0.0,501958
05/08/2019,70.23,69.95,69.88,70.46,0.0,0.0,240549
05/07/2019,70.55,70.23,69.85,70.96,0.0,0.0,289564
05/06/2019,70.6,71.16,70.495,71.86,0.0,0.0,387344
05/03/2019,71.71,71.83,70.41,71.93,0.0,0.0,525145
05/02/2019,70.41,71.37,69.55,71.61,0.0,0.0,551785
05/01/2019,77.24,70.9,70.24,77.24,0.0,0.0,1128919
04/30/2019,75.23,76,75.23,76.2,0.0,0.0,701417
04/29/2019,74.61,75.16,74.5,75.68,0.0,0.0,519338
04/26/2019,73.65,74.24,73.65,74.38,0.0,0.0,312945
04/25/2019,74.52,73.57,73.21,74.62,0.0,0.0,317395
04/24/2019,73.98,74.5,73.98,75.01,0.0,0.0,1318760
04/23/2019,73.4,74.32,73.08,74.66,0.0,0.0,401375
04/22/2019,72.07,72.92,71.97,73.23,0.0,0.0,386757
04/18/2019,72.26,72.16,71.39,72.605,0.0,0.0,365667
04/17/2019,72.85,72.18,71.825,72.85,0.0,0.0,211805
04/16/2019,73.51,72.78,72.275,73.51,0.0,0.0,209087
04/15/2019,72.81,73.09,72.48,73.23,0.0,0.0,181370
04/12/2019,73.09,72.46,72.14,73.96,0.0,0.0,522411
