Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,6.52,6.62,6.49,6.72,0.0,0.0,365303
07/11/2019,6.53,6.48,6.45,6.57,0.0,0.0,482210
07/10/2019,6.63,6.54,6.515,6.68,0.0,0.0,579716
07/09/2019,6.69,6.61,6.585,6.74,0.0,0.0,168396
07/08/2019,6.93,6.74,6.74,6.93,0.0,0.0,284105
07/05/2019,6.85,6.93,6.8,6.95,0.0,0.0,416341
07/03/2019,6.81,6.86,6.8,6.88,0.0,0.0,149193
07/02/2019,7.04,6.81,6.765,7.04,0.0,0.0,370800
07/01/2019,6.92,7.03,6.92,7.2,0.0,0.0,944831
06/28/2019,6.77,6.83,6.77,6.87,0.0,0.0,160682
06/27/2019,6.74,6.78,6.7,6.795,0.0,0.0,180702
06/26/2019,6.68,6.71,6.63,6.79,0.0,0.0,999763
06/25/2019,6.7,6.64,6.55,6.7,0.0,0.0,290374
06/24/2019,6.62,6.67,6.57,6.74,0.0,0.0,213702
06/21/2019,6.61,6.6,6.49,6.63,0.0,0.0,188760
06/20/2019,6.61,6.59,6.51,6.61,0.0,0.0,498217
06/19/2019,6.5,6.47,6.4,6.56,0.0,0.0,399788
06/18/2019,6.36,6.46,6.36,6.52,0.0,0.0,344141
06/17/2019,6.35,6.32,6.29,6.41,0.0,0.0,291282
06/14/2019,6.34,6.32,6.25,6.36,0.0,0.0,287278
06/13/2019,6.38,6.38,6.345,6.42,0.0,0.0,300845
06/12/2019,6.38,6.38,6.35,6.42,0.0,0.0,174542
06/11/2019,6.42,6.42,6.33,6.495,0.0,0.0,241791
06/10/2019,6.41,6.39,6.35,6.52,0.0,0.0,167545
06/07/2019,6.33,6.37,6.28,6.4,0.0,0.0,180377
06/06/2019,6.25,6.3,6.18,6.33,0.0,0.0,160092
06/05/2019,6.44,6.22,6.17,6.46,0.0,0.0,419031
06/04/2019,6.31,6.43,6.29,6.44,0.0,0.0,180222
06/03/2019,6.3,6.25,6.25,6.37,0.0,0.0,240816
05/31/2019,6.4,6.28,6.22,6.415,0.0,0.0,283553
05/30/2019,6.44,6.46,6.4,6.46,0.0,0.0,274424
05/29/2019,6.58,6.42,6.4,6.62,0.0,0.0,430310
05/28/2019,6.51,6.64,6.5,6.68,0.0,0.0,313271
05/24/2019,6.58,6.52,6.48,6.64,0.0,0.0,363525
05/23/2019,6.84,6.55,6.53,6.855,0.0,0.0,468229
05/22/2019,7.02,6.87,6.86,7.1,0.0,0.0,292801
05/21/2019,6.99,7.06,6.99,7.16,0.0,0.0,376090
05/20/2019,6.84,6.95,6.84,6.975,0.0,0.0,306811
05/17/2019,6.97,6.95,6.925,7.015,0.0,0.0,223492
05/16/2019,7.11,7.02,7,7.15,0.0,0.0,572624
05/15/2019,7.03,7.11,7,7.16,0.0,0.0,521119
05/14/2019,7.18,7.08,7.025,7.22,0.0,0.0,707349
05/13/2019,7.19,7.14,7.11,7.23,0.0,0.0,732589
05/10/2019,7.36,7.3,7.25,7.41,0.0,0.0,291508
05/09/2019,7.3,7.39,7.27,7.44,0.0,0.0,442046
05/08/2019,7.33,7.34,7.26,7.41,0.0,0.0,501364
05/07/2019,7.24,7.33,7.24,7.36,0.0,0.0,313826
05/06/2019,7.18,7.3,7.16,7.31,0.0,0.0,404996
05/03/2019,7.13,7.26,7.12,7.285,0.0,0.0,385049
05/02/2019,7.14,7.11,7.08,7.24,0.0,0.0,475869
05/01/2019,7.13,7.17,7.12,7.285,0.0,0.0,973427
04/30/2019,7.22,7.13,7.0575,7.28,0.0,0.0,462467
04/29/2019,7.16,7.28,7.11,7.315,0.0,0.0,509446
04/26/2019,7.22,7.17,6.9,7.3,0.0,0.0,995607
04/25/2019,7.83,7.31,7.11,7.83,0.0,0.0,1534237
04/24/2019,8.72,8.61,8.56,8.785,0.0,0.0,350403
04/23/2019,8.71,8.7,8.63,8.8,0.0,0.0,494814
04/22/2019,8.75,8.65,8.6,8.75,0.0,0.0,180749
04/18/2019,8.76,8.75,8.71,8.81,0.0,0.0,164133
04/17/2019,8.9,8.84,8.83,8.97,0.0,0.0,180623
04/16/2019,8.84,8.88,8.82,8.96,0.0,0.0,126821
04/15/2019,8.7,8.8,8.7,8.83,0.0,0.0,160700
04/12/2019,8.78,8.7,8.646,8.82,0.0,0.0,130816
