Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,155.7,158.06,155.47,158.2,0.0,0.0,745778
07/11/2019,154.69,155.24,153.79,155.26,0.0,0.0,578615
07/10/2019,155.26,154.51,153.85,155.88,0.0,0.0,874214
07/09/2019,156.43,155.45,153.7401,156.77,0.0,0.0,700994
07/08/2019,156.14,156.88,155.8176,157.14,0.0,0.0,523938
07/05/2019,156.05,155.77,153.43,156.83,0.0,0.0,616202
07/03/2019,154.77,156.95,154.38,157.75,0.0,0.0,732944
07/02/2019,152.74,154.16,152.74,154.54,0.0,0.0,745032
07/01/2019,153.77,152.8,151.3,154.35,0.0,0.0,1146157
06/28/2019,152.49,153.11,152.12,154.265,0.0,0.0,1228773
06/27/2019,151.28,152.27,150.97,153.16,0.0,0.0,554236
06/26/2019,154.86,151.65,151.46,155.39,0.0,0.0,791529
06/25/2019,154.74,155.77,154.52,156.4,0.0,0.0,572720
06/24/2019,155.5,155.21,154.49,156,0.0,0.0,589365
06/21/2019,154.85,154.92,153.58,155.28,0.0,0.0,1226522
06/20/2019,153.08,154.58,152.51,154.86,0.0,0.0,1034545
06/19/2019,153.35,153.08,151.82,153.77,0.0,0.0,826619
06/18/2019,155.31,153.64,152.5,155.56,0.0,0.0,766050
06/17/2019,157.22,154.82,154.21,157.295,0.0,0.0,786740
06/14/2019,156.2,156.88,155.13,157.3,0.0,0.0,697097
06/13/2019,157.41,155.98,154.6,157.849,0.0,0.0,1034804
06/12/2019,156.74,156.92,156.5,157.85,0.0,0.0,751942
06/11/2019,156.22,156.13,155.57,157.12,0.0,0.0,776407
06/10/2019,156.53,156.79,155.1,157.12,0.0,0.0,644170
06/07/2019,159.53,156.63,156.19,160.49,0.0,0.0,1408142
06/06/2019,155.72,158.96,155.46,159.58,0.0,0.0,1164179
06/05/2019,153.55,155.4,152.48,155.54,0.0,0.0,989678
06/04/2019,152.96,152.8,151.59,153.71,0.0,0.0,926438
06/03/2019,148.91,152.58,147.32,152.95,0.0,0.0,1123237
05/31/2019,149.4,148.81,148.21,149.63,0.0,0.0,914566
05/30/2019,147.14,149.64,147.14,150,0.0,0.0,1148078
05/29/2019,146.01,147.4,144.59,147.54,0.0,0.0,1285761
05/28/2019,149.46,146.83,146.69,150.84,0.0,0.0,1591989
05/24/2019,151.33,149.63,149.54,151.99,0.0,0.0,728733
05/23/2019,150.32,150.88,148.93,151.09,0.0,0.0,988558
05/22/2019,148.2,150.6,147.5,150.98,0.0,0.0,1074205
05/21/2019,147.69,148.18,147.12,149.22,0.0,0.0,1062122
05/20/2019,145.5,146.72,145.25,147.71,0.0,0.0,1067341
05/17/2019,148.02,147.05,146.77,148.3,0.0,0.0,1117620
05/16/2019,148.57,148.72,148.02,149.82,0.0,0.0,714435
05/15/2019,147.38,148.32,147.38,149.22,0.0,0.0,685560
05/14/2019,148.31,147.23,147.14,149.42,0.0,0.0,870581
05/13/2019,147.08,149.14,147.08,149.68,0.0,0.0,951684
05/10/2019,146.37,148.19,145.59,148.39,0.0,0.0,896266
05/09/2019,148.82,146.96,146.57,149.07,0.0,0.0,1074895
05/08/2019,148.62,148.82,147.29,150.09,0.0,0.0,970169
05/07/2019,148,148.46,147.09,148.89,0.0,0.0,844739
05/06/2019,148.22,148.25,147.015,149.8599,0.0,0.0,1305413
05/03/2019,148.96,148.18,147.5,148.98,0.0,0.0,1169604
05/02/2019,148.1,148.74,145.65,149.14,0.0,0.0,2018600
05/01/2019,153.59,148.16,148.11,154.38,0.0,0.0,4161989
04/30/2019,155.83,159.73,155.01,159.81,0.0,0.0,2433761
04/29/2019,157.06,156.38,155.505,157.56,0.0,0.0,1089296
04/26/2019,155.82,157.56,155.14,157.76,0.0,0.0,1213259
04/25/2019,153.59,155.09,153.12,155.66,0.0,0.0,916595
04/24/2019,153.8,154.22,153.17,154.97,0.0,0.0,950528
04/23/2019,153.4,153.53,151.915,153.99,0.0,0.0,1087427
04/22/2019,154.46,154.51,153.32,154.89,0.0,0.0,1041048
04/18/2019,153.68,153.48,152.78,154.35,0.0,0.0,653628
04/17/2019,152.69,153.01,151.935,153.28,0.0,0.0,705629
04/16/2019,154.87,152.34,151.3139,155.37,0.0,0.0,1084800
04/15/2019,155.03,154.45,153.695,155.39,0.0,0.0,772492
04/12/2019,155.52,155.49,154.69,156.5,0.0,0.0,919409
