Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,39.77,40.39,39.52,40.94,0.0,0.0,152667
07/15/2019,40.45,39.74,39.65,40.87,0.0,0.0,61052
07/12/2019,39.96,40.37,39.95,40.5,0.0,0.0,77453
07/11/2019,39.85,39.74,39.305,40.03,0.0,0.0,96230
07/10/2019,40.62,39.9,39.84,40.85,0.0,0.0,103652
07/09/2019,40.88,40.5,40.18,40.88,0.0,0.0,73552
07/08/2019,41.23,40.95,40.585,41.74,0.0,0.0,115019
07/05/2019,41.73,41.5,41.29,41.95,0.0,0.0,66015
07/03/2019,42.48,41.97,41.84,42.48,0.0,0.0,27823
07/02/2019,42.84,42.29,41.82,42.84,0.0,0.0,76519
07/01/2019,42.61,42.87,41.82,43.08,0.0,0.0,117983
06/28/2019,40.81,41.97,40.65,42.13,0.0,0.0,279221
06/27/2019,40.9,41.17,40.61,41.42,0.0,0.0,81378
06/26/2019,40.2,40.92,40.16,41.03,0.0,0.0,149827
06/25/2019,39.63,40.05,39.34,40.1575,0.0,0.0,76527
06/24/2019,39.86,39.7,39.51,40.295,0.0,0.0,70852
06/21/2019,39.73,40,39.54,40.56,0.0,0.0,120127
06/20/2019,39.79,39.93,39.265,40,0.0,0.0,123318
06/19/2019,39.36,39.45,38.9,39.78,0.0,0.0,121804
06/18/2019,38.17,39.41,38.01,39.62,0.0,0.0,145288
06/17/2019,38.84,37.95,37.9,38.92,0.0,0.0,91661
06/14/2019,39,38.7,38.35,39.19,0.0,0.0,126662
06/13/2019,39.25,39.04,38.79,39.62,0.0,0.0,80389
06/12/2019,38.89,39,38.52,39.12,0.0,0.0,66021
06/11/2019,39.3,38.9,38.76,39.76,0.0,0.0,123167
06/10/2019,38.88,38.91,38.81,39.91,0.0,0.0,104737
06/07/2019,38.91,38.52,38.33,39.08,0.0,0.0,87146
06/06/2019,38.32,38.55,38.04,38.88,0.0,0.0,56663
06/05/2019,38.6,38.38,38.03,39.07,0.0,0.0,68743
06/04/2019,37.16,38.57,37.16,38.63,0.0,0.0,115473
06/03/2019,35.94,36.93,35.94,37.24,0.0,0.0,142523
05/31/2019,36.18,36.26,35.09,36.315,0.0,0.0,150407
05/30/2019,36.7,36.74,36.44,37.55,0.0,0.0,196469
05/29/2019,36.64,36.7,34.5,37.145,0.0,0.0,429826
05/28/2019,33.31,32.6,32.47,33.67,0.0,0.0,181274
05/24/2019,34.21,33.24,32.62,34.32,0.0,0.0,133119
05/23/2019,35.13,34.07,33.88,35.23,0.0,0.0,63725
05/22/2019,35.97,35.59,35.52,36.58,0.0,0.0,73250
05/21/2019,35.72,36.18,35.65,36.34,0.0,0.0,50414
05/20/2019,34.9,35.47,34.8,35.52,0.0,0.0,61598
05/17/2019,35.27,35.19,35.01,35.57,0.0,0.0,62928
05/16/2019,35.47,35.62,35.45,36.33,0.0,0.0,56955
05/15/2019,34.98,35.33,34.8,35.57,0.0,0.0,105362
05/14/2019,35.37,35.32,34.89,35.51,0.0,0.0,118878
05/13/2019,36.38,35.21,35.075,36.84,0.0,0.0,54694
05/10/2019,37.24,37.18,36.47,37.41,0.0,0.0,48177
05/09/2019,36.41,37.48,36.17,37.79,0.0,0.0,72225
05/08/2019,37.89,36.79,36.54,38.13,0.0,0.0,102507
05/07/2019,38.51,37.97,37.69,38.83,0.0,0.0,66913
05/06/2019,38.72,38.9,38.4,39.45,0.0,0.0,58259
05/03/2019,38.64,39.58,38.475,39.72,0.0,0.0,72706
05/02/2019,38.59,38.44,38.04,38.59,0.0,0.0,51739
05/01/2019,39.4,38.63,38.63,39.4,0.0,0.0,79016
04/30/2019,39.14,39.36,38.53,39.41,0.0,0.0,127130
04/29/2019,39.05,39.22,38.86,40.19,0.0,0.0,60201
04/26/2019,39.24,39.02,38.95,39.6975,0.0,0.0,57680
04/25/2019,39.55,39.17,38.8408,39.58,0.0,0.0,88564
04/24/2019,39.95,39.55,39.44,40.35,0.0,0.0,105040
04/23/2019,39.58,39.97,39.48,40.35,0.0,0.0,78931
04/22/2019,39.75,39.69,39.39,40,0.0,0.0,55032
04/18/2019,40.24,40.07,39.84,40.8,0.0,0.0,67939
04/17/2019,40.39,40.26,39.86,41.14,0.0,0.0,107863
04/16/2019,39.89,40.25,39.82,40.61,0.0,0.0,119473
