Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,744.1,750.85,741.5,753.475,0.0,0.0,576766
07/11/2019,744.5,740.06,736.3114,746.4366,0.0,0.0,240040
07/10/2019,745.51,743.01,737.46,751.98,0.0,0.0,297290
07/09/2019,748.81,745.49,742.1602,754.5429,0.0,0.0,315616
07/08/2019,737.63,748.8,735.7569,752.7927,0.0,0.0,534080
07/05/2019,729.95,739.54,728.33,739.81,0.0,0.0,328650
07/03/2019,722.03,730.98,721.37,734.25,0.0,0.0,227764
07/02/2019,726.15,723.08,717.24,729.67,0.0,0.0,303875
07/01/2019,738.43,725.39,723.55,740.53,0.0,0.0,392250
06/28/2019,723.17,732.88,720.57,732.88,0.0,0.0,487329
06/27/2019,730.3,724.12,720.7,730.3,0.0,0.0,409302
06/26/2019,735.1,727.49,723.53,737.83,0.0,0.0,288194
06/25/2019,733.94,733.22,727.74,739.96,0.0,0.0,460987
06/24/2019,726.77,724.13,720.3206,731,0.0,0.0,378562
06/21/2019,739.66,726.85,726.85,739.66,0.0,0.0,363103
06/20/2019,742,738.8,732.73,742.64,0.0,0.0,366649
06/19/2019,732.19,736.35,723.0605,737.16,0.0,0.0,314308
06/18/2019,733.75,732.54,724.3,740,0.0,0.0,384759
06/17/2019,743,731.65,730.01,749.23,0.0,0.0,358349
06/14/2019,733.88,740.59,730.61,742.27,0.0,0.0,380919
06/13/2019,741.84,732.29,728.66,749.245,0.0,0.0,417905
06/12/2019,733.77,737.74,732.22,743.43,0.0,0.0,450933
06/11/2019,720.51,729.24,718.01,730.41,0.0,0.0,476825
06/10/2019,716.7,720.52,714.85,730,0.0,0.0,541105
06/07/2019,698,709.87,697.85,714.42,0.0,0.0,595921
06/06/2019,683.15,692.18,677.43,694,0.0,0.0,591950
06/05/2019,663.5,679.48,663.315,679.48,0.0,0.0,678525
06/04/2019,649.07,662.18,647.95,665.39,0.0,0.0,842592
06/03/2019,657.63,641.66,636.73,667.91,0.0,0.0,624615
05/31/2019,662.95,659.97,657.71,669,0.0,0.0,634520
05/30/2019,667.98,678,665.01,678.84,0.0,0.0,339165
05/29/2019,676.4,667.97,660.03,676.4,0.0,0.0,571211
05/28/2019,662.9,680.07,662.38,681.64,0.0,0.0,645205
05/24/2019,670,662.56,658.73,671.97,0.0,0.0,605661
05/23/2019,682,667.12,656.1424,687,0.0,0.0,1491030
05/22/2019,715,706.04,704.62,718.26,0.0,0.0,677351
05/21/2019,721.56,715,714.99,723,0.0,0.0,441499
05/20/2019,717,718,715.0201,727,0.0,0.0,473725
05/17/2019,705,715.91,705,718.96,0.0,0.0,538507
05/16/2019,708.07,708.93,705.1192,719.14,0.0,0.0,422448
05/15/2019,700.01,705.89,698.52,710.67,0.0,0.0,307774
05/14/2019,690.51,703.18,687,708.85,0.0,0.0,504920
05/13/2019,697.6,687.27,680.69,698.62,0.0,0.0,470078
05/10/2019,702.8,705.44,693.49,708.65,0.0,0.0,520821
05/09/2019,706,705.13,697.405,708.26,0.0,0.0,322303
05/08/2019,706.38,709.57,701.55,713.8628,0.0,0.0,475314
05/07/2019,716.63,706.52,702.1,721.42,0.0,0.0,463060
05/06/2019,703.23,716.67,702.9,720,0.0,0.0,517980
05/03/2019,707.57,709.52,703.42,710.9321,0.0,0.0,436348
05/02/2019,687.4,707.87,686.15,708.8585,0.0,0.0,623504
05/01/2019,688.86,688.56,685.4,697.33,0.0,0.0,410626
04/30/2019,677.91,688.04,670,689.3599,0.0,0.0,591516
04/29/2019,680.35,677.9,669.12,680.5,0.0,0.0,634611
04/26/2019,682,676.79,674.575,689.3073,0.0,0.0,765823
04/25/2019,711.01,678.07,658.5046,713.55,0.0,0.0,2330808
04/24/2019,705.96,709.75,698.79,714.29,0.0,0.0,1137485
04/23/2019,701.9,702.46,696,704.64,0.0,0.0,526079
04/22/2019,699,701.67,692,702.8419,0.0,0.0,463290
04/18/2019,695,700,687.0001,700,0.0,0.0,643974
04/17/2019,699.41,688.21,686.5,699.94,0.0,0.0,864562
04/16/2019,716.65,706.48,704.76,716.65,0.0,0.0,444323
04/15/2019,712.19,712.27,708.3501,714.49,0.0,0.0,271812
04/12/2019,707.5,712.44,707.5,715.25,0.0,0.0,417222
