Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,52.19,53.03,52.02,53.24,0.0,0.0,451984
07/11/2019,52.41,52.19,51.715,52.49,0.0,0.0,208895
07/10/2019,52.98,52.3,52.28,53.565,0.0,0.0,276147
07/09/2019,53.15,52.38,51.475,53.195,0.0,0.0,406679
07/08/2019,54.75,53.51,53.47,54.85,0.0,0.0,235230
07/05/2019,54.07,54.84,53.61,54.97,0.0,0.0,181466
07/03/2019,54.6,54.55,54.22,54.6802,0.0,0.0,97425
07/02/2019,56,54.37,54.02,56.225,0.0,0.0,236102
07/01/2019,55.5,56.1,55.38,56.67,0.0,0.0,348907
06/28/2019,54.75,54.95,54.75,55.87,0.0,0.0,784097
06/27/2019,55.14,54.68,54.11,55.23,0.0,0.0,303954
06/26/2019,54.29,54.92,54.29,55.4,0.0,0.0,255259
06/25/2019,54.77,54.12,53.9497,55.095,0.0,0.0,309126
06/24/2019,55.79,54.78,54.49,56.16,0.0,0.0,358927
06/21/2019,56.54,55.79,55.56,56.85,0.0,0.0,907771
06/20/2019,58.56,56.9,56.79,58.88,0.0,0.0,316666
06/19/2019,57.63,57.53,57.095,58.08,0.0,0.0,246527
06/18/2019,56.89,57.42,56.52,58.5,0.0,0.0,266350
06/17/2019,55.53,56.28,54.75,56.785,0.0,0.0,249053
06/14/2019,56.2,55.53,54.79,56.445,0.0,0.0,248298
06/13/2019,56.66,56.67,56.3,57.38,0.0,0.0,204246
06/12/2019,56.69,56.22,56.02,57.23,0.0,0.0,173143
06/11/2019,55.95,56.64,55.63,56.76,0.0,0.0,299374
06/10/2019,54.66,54.92,54.31,55.23,0.0,0.0,229855
06/07/2019,53.94,54.05,53.35,54.66,0.0,0.0,267177
06/06/2019,53.32,53.62,52.74,53.7,0.0,0.0,176306
06/05/2019,53.46,53.29,52.08,53.87,0.0,0.0,262649
06/04/2019,51.8,53.38,51.67,53.9,0.0,0.0,300309
06/03/2019,51.11,51.26,50.9133,52.5886,0.0,0.0,254250
05/31/2019,51.47,51.01,50.82,51.73,0.0,0.0,217088
05/30/2019,52.69,52.09,51.49,53.35,0.0,0.0,229372
05/29/2019,51.91,53.34,51.71,53.68,0.0,0.0,204398
05/28/2019,53.5,52.28,51.7076,53.97,0.0,0.0,252876
05/24/2019,52.39,52.53,51.76,52.55,0.0,0.0,161319
05/23/2019,52.65,51.97,51.382,52.8692,0.0,0.0,231190
05/22/2019,54.36,53.3,52.57,54.36,0.0,0.0,202314
05/21/2019,53.61,54.51,53.23,54.54,0.0,0.0,193724
05/20/2019,53.46,53.31,52.66,54.71,0.0,0.0,250241
05/17/2019,54.31,54.3,53.76,55.12,0.0,0.0,363311
05/16/2019,54.72,54.91,54.26,55.5127,0.0,0.0,271092
05/15/2019,52.92,54.5,52.74,54.52,0.0,0.0,232443
05/14/2019,53.18,53.44,52.93,54.1,0.0,0.0,342847
05/13/2019,52.7,52.13,51.62,52.845,0.0,0.0,345037
05/10/2019,53.71,54.13,53.07,54.405,0.0,0.0,237222
05/09/2019,53.05,53.77,52.17,53.86,0.0,0.0,275316
05/08/2019,53.76,53.32,53.25,54.215,0.0,0.0,311756
05/07/2019,55.95,53.75,53.02,56.33,0.0,0.0,605547
05/06/2019,55,56.35,54.75,56.74,0.0,0.0,351935
05/03/2019,55.79,56.41,55.33,57.01,0.0,0.0,455396
05/02/2019,55.41,55.09,54.97,57.03,0.0,0.0,343960
05/01/2019,57.8,55.47,55.4,59.9,0.0,0.0,676626
04/30/2019,57.75,57.39,56.38,57.75,0.0,0.0,261725
04/29/2019,57.35,57.83,57.04,58.28,0.0,0.0,414939
04/26/2019,56.08,57.21,55.65,57.2919,0.0,0.0,199249
04/25/2019,57.01,55.85,55.05,57.01,0.0,0.0,207745
04/24/2019,57.76,57.08,57.06,58.26,0.0,0.0,205296
04/23/2019,56.1,58.16,55.92,58.42,0.0,0.0,275341
04/22/2019,57.41,55.74,55.71,57.549,0.0,0.0,400305
04/18/2019,57.43,57.49,56.6,58.16,0.0,0.0,309769
04/17/2019,57.98,57.78,57.51,58.7,0.0,0.0,329488
04/16/2019,57.73,58.04,57.12,58.28,0.0,0.0,151336
04/15/2019,58.2,57.54,57.2203,58.25,0.0,0.0,143768
04/12/2019,57.93,58.25,57.8729,58.53,0.0,0.0,184953
