Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,93.76,93.7,93.3,93.94,0.0,0.0,551086
07/11/2019,93.45,93.59,93.12,93.92,0.0,0.0,549245
07/10/2019,94.37,93.06,92.57,94.54,0.0,0.0,607020
07/09/2019,93.33,93.71,93.18,94.2,0.0,0.0,708653
07/08/2019,94.29,93.78,93.74,94.64,0.0,0.0,660331
07/05/2019,94.64,94.84,94.15,95.11,0.0,0.0,551858
07/03/2019,94.4,94.72,94.36,95.1,0.0,0.0,309590
07/02/2019,94.31,94.22,93.67,94.74,0.0,0.0,1134455
07/01/2019,93.07,94.53,93.07,94.6,0.0,0.0,834661
06/28/2019,91.69,92.48,91.61,92.55,0.0,0.0,698595
06/27/2019,91.31,91.54,91.08,91.74,0.0,0.0,353341
06/26/2019,91.36,90.88,90.69,91.6,0.0,0.0,483050
06/25/2019,92.32,91.41,90.8,92.42,0.0,0.0,697525
06/24/2019,92.95,92.27,92.1,93.36,0.0,0.0,825852
06/21/2019,92.66,93,92.46,93.47,0.0,0.0,697178
06/20/2019,93.09,93.11,92.46,93.32,0.0,0.0,508435
06/19/2019,92.03,92.2,91.31,92.34,0.0,0.0,414887
06/18/2019,91.36,91.69,91.29,92.32,0.0,0.0,636371
06/17/2019,91.22,90.78,90.75,91.71,0.0,0.0,646145
06/14/2019,91.02,91.42,90.8,91.66,0.0,0.0,662027
06/13/2019,91.58,91.28,90.72,91.65,0.0,0.0,468736
06/12/2019,90.613,91.49,90.5,91.89,0.0,0.0,510465
06/11/2019,91.02,90.73,90.14,91.21,0.0,0.0,761098
06/10/2019,91.49,90.42,90.17,91.64,0.0,0.0,1465147
06/07/2019,91.54,91.23,91.1,92.1,0.0,0.0,1197124
06/06/2019,91.19,90.9,90.61,91.42,0.0,0.0,864169
06/05/2019,90.83,91.26,89.95,91.8,0.0,0.0,672498
06/04/2019,90.13,90.4,89.155,90.48,0.0,0.0,1112377
06/03/2019,88.85,89.59,88.68,90.14,0.0,0.0,799470
05/31/2019,88.7,88.59,88.08,89.27,0.0,0.0,1003276
05/30/2019,89.32,89.39,88.78,89.87,0.0,0.0,934997
05/29/2019,90.46,89.32,89.3,90.66,0.0,0.0,897578
05/28/2019,92.22,91.11,91.09,92.8,0.0,0.0,649964
05/24/2019,91.78,91.49,90.88,92.28,0.0,0.0,567166
05/23/2019,92.08,91.32,90.69,92.16,0.0,0.0,852275
05/22/2019,93.56,93.02,92.64,93.75,0.0,0.0,598394
05/21/2019,94.15,93.72,93.21,94.19,0.0,0.0,1063734
05/20/2019,93.15,93.21,92.415,93.43,0.0,0.0,575650
05/17/2019,93.75,93.88,93.47,95.08,0.0,0.0,700332
05/16/2019,93.09,94.57,92.96,94.87,0.0,0.0,524389
05/15/2019,91.81,92.8,91.56,93.14,0.0,0.0,457900
05/14/2019,92.09,92.32,91.87,92.83,0.0,0.0,488526
05/13/2019,90.95,91.54,90.76,91.74,0.0,0.0,822397
05/10/2019,92.94,92.41,90.92,93.1045,0.0,0.0,728465
05/09/2019,91.99,92.9,91.99,93.53,0.0,0.0,832271
05/08/2019,91.8,92.8,91.77,93.31,0.0,0.0,738450
05/07/2019,92.16,91.98,91.22,92.29,0.0,0.0,867131
05/06/2019,92.32,92.93,91.74,93.01,0.0,0.0,647477
05/03/2019,92.84,93.34,92.74,93.62,0.0,0.0,495843
05/02/2019,92,92.2,91.69,92.78,0.0,0.0,635377
05/01/2019,92.91,92.01,91.92,93.01,0.0,0.0,949323
04/30/2019,91.83,92.78,90.68,93.05,0.0,0.0,1631245
04/29/2019,94.41,93.91,93.67,94.49,0.0,0.0,823231
04/26/2019,93.82,94.62,93.55,94.63,0.0,0.0,522678
04/25/2019,93.04,93.95,92.68,94.1,0.0,0.0,842052
04/24/2019,93.7,93.5,93.29,94.315,0.0,0.0,793909
04/23/2019,93.52,94.22,93.1772,94.39,0.0,0.0,764874
04/22/2019,93.54,93.84,92.92,93.93,0.0,0.0,719655
04/18/2019,93.33,93.65,93.07,94.12,0.0,0.0,839334
04/17/2019,93.12,93.14,92.82,93.64,0.0,0.0,1281613
04/16/2019,92.06,92.14,91.72,92.805,0.0,0.0,847600
04/15/2019,91.69,91.78,91.11,91.92,0.0,0.0,925761
04/12/2019,90.5,91.5,90.36,91.6,0.0,0.0,1315550
