Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,14.42,14.29,14.05,14.5,0.0,0.0,507457
07/15/2019,14.62,14.43,14.18,14.73,0.0,0.0,166468
07/12/2019,14.3,14.58,14.3,14.76,0.0,0.0,259981
07/11/2019,14.3,14.27,13.95,14.41,0.0,0.0,421501
07/10/2019,14.7,14.22,14.19,14.9,0.0,0.0,263329
07/09/2019,14.85,14.55,13.86,14.88,0.0,0.0,790922
07/08/2019,15.07,15.06,14.72,15.18,0.0,0.0,294128
07/05/2019,15.5,15.29,15.02,15.59,0.0,0.0,160846
07/03/2019,15.7,15.6,15.54,15.75,0.0,0.0,336669
07/02/2019,15.86,15.69,15.545,15.99,0.0,0.0,241757
07/01/2019,15.91,15.98,15.75,16.21,0.0,0.0,384356
06/28/2019,15.72,15.43,15.4,16,0.0,0.0,976961
06/27/2019,15.31,15.62,15.31,15.64,0.0,0.0,195209
06/26/2019,15.26,15.18,15.15,15.645,0.0,0.0,103323
06/25/2019,15.39,15.04,15.02,15.45,0.0,0.0,124837
06/24/2019,15.77,15.33,15.31,15.77,0.0,0.0,172835
06/21/2019,15.74,15.76,15.51,15.885,0.0,0.0,263934
06/20/2019,16.1,15.84,15.71,16.58,0.0,0.0,228481
06/19/2019,16.1,15.78,15.6854,16.11,0.0,0.0,146985
06/18/2019,15.65,16.1,15.65,16.28,0.0,0.0,217082
06/17/2019,15.74,15.75,15.615,16.09,0.0,0.0,142288
06/14/2019,16.36,15.69,15.65,16.43,0.0,0.0,236064
06/13/2019,16.31,16.46,16.2219,16.55,0.0,0.0,132986
06/12/2019,16.68,16.3,16.04,16.76,0.0,0.0,152043
06/11/2019,17.55,16.68,16.62,17.66,0.0,0.0,282210
06/10/2019,16.59,17.3,16.513,17.35,0.0,0.0,291580
06/07/2019,16.42,16.51,16.305,16.66,0.0,0.0,424249
06/06/2019,15.68,16.28,15.65,16.31,0.0,0.0,365863
06/05/2019,15.49,15.76,15.17,15.8,0.0,0.0,251801
06/04/2019,14.94,15.49,14.75,15.53,0.0,0.0,621548
06/03/2019,14.64,14.72,14.52,14.82,0.0,0.0,326772
05/31/2019,14.47,14.55,14.2295,14.65,0.0,0.0,435288
05/30/2019,14.57,14.6,14.1,14.86,0.0,0.0,179142
05/29/2019,14.7,14.58,14.44,14.84,0.0,0.0,326873
05/28/2019,14.81,14.87,14.48,14.98,0.0,0.0,211978
05/24/2019,14.63,14.71,14.44,14.85,0.0,0.0,258097
05/23/2019,14.86,14.53,14.29,14.9,0.0,0.0,304164
05/22/2019,15.16,15.08,14.92,15.42,0.0,0.0,127332
05/21/2019,15.44,15.38,15.24,15.48,0.0,0.0,153571
05/20/2019,15.35,15.21,15.05,15.54,0.0,0.0,287849
05/17/2019,16.13,15.71,15.615,16.37,0.0,0.0,223508
05/16/2019,16.55,16.34,16.28,16.55,0.0,0.0,405582
05/15/2019,16.35,16.65,16.195,16.78,0.0,0.0,463148
05/14/2019,16.47,16.67,16.22,16.76,0.0,0.0,310116
05/13/2019,17.2,16.28,16.15,17.28,0.0,0.0,295042
05/10/2019,17.86,17.7,17.45,17.91,0.0,0.0,316640
05/09/2019,17.79,17.92,17.26,17.93,0.0,0.0,532240
05/08/2019,19.14,18,18,19.14,0.0,0.0,857821
05/07/2019,16.58,19.21,16.58,20.0496,0.0,0.0,2228108
05/06/2019,14.88,15.47,14.63,15.56,0.0,0.0,490522
05/03/2019,14.88,15.42,14.82,15.45,0.0,0.0,574612
05/02/2019,14.66,14.79,14.59,14.98,0.0,0.0,466826
05/01/2019,14.9,14.69,14.69,15.25,0.0,0.0,435469
04/30/2019,14.69,14.83,14.5283,14.86,0.0,0.0,284725
04/29/2019,14.73,14.68,14.64,14.92,0.0,0.0,338069
04/26/2019,14.09,14.72,14.09,14.73,0.0,0.0,297641
04/25/2019,14.81,14.44,14.43,14.9,0.0,0.0,337641
04/24/2019,14.85,14.79,14.75,15.21,0.0,0.0,394305
04/23/2019,14.75,14.82,14.73,15.13,0.0,0.0,363719
04/22/2019,14.8,14.72,14.62,14.89,0.0,0.0,268884
04/18/2019,15.02,14.83,14.8,15.26,0.0,0.0,295482
04/17/2019,15.35,15.07,14.98,15.4,0.0,0.0,298701
04/16/2019,14.79,15.14,14.79,15.21,0.0,0.0,254620
