Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.04,1.03,1.02,1.06,0.0,0.0,1239
07/15/2019,1.02,1.0394,1.01,1.07,0.0,0.0,4838
07/12/2019,1.1,1.02,1.02,1.1,0.0,0.0,2976
07/11/2019,1.1252,1,1,1.1393,0.0,0.0,16737
07/10/2019,1.14,1.14,1.14,1.14,0.0,0.0,491
07/09/2019,1.1001,1.12,1.1001,1.15,0.0,0.0,1024
07/08/2019,1.1158,1.14,1.1158,1.1448,0.0,0.0,7171
07/05/2019,1.16,1.1256,1.1256,1.1615,0.0,0.0,11832
07/03/2019,1.15,1.23,1.07,1.23,0.0,0.0,2548
07/02/2019,1.16,1.16,1.16,1.17,0.0,0.0,1544
07/01/2019,1.17,1.17,1.1451,1.17,0.0,0.0,3501
06/28/2019,1.1705,1.16,1.16,1.2,0.0,0.0,37799
06/27/2019,1.14,1.1501,1.1,1.2394,0.0,0.0,69768
06/26/2019,1.15,1.16,1.1,1.18,0.0,0.0,17261
06/25/2019,1.19,1.18,1.11,1.2,0.0,0.0,16282
06/24/2019,1.1465,1.1841,1.1465,1.1841,0.0,0.0,1174
06/21/2019,1.185,1.185,1.185,1.185,0.0,0.0,00
06/20/2019,1.14,1.185,1.14,1.23,0.0,0.0,48387
06/19/2019,1.14,1.15,1.13,1.2,0.0,0.0,7576
06/18/2019,1.1,1.17,1.09,1.17,0.0,0.0,11648
06/17/2019,1.06,1.07,1.06,1.14,0.0,0.0,17740
06/14/2019,1.1101,1.07,1.07,1.16,0.0,0.0,10374
06/13/2019,1.15,1.1127,1.1127,1.15,0.0,0.0,7780
06/12/2019,1.15,1.11,1.11,1.2334,0.0,0.0,21206
06/11/2019,1.17,1.15,1.12,1.25,0.0,0.0,11492
06/10/2019,1.1607,1.19,1.1607,1.2937,0.0,0.0,9079
06/07/2019,1.1,1.16,1.06,1.17,0.0,0.0,45076
06/06/2019,1.055,1.0946,1.055,1.0946,0.0,0.0,8864
06/05/2019,1.08,1.08,1.06,1.09,0.0,0.0,20618
06/04/2019,1.1,1.08,1.05,1.1,0.0,0.0,3319
06/03/2019,1.1,1.1,1.0291,1.1,0.0,0.0,43877
05/31/2019,1.06,1.1,1.05,1.1,0.0,0.0,4419
05/30/2019,1.0786,1.09,1.0786,1.0999,0.0,0.0,5508
05/29/2019,1.08,1.05,1.0495,1.08,0.0,0.0,25150
05/28/2019,1.16,1.1,1.085,1.1632,0.0,0.0,32989
05/24/2019,1.1357,1.1548,1.11,1.1793,0.0,0.0,33388
05/23/2019,1.14,1.16,1.14,1.16,0.0,0.0,22257
05/22/2019,1.18,1.18,1.18,1.18,0.0,0.0,00
05/21/2019,1.14,1.18,1.136,1.19,0.0,0.0,25121
05/20/2019,1.1535,1.11,1.03,1.1535,0.0,0.0,65546
05/17/2019,1.1842,1.1895,1.1842,1.1895,0.0,0.0,1456
05/16/2019,1.13,1.15,1.13,1.17,0.0,0.0,42828
05/15/2019,1.2,1.165,1.15,1.2,0.0,0.0,34800
05/14/2019,1.25,1.15,1.1,1.25,0.0,0.0,81558
05/13/2019,1.2538,1.22,1.215,1.2538,0.0,0.0,23052
05/10/2019,1.25,1.31,1.21,1.3132,0.0,0.0,21507
05/09/2019,1.3,1.3,1.3,1.3,0.0,0.0,291
05/08/2019,1.35,1.3,1.27,1.35,0.0,0.0,2951
05/07/2019,1.3,1.3,1.25,1.36,0.0,0.0,14489
05/06/2019,1.38,1.3,1.25,1.387,0.0,0.0,16601
05/03/2019,1.41,1.41,1.37,1.41,0.0,0.0,16850
05/02/2019,1.6028,1.3328,1.3328,1.6028,0.0,0.0,69789
05/01/2019,1.6001,1.6001,1.6001,1.6001,0.0,0.0,1248
04/30/2019,1.6,1.6004,1.58,1.62,0.0,0.0,21370
04/29/2019,1.64,1.61,1.6,1.642,0.0,0.0,11814
04/26/2019,1.619,1.61,1.61,1.6418,0.0,0.0,17494
04/25/2019,1.5975,1.5908,1.56,1.5975,0.0,0.0,13158
04/24/2019,1.636,1.59,1.59,1.64,0.0,0.0,5594
04/23/2019,1.65,1.62,1.62,1.65,0.0,0.0,2783
04/22/2019,1.65,1.6267,1.62,1.65,0.0,0.0,704
04/18/2019,1.61,1.61,1.61,1.61,0.0,0.0,00
04/17/2019,1.65,1.61,1.61,1.665,0.0,0.0,1182
04/16/2019,1.6208,1.6232,1.61,1.66,0.0,0.0,5251
