Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,34.65,34.6,34.5,34.69,0.0,0.0,388848
07/15/2019,34.65,34.63,34.58,34.73,0.0,0.0,451274
07/12/2019,34.66,34.64,34.635,34.69,0.0,0.0,226626
07/11/2019,34.66,34.67,34.65,34.7,0.0,0.0,635825
07/10/2019,34.68,34.67,34.63,34.72,0.0,0.0,723439
07/09/2019,34.67,34.68,34.66,34.73,0.0,0.0,287114
07/08/2019,34.68,34.68,34.67,34.7,0.0,0.0,238487
07/05/2019,34.7,34.68,34.66,34.75,0.0,0.0,325646
07/03/2019,34.75,34.69,34.68,34.78,0.0,0.0,273303
07/02/2019,34.75,34.7,34.69,34.82,0.0,0.0,279955
07/01/2019,34.82,34.75,34.73,34.85,0.0,0.0,291354
06/28/2019,34.82,34.82,34.67,34.82,0.0,0.0,1271333
06/27/2019,34.72,34.76,34.715,34.77,0.0,0.0,442434
06/26/2019,34.65,34.67,34.65,34.71,0.0,0.0,1600189
06/25/2019,34.64,34.61,34.6,34.75,0.0,0.0,194788
06/24/2019,34.66,34.69,34.61,34.735,0.0,0.0,197726
06/21/2019,34.57,34.62,34.54,34.64,0.0,0.0,579584
06/20/2019,34.69,34.6,34.59,34.7,0.0,0.0,486362
06/19/2019,34.7,34.62,34.59,34.7,0.0,0.0,888687
06/18/2019,34.71,34.69,34.57,34.8,0.0,0.0,635339
06/17/2019,34.61,34.55,34.54,34.7,0.0,0.0,649742
06/14/2019,34.65,34.68,34.62,34.83,0.0,0.0,411123
06/13/2019,34.68,34.69,34.57,34.76,0.0,0.0,779613
06/12/2019,34.64,34.64,34.59,34.7,0.0,0.0,918160
06/11/2019,34.8,34.69,34.61,34.83,0.0,0.0,712251
06/10/2019,34.89,34.77,34.5,34.93,0.0,0.0,408094
06/07/2019,34.95,34.86,34.83,34.95,0.0,0.0,673255
06/06/2019,34.97,34.89,34.87,34.99,0.0,0.0,466355
06/05/2019,35,34.99,34.855,35,0.0,0.0,653675
06/04/2019,35,34.88,34.85,35,0.0,0.0,521791
06/03/2019,35,34.81,34.8,35.08,0.0,0.0,1128359
05/31/2019,35,35.01,34.9,35.1,0.0,0.0,864044
05/30/2019,35.04,35.13,34.87,35.14,0.0,0.0,625315
05/29/2019,35.15,34.92,34.89,35.23,0.0,0.0,1181771
05/28/2019,34.96,35.18,34.96,35.37,0.0,0.0,728184
05/24/2019,35.03,35.12,34.98,35.2,0.0,0.0,922580
05/23/2019,35.25,35.16,35.01,35.38,0.0,0.0,753962
05/22/2019,35.32,35.36,35.18,35.52,0.0,0.0,652016
05/21/2019,35.79,35.25,35.23,35.84,0.0,0.0,2318222
05/20/2019,36.05,35.6,35.44,36.19,0.0,0.0,1826925
05/17/2019,34.77,36.52,34.75,36.64,0.0,0.0,9502442
05/16/2019,29.54,29.81,29.26,30.19,0.0,0.0,878436
05/15/2019,28.67,29.61,28.67,30.06,0.0,0.0,182375
05/14/2019,28.91,28.92,28.17,29.17,0.0,0.0,754193
05/13/2019,30.01,28.78,28.51,30.01,0.0,0.0,477948
05/10/2019,28.62,30.14,28.605,30.18,0.0,0.0,562795
05/09/2019,27.6,28.68,26.96,28.7659,0.0,0.0,378092
05/08/2019,29.23,27.87,27.25,30.12,0.0,0.0,828029
05/07/2019,28.31,29.97,27.8,30.5602,0.0,0.0,1033660
05/06/2019,25.95,26.23,25.87,26.41,0.0,0.0,191531
05/03/2019,26.42,26.47,26.19,26.6,0.0,0.0,134023
05/02/2019,26.08,26.28,25.98,26.64,0.0,0.0,115325
05/01/2019,26.52,26.09,26.05,28.08,0.0,0.0,340648
04/30/2019,26.08,26.26,25.54,26.35,0.0,0.0,418210
04/29/2019,26.18,26.07,26.06,26.8,0.0,0.0,128627
04/26/2019,26.2,26.14,25.75,26.2,0.0,0.0,131048
04/25/2019,26.79,26.26,26.09,26.79,0.0,0.0,122092
04/24/2019,27.34,26.85,26.65,27.39,0.0,0.0,453190
04/23/2019,26.99,27.35,26.75,27.45,0.0,0.0,165400
04/22/2019,27.17,26.97,26.78,27.17,0.0,0.0,96994
04/18/2019,27.51,27.26,27.09,27.65,0.0,0.0,332641
04/17/2019,27.57,27.58,27.1407,27.65,0.0,0.0,456835
04/16/2019,27.19,27.43,27.07,27.54,0.0,0.0,159293
