Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,89.3,89.51,89.14,90.6282,0.0,0.0,69644
07/15/2019,88.88,89.18,88.5,89.3925,0.0,0.0,65882
07/12/2019,88.93,89.01,88.53,89.53,0.0,0.0,49570
07/11/2019,88.87,88.85,88.73,90.2,0.0,0.0,89193
07/10/2019,87.79,88.68,87.22,89.5,0.0,0.0,81990
07/09/2019,87.28,87.36,86.59,87.999,0.0,0.0,84862
07/08/2019,88.87,87.38,86.93,89.13,0.0,0.0,78624
07/05/2019,88.36,88.71,87.915,89.255,0.0,0.0,76726
07/03/2019,87.43,88.88,87.43,89.26,0.0,0.0,60391
07/02/2019,87.44,87.49,86.49,88.08,0.0,0.0,105846
07/01/2019,88.09,87.62,86.28,88.7454,0.0,0.0,80949
06/28/2019,84.66,87.01,84.1,87.72,0.0,0.0,192302
06/27/2019,82.98,84.51,82.75,84.88,0.0,0.0,80795
06/26/2019,83.4,82.85,82.71,84.26,0.0,0.0,97996
06/25/2019,82.31,83.54,81.78,83.895,0.0,0.0,89251
06/24/2019,83.65,82.4,81.57,84.94,0.0,0.0,106825
06/21/2019,84.13,83.6,82.95,84.9,0.0,0.0,237128
06/20/2019,84.42,84.39,83.75,85.6,0.0,0.0,97514
06/19/2019,83.18,83.52,82.8,83.85,0.0,0.0,66646
06/18/2019,82.33,83.18,81.79,83.3,0.0,0.0,74730
06/17/2019,81.53,82.13,81.015,82.6,0.0,0.0,66983
06/14/2019,82.79,81.66,81.27,83.38,0.0,0.0,81875
06/13/2019,81.75,82.43,81.75,83.5,0.0,0.0,151243
06/12/2019,79.74,81.97,79.74,82.1,0.0,0.0,63143
06/11/2019,79.34,79.86,78.68,80.6121,0.0,0.0,86406
06/10/2019,77.75,79,77.75,79.6,0.0,0.0,77624
06/07/2019,78.2,77.7,77.32,78.45,0.0,0.0,92339
06/06/2019,77.53,77.83,77.53,78.75,0.0,0.0,140979
06/05/2019,76,77.3,76,78,0.0,0.0,118353
06/04/2019,74.34,76.32,74.0125,76.79,0.0,0.0,174496
06/03/2019,73.71,73.87,73.1721,74.57,0.0,0.0,94434
05/31/2019,72.86,73.98,72.29,74.21,0.0,0.0,95660
05/30/2019,71,73.75,71,74.535,0.0,0.0,116307
05/29/2019,70.88,70.74,70,72.03,0.0,0.0,136239
05/28/2019,71.32,71.4,70.71,71.61,0.0,0.0,68360
05/24/2019,71.79,71.41,70.91,72.67,0.0,0.0,105656
05/23/2019,73.11,71.73,71.14,73.73,0.0,0.0,41961
05/22/2019,73.17,73.62,72.89,74.43,0.0,0.0,39688
05/21/2019,74.11,73.62,72.68,74.86,0.0,0.0,77990
05/20/2019,72.56,73.94,71.7301,74.515,0.0,0.0,83687
05/17/2019,73.57,72.98,72.84,74.48,0.0,0.0,46789
05/16/2019,73.74,74.12,73.63,75.0988,0.0,0.0,143323
05/15/2019,72.76,73.5,72.76,74.24,0.0,0.0,87458
05/14/2019,73.24,73.2,72.815,74.3699,0.0,0.0,86281
05/13/2019,72.13,73.09,71.97,73.4,0.0,0.0,55798
05/10/2019,72.22,72.98,71.55,73.45,0.0,0.0,49928
05/09/2019,70.83,72.61,70.515,72.79,0.0,0.0,45514
05/08/2019,70.61,71.26,70.61,72.51,0.0,0.0,49398
05/07/2019,71.8,70.78,70.43,73.09,0.0,0.0,90433
05/06/2019,71.82,72.31,71.5244,73.15,0.0,0.0,87124
05/03/2019,71.37,72.79,70.96,72.86,0.0,0.0,38393
05/02/2019,70.73,71.09,70.36,71.835,0.0,0.0,49082
05/01/2019,71.97,71.01,70.77,72.19,0.0,0.0,94067
04/30/2019,71.5,71.8,70.15,72.21,0.0,0.0,64108
04/29/2019,70.83,71.49,70.5,71.77,0.0,0.0,27900
04/26/2019,70.31,71.09,70.01,71.34,0.0,0.0,41183
04/25/2019,69.57,70.24,68.84,70.52,0.0,0.0,34122
04/24/2019,68.87,69.74,68.87,70.25,0.0,0.0,39239
04/23/2019,67.265,68.9,67.26,69.09,0.0,0.0,47961
04/22/2019,67.22,66.81,66.285,67.89,0.0,0.0,30728
04/18/2019,66.75,67.46,66.66,68.02,0.0,0.0,45230
04/17/2019,67.53,66.89,66.28,68.37,0.0,0.0,52716
04/16/2019,68.72,67.39,66.97,69.1175,0.0,0.0,35590
