Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.06,25.11,25.06,25.145,0.0,0.0,2749
07/15/2019,24.844,24.9423,24.84,24.9423,0.0,0.0,4799
07/12/2019,24.933,25.1,24.91,25.13,0.0,0.0,12444
07/11/2019,24.84,24.69,24.6201,24.8835,0.0,0.0,21469
07/10/2019,24.89,24.83,24.81,24.96,0.0,0.0,23797
07/09/2019,24.71,24.8,24.65,24.83,0.0,0.0,31354
07/08/2019,25,24.84,24.8217,25.075,0.0,0.0,8609
07/05/2019,24.92,25.07,24.76,25.0999,0.0,0.0,4375
07/03/2019,24.9,24.95,24.87,25.0207,0.0,0.0,21598
07/02/2019,25,24.77,24.64,25,0.0,0.0,55395
07/01/2019,25.3,25.01,24.88,25.3,0.0,0.0,21007
06/28/2019,24.66,24.87,24.66,24.95,0.0,0.0,53597
06/27/2019,24.28,24.54,24.28,24.54,0.0,0.0,20274
06/26/2019,23.98,24.0561,23.98,24.14,0.0,0.0,12213
06/25/2019,24,23.94,23.92,24.08,0.0,0.0,155674
06/24/2019,24.261,24,24,24.306,0.0,0.0,23302
06/21/2019,24.48,24.38,24.35,24.53,0.0,0.0,11670
06/20/2019,24.6,24.583,24.4955,24.66,0.0,0.0,22738
06/19/2019,24.37,24.41,24.3494,24.4503,0.0,0.0,43063
06/18/2019,24.25,24.37,24.25,24.55,0.0,0.0,22990
06/17/2019,24.08,24.04,24.04,24.16,0.0,0.0,38049
06/14/2019,24.15,24.05,24.05,24.19,0.0,0.0,321455
06/13/2019,24.12,24.22,24.06,24.25,0.0,0.0,21320
06/12/2019,23.855,23.9,23.81,23.9699,0.0,0.0,8750
06/11/2019,24.1,23.92,23.8797,24.25,0.0,0.0,12372
06/10/2019,23.83,23.96,23.83,24.11,0.0,0.0,20077
06/07/2019,23.67,23.783,23.6572,23.792,0.0,0.0,34933
06/06/2019,23.73,23.62,23.3601,23.73,0.0,0.0,12780
06/05/2019,23.92,23.72,23.64,23.94,0.0,0.0,9682
06/04/2019,23.37,23.91,23.37,23.91,0.0,0.0,19849
06/03/2019,23.06,23.1582,22.98,23.2221,0.0,0.0,112234
05/31/2019,23.09,23.0176,22.96,23.2,0.0,0.0,534069
05/30/2019,23.6865,23.45,23.43,23.6865,0.0,0.0,13650
05/29/2019,23.68,23.61,23.41,23.68,0.0,0.0,23510
05/28/2019,24.06,23.83,23.83,24.06,0.0,0.0,13894
05/24/2019,23.89,23.98,23.834,24.02,0.0,0.0,20322
05/23/2019,24.17,23.71,23.71,24.181,0.0,0.0,15167
05/22/2019,24.54,24.38,24.341,24.5427,0.0,0.0,16754
05/21/2019,24.49,24.7,24.49,24.7108,0.0,0.0,27603
05/20/2019,24.38,24.38,24.33,24.55,0.0,0.0,39801
05/17/2019,24.75,24.52,24.52,24.8849,0.0,0.0,1315657
05/16/2019,24.96,24.92,24.92,25.09,0.0,0.0,44924
05/15/2019,24.72,24.87,24.62,24.9066,0.0,0.0,54983
05/14/2019,24.63,24.8,24.5921,24.8517,0.0,0.0,13708
05/13/2019,24.85,24.5597,24.4887,24.85,0.0,0.0,8170
05/10/2019,25.37,25.35,24.9936,25.3799,0.0,0.0,13350
05/09/2019,25.43,25.3501,25.09,25.43,0.0,0.0,11786
05/08/2019,25.705,25.54,25.54,25.7614,0.0,0.0,5839
05/07/2019,26.12,25.7694,25.598,26.12,0.0,0.0,18790
05/06/2019,25.74,26.24,25.74,26.282,0.0,0.0,7345
05/03/2019,25.72,26.22,25.72,26.22,0.0,0.0,15525
05/02/2019,25.56,25.6263,25.4901,25.7725,0.0,0.0,12940
05/01/2019,25.73,25.7,25.64,25.8799,0.0,0.0,13961
04/30/2019,25.92,25.68,25.6725,25.99,0.0,0.0,16659
04/29/2019,25.75,25.9629,25.75,26.01,0.0,0.0,25280
04/26/2019,25.44,25.8,25.44,25.8,0.0,0.0,25153
04/25/2019,25.82,25.41,25.2946,25.82,0.0,0.0,24560
04/24/2019,25.8,25.851,25.73,25.9295,0.0,0.0,9734
04/23/2019,25.43,25.79,25.43,25.8499,0.0,0.0,16774
04/22/2019,25.53,25.356,25.3001,25.5433,0.0,0.0,27449
04/18/2019,25.6594,25.6,25.571,25.7499,0.0,0.0,17891
04/17/2019,25.8,25.71,25.58,25.8,0.0,0.0,6796
04/16/2019,25.63,25.78,25.63,25.7999,0.0,0.0,11655
