Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,70.14,70.18,69.84,70.96,0.0,0.0,71145
07/15/2019,70.27,70.39,69.74,70.7,0.0,0.0,64517
07/12/2019,69.39,70,69.16,70.475,0.0,0.0,57681
07/11/2019,69.59,69.29,68.75,69.8,0.0,0.0,69231
07/10/2019,69.48,69.58,68.96,70.3,0.0,0.0,54058
07/09/2019,68.55,69.5,68.38,69.66,0.0,0.0,73974
07/08/2019,67.7,68.62,66.9084,68.8,0.0,0.0,52408
07/05/2019,68.42,68.06,67.66,68.73,0.0,0.0,44980
07/03/2019,68.25,68.61,67.86,68.81,0.0,0.0,36324
07/02/2019,68.55,67.99,67.67,69.15,0.0,0.0,55642
07/01/2019,68.59,68.36,67.31,68.685,0.0,0.0,71521
06/28/2019,67.42,68.15,67.03,69.12,0.0,0.0,167219
06/27/2019,65.87,67.3,65.72,67.3,0.0,0.0,58198
06/26/2019,65.53,65.88,65.16,66.61,0.0,0.0,47853
06/25/2019,66.1,65.28,64.86,66.955,0.0,0.0,65493
06/24/2019,67.35,66,65.97,68.23,0.0,0.0,49913
06/21/2019,67.27,67.44,66.97,68.98,0.0,0.0,112129
06/20/2019,67.67,67.74,66.89,67.92,0.0,0.0,87131
06/19/2019,67.52,67.25,66.75,68.19,0.0,0.0,87119
06/18/2019,67.49,67.11,67.11,68.49,0.0,0.0,68698
06/17/2019,67.84,67.07,66.39,67.915,0.0,0.0,41236
06/14/2019,68.75,67.65,67.49,69.1,0.0,0.0,57024
06/13/2019,67.34,68.49,67.34,68.66,0.0,0.0,61842
06/12/2019,66.92,67.04,66.1,67.305,0.0,0.0,78807
06/11/2019,66.56,66.68,66.15,67.1441,0.0,0.0,88751
06/10/2019,66.18,66.19,65.87,66.9,0.0,0.0,64657
06/07/2019,65.51,65.81,65.15,66.25,0.0,0.0,48456
06/06/2019,65.53,65.28,64.735,65.85,0.0,0.0,96802
06/05/2019,65.32,65.5,64.83,65.84,0.0,0.0,47423
06/04/2019,65.43,65.04,64,66.295,0.0,0.0,206202
06/03/2019,64.01,64.87,63.26,65.42,0.0,0.0,57049
05/31/2019,62.97,63.93,62.44,63.97,0.0,0.0,58396
05/30/2019,64.83,63.39,63.25,65.5,0.0,0.0,84628
05/29/2019,63.5,64.66,63.06,65.11,0.0,0.0,78192
05/28/2019,63.73,64.23,63.73,65.46,0.0,0.0,75521
05/24/2019,64.38,63.69,62.7421,66.02,0.0,0.0,78458
05/23/2019,63.74,64.07,62.87,64.07,0.0,0.0,53799
05/22/2019,63.06,64.9,61.15,75.67,0.0,0.0,97502
05/21/2019,58.67,59.57,58.2407,59.91,0.0,0.0,83759
05/20/2019,58.58,58.25,58.11,59.015,0.0,0.0,56629
05/17/2019,59.8,58.85,58.53,60.5,0.0,0.0,70969
05/16/2019,59.77,60.2,59.53,60.59,0.0,0.0,28604
05/15/2019,59.83,59.66,59.29,60.59,0.0,0.0,34742
05/14/2019,59.85,60,59.1142,60.795,0.0,0.0,36349
05/13/2019,61.04,59.72,59.37,61.2,0.0,0.0,105020
05/10/2019,61.3,61.77,60.07,61.78,0.0,0.0,33049
05/09/2019,60.52,61.61,59.5,61.75,0.0,0.0,47862
05/08/2019,60.91,60.9,60.61,61.33,0.0,0.0,34806
05/07/2019,60.94,60.98,60.34,61.56,0.0,0.0,55323
05/06/2019,61.69,61.51,61.2865,62.09,0.0,0.0,39689
05/03/2019,61.08,62.25,60.635,62.78,0.0,0.0,28566
05/02/2019,61.1845,60.87,60,61.1845,0.0,0.0,34147
05/01/2019,60.13,60.42,59.47,61.03,0.0,0.0,51697
04/30/2019,60.55,59.95,59.94,60.7,0.0,0.0,33796
04/29/2019,60.16,60.53,59.51,60.9162,0.0,0.0,28912
04/26/2019,59.29,59.92,58.94,60.06,0.0,0.0,100949
04/25/2019,60.24,59.31,59.22,60.24,0.0,0.0,35657
04/24/2019,59.88,60.48,59.62,61.31,0.0,0.0,47401
04/23/2019,59.24,60.05,58.56,60.07,0.0,0.0,62325
04/22/2019,59.1,58.98,57.95,59.49,0.0,0.0,32046
04/18/2019,59.68,59.41,59.25,59.885,0.0,0.0,31466
04/17/2019,60.36,59.81,59.63,60.93,0.0,0.0,56252
04/16/2019,61.03,60.18,60.18,61.32,0.0,0.0,69850
