Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,3.89,3.75,3.65,3.9242,0.0,0.0,213366
07/15/2019,3.95,3.85,3.82,4.15,0.0,0.0,193745
07/12/2019,3.98,4.01,3.95,4.25,0.0,0.0,614786
07/11/2019,4.12,4.04,3.8392,4.15,0.0,0.0,271952
07/10/2019,3.76,4.12,3.62,4.45,0.0,0.0,1739928
07/09/2019,3.8,3.74,3.706,3.97,0.0,0.0,229817
07/08/2019,3.81,3.86,3.8,4.0764,0.0,0.0,221010
07/05/2019,3.53,3.87,3.52,4.104,0.0,0.0,740015
07/03/2019,3.7,3.64,3.5503,3.87,0.0,0.0,298368
07/02/2019,3.97,3.73,3.63,3.99,0.0,0.0,663958
07/01/2019,4.07,4,3.9195,4.22,0.0,0.0,352785
06/28/2019,4.13,4.17,4.03,4.37,0.0,0.0,443075
06/27/2019,4.18,4.22,4.03,4.34,0.0,0.0,600591
06/26/2019,4.5,4.14,4.05,4.5811,0.0,0.0,812186
06/25/2019,4.82,4.58,4.54,4.882,0.0,0.0,579687
06/24/2019,4.84,4.96,4.55,5.2,0.0,0.0,858216
06/21/2019,6.28,5.2,5,6.29,0.0,0.0,8901364
06/20/2019,4.85,4.29,4.1,4.85,0.0,0.0,2066384
06/19/2019,5.09,4.74,4.62,5.28,0.0,0.0,1043440
06/18/2019,5.89,5.3,5.11,6.74,0.0,0.0,4212959
06/17/2019,15.86,9.71,9.6,16.49,0.0,0.0,5057839
06/14/2019,8.87,8.89,8.62,10.66,0.0,0.0,468535
06/13/2019,8.07,10.11,7.18,11.5,0.0,0.0,708145
06/12/2019,8.61,7.95,7.62,8.75,0.0,0.0,511182
06/11/2019,7.59,9.5,7.59,14.65,0.0,0.0,2695974
06/10/2019,7.91,7,6.7025,7.98,0.0,0.0,302386
06/07/2019,6.86,7.98,6.5,11.015,0.0,0.0,4932485
06/06/2019,12.85,7.08,7.01,15.75,0.0,0.0,7824717
06/05/2019,5.33,5,4.8,5.33,0.0,0.0,140529
06/04/2019,5.64,5.535,5.11,6.44,0.0,0.0,245082
06/03/2019,7.43,5.6,5.3101,8.68,0.0,0.0,447245
05/31/2019,7.5577,7.4878,7.2708,8.1875,0.0,0.0,100241
05/30/2019,8.3275,8.3835,8.0546,9.0273,0.0,0.0,26512
05/29/2019,8.4465,8.5584,7.8376,8.7474,0.0,0.0,42184
05/28/2019,8.3975,8.2664,8.0476,8.7474,0.0,0.0,29238
05/24/2019,8.5724,7.8097,7.8097,9.4472,0.0,0.0,53448
05/23/2019,7.6977,9.1672,7.6977,9.7971,0.0,0.0,163165
05/22/2019,8.0476,7.6977,7.6277,8.0476,0.0,0.0,32404
05/21/2019,8.0826,8.0476,7.5227,8.5024,0.0,0.0,28708
05/20/2019,8.6704,8.2855,7.6977,8.6704,0.0,0.0,44286
05/17/2019,8.8873,8.1526,8.0476,8.8873,0.0,0.0,28108
05/16/2019,9.0973,8.4815,7.6977,9.0973,0.0,0.0,45183
05/15/2019,9.0133,8.7544,8.6074,9.2162,0.0,0.0,33459
05/14/2019,8.9573,8.9758,8.3975,9.5661,0.0,0.0,46565
05/13/2019,8.8244,8.9573,8.6774,9.2722,0.0,0.0,32547
05/10/2019,9.5171,8.9453,8.8174,9.6221,0.0,0.0,48964
05/09/2019,9.0973,9.6561,8.7474,10.9867,0.0,0.0,109583
05/08/2019,9.881,8.9643,8.7474,10.028,0.0,0.0,72138
05/07/2019,10.056,9.7201,9.3772,10.2099,0.0,0.0,57208
05/06/2019,10.4969,10.2519,9.8321,10.8467,0.0,0.0,64969
05/03/2019,11.5465,10.2799,9.874,11.5465,0.0,0.0,95554
05/02/2019,11.1896,11.7565,9.7971,12.7642,0.0,0.0,260277
05/01/2019,9.2722,11.1716,9.1043,13.1211,0.0,0.0,649626
04/30/2019,8.3975,8.8745,7.8726,8.9643,0.0,0.0,147295
04/29/2019,7.7887,7.9286,7.5577,8.1875,0.0,0.0,80769
04/26/2019,8.3975,7.6977,7.2078,8.4815,0.0,0.0,124769
04/25/2019,6.9979,8.0476,6.9979,8.2225,0.0,0.0,465945
04/24/2019,14.8216,14.2057,13.9958,14.8286,0.0,0.0,3727
04/23/2019,15.4304,14.0028,13.9958,15.4304,0.0,0.0,7310
04/22/2019,15.3954,14.6956,14.3317,15.4654,0.0,0.0,5413
04/18/2019,16.515,15.9552,14.7656,16.515,0.0,0.0,4215
04/17/2019,17.0539,16.3121,15.9552,17.2148,0.0,0.0,2851
04/16/2019,17.5857,16.4451,16.0952,17.5857,0.0,0.0,5923
