Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.56,7.74,7.56,7.79,0.0,0.0,164049
07/15/2019,7.6,7.58,7.53,7.65,0.0,0.0,183821
07/12/2019,7.65,7.62,7.53,7.77,0.0,0.0,187092
07/11/2019,7.65,7.61,7.47,7.71,0.0,0.0,174358
07/10/2019,7.7,7.62,7.53,7.78,0.0,0.0,192207
07/09/2019,7.59,7.65,7.5,7.69,0.0,0.0,435002
07/08/2019,7.79,7.66,7.6,7.82,0.0,0.0,207753
07/05/2019,7.75,7.85,7.63,7.91,0.0,0.0,292232
07/03/2019,7.77,7.83,7.67,7.89,0.0,0.0,111329
07/02/2019,7.88,7.75,7.65,7.9,0.0,0.0,125794
07/01/2019,8.2,7.9,7.8,8.2599,0.0,0.0,239352
06/28/2019,7.87,8.02,7.71,8.07,0.0,0.0,1574830
06/27/2019,7.42,7.81,7.36,7.81,0.0,0.0,329849
06/26/2019,7.18,7.41,7.18,7.44,0.0,0.0,426888
06/25/2019,7.02,7.11,6.99,7.14,0.0,0.0,360586
06/24/2019,7.15,7.07,6.995,7.22,0.0,0.0,199801
06/21/2019,7.14,7.14,7,7.18,0.0,0.0,220548
06/20/2019,7.43,7.18,7.15,7.52,0.0,0.0,278967
06/19/2019,7.45,7.3,7.22,7.47,0.0,0.0,331893
06/18/2019,7.35,7.4,7.03,7.485,0.0,0.0,365257
06/17/2019,7.01,7.01,6.84,7.06,0.0,0.0,275138
06/14/2019,7.01,7.01,6.86,7.05,0.0,0.0,220879
06/13/2019,6.85,7.02,6.85,7.07,0.0,0.0,270821
06/12/2019,6.56,6.83,6.54,6.915,0.0,0.0,422170
06/11/2019,6.41,6.6,6.41,6.65,0.0,0.0,191524
06/10/2019,6.48,6.41,6.37,6.6109,0.0,0.0,201246
06/07/2019,6.45,6.51,6.42,6.54,0.0,0.0,141061
06/06/2019,6.58,6.43,6.29,6.58,0.0,0.0,400221
06/05/2019,6.73,6.57,6.5,6.86,0.0,0.0,205212
06/04/2019,6.5,6.73,6.4,6.74,0.0,0.0,296465
06/03/2019,6.25,6.41,6.25,6.44,0.0,0.0,327304
05/31/2019,6.43,6.21,6.09,6.43,0.0,0.0,221752
05/30/2019,6.52,6.54,6.48,6.62,0.0,0.0,182939
05/29/2019,6.65,6.51,6.44,6.72,0.0,0.0,371987
05/28/2019,6.79,6.74,6.59,6.885,0.0,0.0,346762
05/24/2019,6.94,6.83,6.78,6.94,0.0,0.0,496232
05/23/2019,6.99,6.87,6.8,6.99,0.0,0.0,211866
05/22/2019,7.06,7.08,7.06,7.18,0.0,0.0,229159
05/21/2019,6.99,7.09,6.92,7.1,0.0,0.0,331698
05/20/2019,7.09,6.94,6.82,7.14,0.0,0.0,186643
05/17/2019,7.49,7.16,7.13,7.56,0.0,0.0,171680
05/16/2019,7.51,7.58,7.4,7.63,0.0,0.0,226232
05/15/2019,7.29,7.5,7.16,7.52,0.0,0.0,261630
05/14/2019,7.46,7.34,7.25,7.54,0.0,0.0,679043
05/13/2019,7.44,7.46,7.26,7.58,0.0,0.0,319011
05/10/2019,7.65,7.63,7.45,7.725,0.0,0.0,427621
05/09/2019,7.96,7.69,7.54,7.9718,0.0,0.0,770198
05/08/2019,8.55,8,7.99,8.6,0.0,0.0,398598
05/07/2019,8.95,8.5,8.3415,8.95,0.0,0.0,393811
05/06/2019,8.84,8.98,8.7901,9.04,0.0,0.0,207268
05/03/2019,8.92,9.09,8.9,9.11,0.0,0.0,250354
05/02/2019,8.91,8.92,8.8415,9.01,0.0,0.0,146711
05/01/2019,8.97,8.93,8.8,9.11,0.0,0.0,300176
04/30/2019,9.14,8.92,8.77,9.2,0.0,0.0,447458
04/29/2019,9.06,9.15,8.966,9.28,0.0,0.0,180745
04/26/2019,9.26,9.03,8.9208,9.3531,0.0,0.0,234528
04/25/2019,9.43,9.31,9.26,9.507,0.0,0.0,203685
04/24/2019,9.6,9.54,9.4,9.65,0.0,0.0,324579
04/23/2019,9.53,9.61,9.47,9.77,0.0,0.0,342507
04/22/2019,9.23,9.5,9.17,9.54,0.0,0.0,265074
04/18/2019,9.2,9.24,9.14,9.47,0.0,0.0,289257
04/17/2019,9.19,9.2,9.18,9.35,0.0,0.0,207260
04/16/2019,9.07,9.18,9.01,9.32,0.0,0.0,258109
