Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,14.7,15.16,14.6877,15.49,0.0,0.0,191737
07/15/2019,13.6,14.56,13.6,14.73,0.0,0.0,225015
07/12/2019,13.5,13.62,13.44,13.91,0.0,0.0,491812
07/11/2019,14.07,13.49,13.45,14.1099,0.0,0.0,109590
07/10/2019,14.47,13.99,13.98,14.5899,0.0,0.0,138840
07/09/2019,14.47,14.39,14.16,14.74,0.0,0.0,61700
07/08/2019,14.61,14.55,14.45,14.78,0.0,0.0,92034
07/05/2019,14.45,14.65,14.23,14.69,0.0,0.0,58465
07/03/2019,14.15,14.5,14.14,14.7,0.0,0.0,64890
07/02/2019,14.73,14.14,14.09,15.17,0.0,0.0,291542
07/01/2019,14.98,14.77,14.535,14.99,0.0,0.0,139864
06/28/2019,14.2,14.71,14.2,15.275,0.0,0.0,329333
06/27/2019,13.35,14.04,13.35,14.05,0.0,0.0,136545
06/26/2019,13.4,13.31,13.27,13.54,0.0,0.0,125004
06/25/2019,13.45,13.29,13.265,13.545,0.0,0.0,112552
06/24/2019,13.72,13.47,13.29,13.75,0.0,0.0,183500
06/21/2019,14.19,13.71,13.62,14.285,0.0,0.0,256945
06/20/2019,14.65,14.25,14.22,14.77,0.0,0.0,99528
06/19/2019,14.79,14.61,14.22,14.88,0.0,0.0,159974
06/18/2019,15.06,14.97,14.96,15.58,0.0,0.0,90875
06/17/2019,15.25,15.05,15,15.32,0.0,0.0,63321
06/14/2019,15.67,15.32,15.17,15.6832,0.0,0.0,110217
06/13/2019,15.26,15.67,15.26,15.72,0.0,0.0,42378
06/12/2019,15.38,15.21,15.06,15.43,0.0,0.0,42068
06/11/2019,15.93,15.39,15.37,16.05,0.0,0.0,103337
06/10/2019,15.46,15.73,15.415,15.85,0.0,0.0,76216
06/07/2019,15,15.35,14.78,15.46,0.0,0.0,88125
06/06/2019,15.31,14.89,14.55,15.34,0.0,0.0,78500
06/05/2019,16.16,15.35,15.265,16.1924,0.0,0.0,97392
06/04/2019,15.26,15.95,15.24,15.98,0.0,0.0,171952
06/03/2019,15.03,15.04,14.95,15.298,0.0,0.0,103408
05/31/2019,15.34,15.02,14.85,15.4,0.0,0.0,122654
05/30/2019,15.62,15.56,15.21,15.8527,0.0,0.0,102289
05/29/2019,16.01,15.61,15.455,16.02,0.0,0.0,68836
05/28/2019,16.48,16.1,16.06,16.48,0.0,0.0,115695
05/24/2019,16.69,16.5,16.31,16.69,0.0,0.0,60402
05/23/2019,16.76,16.58,16.327,16.76,0.0,0.0,93998
05/22/2019,18.51,16.8,16.71,18.51,0.0,0.0,138732
05/21/2019,17.32,17.07,17.02,17.59,0.0,0.0,46970
05/20/2019,17.25,17.27,17.1208,17.58,0.0,0.0,69619
05/17/2019,17.55,17.36,17.32,17.9174,0.0,0.0,129362
05/16/2019,17.72,17.81,17.61,18.29,0.0,0.0,162517
05/15/2019,17.57,17.74,17.4,17.82,0.0,0.0,81302
05/14/2019,17.35,17.72,17.33,18.05,0.0,0.0,219756
05/13/2019,18.06,17.35,17.17,18.06,0.0,0.0,108944
05/10/2019,18.52,18.41,18.06,18.52,0.0,0.0,66948
05/09/2019,18.42,18.58,18.34,18.94,0.0,0.0,88746
05/08/2019,18.66,18.36,18.36,18.83,0.0,0.0,75514
05/07/2019,18.8,18.63,18.4,18.88,0.0,0.0,57203
05/06/2019,18.8,19.1,18.7,19.28,0.0,0.0,40735
05/03/2019,18.86,19.12,18.49,19.26,0.0,0.0,58520
05/02/2019,18.61,18.85,18.27,18.85,0.0,0.0,118043
05/01/2019,18.6,18.66,18.6,19.0356,0.0,0.0,122828
04/30/2019,20.64,19.53,19.28,20.64,0.0,0.0,152568
04/29/2019,19.21,20.69,19.09,20.84,0.0,0.0,174996
04/26/2019,18.91,19.13,18.57,19.625,0.0,0.0,164609
04/25/2019,20.59,19.82,19.715,20.69,0.0,0.0,124047
04/24/2019,20.75,20.62,20.45,20.98,0.0,0.0,84338
04/23/2019,20.77,20.68,20.49,20.85,0.0,0.0,70061
04/22/2019,20.12,20.66,20.08,20.92,0.0,0.0,211343
04/18/2019,20.46,20.25,19.97,20.66,0.0,0.0,49964
04/17/2019,20.02,20.36,20.02,20.67,0.0,0.0,72328
04/16/2019,19.79,19.96,19.61,20.09,0.0,0.0,79363
