Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,9.65,9.88,9.65,9.88,0.0,0.0,9553
07/15/2019,9.84,9.6782,9.6782,9.88,0.0,0.0,2822
07/12/2019,9.88,9.7,9.7,9.91,0.0,0.0,2220
07/11/2019,9.8,9.8,9.79,9.8,0.0,0.0,1284
07/10/2019,9.837,9.8,9.73,9.837,0.0,0.0,22743
07/09/2019,9.68,9.68,9.68,9.68,0.0,0.0,303
07/08/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
07/05/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
07/03/2019,9.83,9.87,9.83,9.87,0.0,0.0,5333
07/02/2019,9.7607,9.845,9.7607,9.85,0.0,0.0,3537
07/01/2019,9.67,9.61,9.6,9.68,0.0,0.0,6408
06/28/2019,9.65,9.65,9.65,9.85,0.0,0.0,6335
06/27/2019,9.67,9.65,9.6489,9.7,0.0,0.0,17409
06/26/2019,9.58,9.67,9.58,9.7,0.0,0.0,1258
06/25/2019,9.7,9.67,9.67,9.7,0.0,0.0,5287
06/24/2019,9.74,9.72,9.72,9.74,0.0,0.0,1611
06/21/2019,9.72,9.85,9.72,9.85,0.0,0.0,8109
06/20/2019,9.68,9.69,9.68,9.7559,0.0,0.0,863
06/19/2019,9.69,9.71,9.69,9.75,0.0,0.0,1435
06/18/2019,9.7,9.7,9.7,9.7279,0.0,0.0,2132
06/17/2019,9.55,9.71,9.55,9.85,0.0,0.0,4494
06/14/2019,9.815,9.8347,9.7882,9.8347,0.0,0.0,2012
06/13/2019,9.64,9.8995,9.64,10,0.0,0.0,2626
06/12/2019,9.67,9.78,9.67,10.12,0.0,0.0,4856
06/11/2019,9.69,9.65,9.55,9.75,0.0,0.0,9997
06/10/2019,9.7,9.71,9.7,9.78,0.0,0.0,1184
06/07/2019,9.75,9.85,9.7295,9.85,0.0,0.0,7292
06/06/2019,9.79,9.84,9.54,9.96,0.0,0.0,10341
06/05/2019,9.84,9.8,9.8,9.95,0.0,0.0,9859
06/04/2019,10,9.95,9.84,10,0.0,0.0,2514
06/03/2019,10.0488,9.9,9.84,10.1154,0.0,0.0,2685
05/31/2019,10.068,9.85,9.85,10.068,0.0,0.0,772
05/30/2019,9.93,9.89,9.84,10.065,0.0,0.0,23133
05/29/2019,9.99,9.99,9.99,9.99,0.0,0.0,00
05/28/2019,9.99,9.99,9.99,9.99,0.0,0.0,00
05/24/2019,9.95,9.99,9.95,10,0.0,0.0,2059
05/23/2019,9.95,9.95,9.95,9.95,0.0,0.0,4922
05/22/2019,9.95,10,9.95,10,0.0,0.0,3360
05/21/2019,10.09,10,10,10.09,0.0,0.0,4221
05/20/2019,10.17,10.09,10.07,10.17,0.0,0.0,1995
05/17/2019,10.095,10.17,10.01,10.179,0.0,0.0,4783
05/16/2019,9.98,10,9.98,10,0.0,0.0,4099
05/15/2019,10,10,9.99,10.01,0.0,0.0,17402
05/14/2019,10,10,10,10,0.0,0.0,1403
05/13/2019,10.0001,9.94,9.8401,10.0001,0.0,0.0,11640
05/10/2019,10.0724,10.0724,10.0724,10.0724,0.0,0.0,104
05/09/2019,10.1999,10.1999,10.1999,10.1999,0.0,0.0,00
05/08/2019,10.1999,10.1999,10.1999,10.1999,0.0,0.0,00
05/07/2019,10.1999,10.1999,10.1999,10.1999,0.0,0.0,110
05/06/2019,10.071,10,10,10.18,0.0,0.0,1018
05/03/2019,10.01,10.17,10,10.17,0.0,0.0,2314
05/02/2019,10.19,10,10,10.2,0.0,0.0,6830
05/01/2019,10,10,10,10,0.0,0.0,00
04/30/2019,9.9998,10,9.9998,10,0.0,0.0,201
04/29/2019,9.99,9.99,9.99,10.0795,0.0,0.0,2860
04/26/2019,10.12,9.99,9.99,10.12,0.0,0.0,762
04/25/2019,10.05,10.12,10.02,10.1706,0.0,0.0,8141
04/24/2019,9.9901,9.89,9.89,9.9901,0.0,0.0,990
04/23/2019,10.05,10.05,10.05,10.05,0.0,0.0,1459
04/22/2019,9.88,9.85,9.85,9.88,0.0,0.0,826
04/18/2019,9.99,10,9.99,10,0.0,0.0,3059
04/17/2019,9.71,10,9.67,10.15,0.0,0.0,5200
04/16/2019,9.99,9.99,9.99,9.99,0.0,0.0,509
