Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.859,11.63,11.55,12.09,0.0,0.0,40357
07/15/2019,12.4,11.97,11.8115,12.475,0.0,0.0,27220
07/12/2019,12.01,12.19,12.01,12.3539,0.0,0.0,28752
07/11/2019,12.399,12,11.9,12.49,0.0,0.0,71730
07/10/2019,12.33,12.18,11.93,12.625,0.0,0.0,31283
07/09/2019,12,12.22,12,12.57,0.0,0.0,30787
07/08/2019,12.6,11.99,11.58,12.8382,0.0,0.0,79433
07/05/2019,13,12.35,12.12,13.35,0.0,0.0,61237
07/03/2019,13.99,12.8,12.75,14.0624,0.0,0.0,99977
07/02/2019,16,13.71,13.52,16.05,0.0,0.0,271527
07/01/2019,16.49,17.89,16.49,18.52,0.0,0.0,133131
06/28/2019,15.888,16.23,15.86,16.44,0.0,0.0,10101
06/27/2019,15.9988,16.03,15.8791,16.1,0.0,0.0,6547
06/26/2019,15.87,15.78,15,16.0316,0.0,0.0,11068
06/25/2019,15.95,15.725,15.43,16.2635,0.0,0.0,10977
06/24/2019,15.99,15.77,15.74,16.55,0.0,0.0,20029
06/21/2019,16.77,16.38,16.12,16.86,0.0,0.0,14776
06/20/2019,17.2,16.68,16.68,17.2,0.0,0.0,18126
06/19/2019,16.46,16.9,16.33,17.06,0.0,0.0,16524
06/18/2019,16.02,16.21,15.65,16.54,0.0,0.0,36027
06/17/2019,16.13,15.87,15.87,16.14,0.0,0.0,4680
06/14/2019,16.09,16.24,15.725,16.4,0.0,0.0,34390
06/13/2019,16.09,16.02,15.8,16.32,0.0,0.0,12679
06/12/2019,15.86,16.16,15.55,16.1655,0.0,0.0,55143
06/11/2019,16.08,15.91,15.855,16.37,0.0,0.0,13511
06/10/2019,15.79,15.97,15.79,16.9425,0.0,0.0,9395
06/07/2019,15.84,16.045,15.35,16.4573,0.0,0.0,79260
06/06/2019,15.829,15.61,15.61,16.13,0.0,0.0,20624
06/05/2019,15.7,15.71,15.42,16.09,0.0,0.0,7908
06/04/2019,15.5,15.62,15.03,16.5,0.0,0.0,23842
06/03/2019,15.51,15.21,15.1,16.5,0.0,0.0,48118
05/31/2019,15.815,15.35,15.18,16.05,0.0,0.0,13230
05/30/2019,15.24,16.05,15.24,16.08,0.0,0.0,25472
05/29/2019,14.71,15.72,14.66,15.94,0.0,0.0,43278
05/28/2019,15,14.88,14.81,15.3,0.0,0.0,18004
05/24/2019,16.46,14.9,14.71,16.46,0.0,0.0,68857
05/23/2019,16.46,16.1,15.8,16.46,0.0,0.0,25424
05/22/2019,16.6,16.43,16.11,16.7421,0.0,0.0,29846
05/21/2019,17.12,16.85,16.85,17.27,0.0,0.0,15967
05/20/2019,16.98,17.16,16.76,17.17,0.0,0.0,32858
05/17/2019,17.07,17.13,16.8335,17.4772,0.0,0.0,19547
05/16/2019,17.27,17.26,16.9242,17.365,0.0,0.0,27797
05/15/2019,16.02,16.82,15.9494,17.01,0.0,0.0,13031
05/14/2019,16.19,16.1,15.83,16.32,0.0,0.0,28112
05/13/2019,16.35,16.2,15.57,16.36,0.0,0.0,26642
05/10/2019,17.24,16.53,16.48,17.44,0.0,0.0,44141
05/09/2019,17.6,17.3,17.11,18.2677,0.0,0.0,24878
05/08/2019,17.91,17.74,17.6,18.4794,0.0,0.0,15590
05/07/2019,18.25,18,17.445,18.79,0.0,0.0,20221
05/06/2019,18.106,18.26,17.78,18.595,0.0,0.0,19358
05/03/2019,17.38,18.34,17.38,19,0.0,0.0,36361
05/02/2019,17.17,17.26,16.98,17.78,0.0,0.0,37108
05/01/2019,17.74,17.21,16.95,17.8,0.0,0.0,41178
04/30/2019,18.22,17.74,17.25,18.42,0.0,0.0,41776
04/29/2019,19.11,18.02,18.02,19.28,0.0,0.0,47849
04/26/2019,18.28,19.11,17.7386,19.3052,0.0,0.0,101036
04/25/2019,18.1,18.28,17.8804,18.94,0.0,0.0,85441
04/24/2019,17.83,18.01,17.69,18.38,0.0,0.0,48623
04/23/2019,17.65,17.74,17.4143,17.89,0.0,0.0,30002
04/22/2019,17.82,17.49,17.4,17.9679,0.0,0.0,55863
04/18/2019,16.96,18.02,16.96,18.02,0.0,0.0,43534
04/17/2019,17.87,16.75,16.75,18.1,0.0,0.0,38087
04/16/2019,18.05,17.67,17.67,18.17,0.0,0.0,14433
