Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.83,11.92,11.82,11.95,0.0,0.0,11061440
07/15/2019,11.86,11.84,11.8,11.93,0.0,0.0,15435280
07/12/2019,11.94,11.84,11.74,11.94,0.0,0.0,33048660
07/11/2019,11.97,11.85,11.83,12,0.0,0.0,13459410
07/10/2019,12.15,11.98,11.95,12.15,0.0,0.0,33494780
07/09/2019,12.03,12.09,11.99,12.13,0.0,0.0,32617880
07/08/2019,12.11,12.11,12.06,12.21,0.0,0.0,20877010
07/05/2019,12.06,12.18,12.05,12.23,0.0,0.0,13786280
07/03/2019,12.11,12.14,12.05,12.16,0.0,0.0,13284010
07/02/2019,11.96,12.09,11.95,12.09,0.0,0.0,18745080
07/01/2019,11.89,11.99,11.82,12.01,0.0,0.0,33359130
06/28/2019,11.64,11.82,11.575,11.87,0.0,0.0,58767690
06/27/2019,11.69,11.66,11.605,11.7,0.0,0.0,67512260
06/26/2019,11.6,11.62,11.58,11.73,0.0,0.0,45711260
06/25/2019,11.56,11.56,11.47,11.74,0.0,0.0,99505790
06/24/2019,11.52,11.44,11.25,11.73,0.0,0.0,216554000
06/21/2019,9.99,9.99,9.95,10.12,0.0,0.0,14303810
06/20/2019,10.1,10.05,9.98,10.17,0.0,0.0,7870457
06/19/2019,9.92,10.07,9.88,10.1,0.0,0.0,14053430
06/18/2019,9.89,9.95,9.8101,10.07,0.0,0.0,21767040
06/17/2019,9.9,9.85,9.755,9.91,0.0,0.0,8311699
06/14/2019,9.81,9.82,9.72,9.87,0.0,0.0,6574669
06/13/2019,9.86,9.81,9.76,9.905,0.0,0.0,14608270
06/12/2019,9.66,9.8,9.59,9.85,0.0,0.0,11379100
06/11/2019,9.8,9.7,9.66,9.86,0.0,0.0,9665857
06/10/2019,9.52,9.78,9.52,9.79,0.0,0.0,21388440
06/07/2019,9.66,9.48,9.43,9.72,0.0,0.0,36089300
06/06/2019,9.03,9.13,8.91,9.25,0.0,0.0,15310030
06/05/2019,9.02,9.02,8.78,9.055,0.0,0.0,8843910
06/04/2019,8.75,9,8.68,9.01,0.0,0.0,11854480
06/03/2019,8.76,8.61,8.52,8.8096,0.0,0.0,20083180
05/31/2019,8.95,8.79,8.76,9.045,0.0,0.0,16323580
05/30/2019,9.13,9.06,8.97,9.23,0.0,0.0,9809292
05/29/2019,9.01,9.15,8.905,9.17,0.0,0.0,14992980
05/28/2019,9.05,8.93,8.9,9.11,0.0,0.0,16054260
05/24/2019,9.14,9.02,8.99,9.23,0.0,0.0,7943965
05/23/2019,8.96,9.06,8.88,9.26,0.0,0.0,11854620
05/22/2019,9.06,9.11,9.035,9.16,0.0,0.0,6300057
05/21/2019,9.1,9.11,9.08,9.255,0.0,0.0,11846470
05/20/2019,9,9.03,8.8135,9.05,0.0,0.0,13915550
05/17/2019,9.1,9.03,8.99,9.27,0.0,0.0,12306180
05/16/2019,9.22,9.25,9.15,9.37,0.0,0.0,12493460
05/15/2019,9.06,9.18,8.91,9.255,0.0,0.0,16485960
05/14/2019,9,9.09,8.865,9.17,0.0,0.0,14969120
05/13/2019,9,8.88,8.8144,9.05,0.0,0.0,16381100
05/10/2019,9.01,9.25,8.9,9.3,0.0,0.0,11389020
05/09/2019,8.9,9.09,8.6934,9.12,0.0,0.0,21062580
05/08/2019,8.97,8.92,8.91,9.11,0.0,0.0,16062710
05/07/2019,9.16,9.03,8.9,9.18,0.0,0.0,20338070
05/06/2019,9.14,9.25,9.06,9.28,0.0,0.0,13062870
05/03/2019,9.23,9.35,9.185,9.42,0.0,0.0,22680600
05/02/2019,9.41,9.15,9.09,9.58,0.0,0.0,46803160
05/01/2019,9.45,9.1,9.1,9.48,0.0,0.0,16723630
04/30/2019,9.49,9.36,9.1943,9.505,0.0,0.0,21192700
04/29/2019,9.54,9.56,9.45,9.645,0.0,0.0,19677480
04/26/2019,9.45,9.59,9.16,9.59,0.0,0.0,9181885
04/25/2019,9.49,9.42,9.305,9.49,0.0,0.0,9060136
04/24/2019,9.48,9.46,9.39,9.52,0.0,0.0,7038635
04/23/2019,9.51,9.47,9.435,9.54,0.0,0.0,20749450
04/22/2019,9.52,9.47,9.38,9.5443,0.0,0.0,14277070
04/18/2019,9.52,9.56,9.37,9.65,0.0,0.0,25503330
04/17/2019,9.58,9.47,9.45,9.67,0.0,0.0,11993930
04/16/2019,9.29,9.52,9.27,9.65,0.0,0.0,42571620
