Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.24,1.22,1.18,1.24,0.0,0.0,44127
07/15/2019,1.23,1.22,1.18,1.31,0.0,0.0,71030
07/12/2019,1.2036,1.23,1.2,1.29,0.0,0.0,63126
07/11/2019,1.27,1.2114,1.2,1.33,0.0,0.0,100647
07/10/2019,1.19,1.28,1.19,1.37,0.0,0.0,144837
07/09/2019,1.12,1.19,1.1,1.23,0.0,0.0,94039
07/08/2019,1.12,1.11,1.0891,1.17,0.0,0.0,110327
07/05/2019,1.17,1.13,1.13,1.2,0.0,0.0,42635
07/03/2019,1.2,1.1801,1.11,1.2,0.0,0.0,53922
07/02/2019,1.1,1.165,1.1,1.19,0.0,0.0,116569
07/01/2019,1.1,1.09,1.08,1.16,0.0,0.0,94284
06/28/2019,1.05,1.1,1.05,1.15,0.0,0.0,91487
06/27/2019,1.09,1.08,1.07,1.11,0.0,0.0,30086
06/26/2019,1.06,1.08,1.06,1.15,0.0,0.0,76345
06/25/2019,1.061,1.06,1.03,1.1,0.0,0.0,62981
06/24/2019,1.1,1.085,1.07,1.1,0.0,0.0,46219
06/21/2019,1.09,1.08,1.05,1.14,0.0,0.0,67628
06/20/2019,1.1,1.12,1.09,1.17,0.0,0.0,103991
06/19/2019,1.07,1.11,1.03,1.23,0.0,0.0,526599
06/18/2019,1.06,1.06,1.03,1.08,0.0,0.0,29390
06/17/2019,1.072,1.06,1.01,1.079,0.0,0.0,31869
06/14/2019,1.05,1.03,1.02,1.099,0.0,0.0,48970
06/13/2019,1.06,1.09,1.03,1.1,0.0,0.0,23803
06/12/2019,1.09,1.05,1.01,1.09,0.0,0.0,79321
06/11/2019,1.1,1.09,1.02,1.1799,0.0,0.0,71852
06/10/2019,1.18,1.1,1.02,1.18,0.0,0.0,179939
06/07/2019,1.27,1.18,1.18,1.29,0.0,0.0,99990
06/06/2019,1.23,1.22,1.1,1.29,0.0,0.0,232700
06/05/2019,1.13,1.17,1.11,1.24,0.0,0.0,317864
06/04/2019,1.15,1.15,1.13,1.18,0.0,0.0,34293
06/03/2019,1.15,1.13,1.07,1.21,0.0,0.0,115644
05/31/2019,1.2,1.174,1.16,1.23,0.0,0.0,91152
05/30/2019,1.25,1.2231,1.22,1.26,0.0,0.0,47008
05/29/2019,1.27,1.23,1.2,1.29,0.0,0.0,63624
05/28/2019,1.28,1.25,1.25,1.391,0.0,0.0,107708
05/24/2019,1.28,1.29,1.24,1.3,0.0,0.0,46242
05/23/2019,1.34,1.29,1.18,1.34,0.0,0.0,133718
05/22/2019,1.42,1.31,1.12,1.44,0.0,0.0,421937
05/21/2019,1.48,1.4599,1.371,1.5,0.0,0.0,127334
05/20/2019,1.45,1.48,1.405,1.49,0.0,0.0,119454
05/17/2019,1.73,1.52,1.52,1.87,0.0,0.0,453100
05/16/2019,1.55,1.5599,1.41,1.649,0.0,0.0,258919
05/15/2019,1.5,1.63,1.47,1.6514,0.0,0.0,108978
05/14/2019,1.57,1.5,1.43,1.65,0.0,0.0,198215
05/13/2019,1.6,1.57,1.3841,1.649,0.0,0.0,496462
05/10/2019,1.78,1.72,1.59,1.88,0.0,0.0,467753
05/09/2019,1.9,1.78,1.61,1.929,0.0,0.0,480469
05/08/2019,2.02,1.89,1.81,2.14,0.0,0.0,263292
05/07/2019,2.16,2.01,2,2.19,0.0,0.0,248745
05/06/2019,2.11,2.21,2.11,2.24,0.0,0.0,91944
05/03/2019,2.05,2.16,2,2.2701,0.0,0.0,316193
05/02/2019,2.1,2.03,1.9716,2.12,0.0,0.0,168560
05/01/2019,2.12,2.1,2.03,2.18,0.0,0.0,165910
04/30/2019,2.08,2.11,2.04,2.14,0.0,0.0,116583
04/29/2019,2.12,2.08,2.01,2.12,0.0,0.0,128021
04/26/2019,2.18,2.16,2.06,2.32,0.0,0.0,632298
04/25/2019,2.06,2.11,1.9975,2.2,0.0,0.0,375515
04/24/2019,1.94,2.06,1.92,2.14,0.0,0.0,563135
04/23/2019,1.94,1.95,1.87,2.04,0.0,0.0,344430
04/22/2019,2.12,1.98,1.91,2.25,0.0,0.0,858032
04/18/2019,2.05,2.09,1.948,2.1008,0.0,0.0,371672
04/17/2019,2.2,2.08,1.9,2.2399,0.0,0.0,978648
04/16/2019,2.4,2.24,2.17,2.4897,0.0,0.0,616648
