Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,14.76,14.71,14.63,14.78,0.0,0.0,7779
07/15/2019,14.77,14.76,14.63,14.79,0.0,0.0,17078
07/12/2019,14.84,14.76,14.72,14.94,0.0,0.0,33040
07/11/2019,14.95,14.92,14.76,14.95,0.0,0.0,7996
07/10/2019,15.16,14.91,14.89,15.16,0.0,0.0,9718
07/09/2019,14.9,14.97,14.76,15.02,0.0,0.0,13758
07/08/2019,15.05,14.88,14.79,15.05,0.0,0.0,9365
07/05/2019,14.77,14.86,14.74,15.05,0.0,0.0,14270
07/03/2019,15.06,15.04,14.517,15.09,0.0,0.0,13204
07/02/2019,15.06,14.98,14.94,15.1692,0.0,0.0,47224
07/01/2019,15.19,15.02,14.96,15.24,0.0,0.0,153956
06/28/2019,15.02,15.27,15.02,15.36,0.0,0.0,144177
06/27/2019,14.86,15.07,14.82,15.09,0.0,0.0,27687
06/26/2019,15.09,14.58,14.56,15.1,0.0,0.0,14543
06/25/2019,15.1,14.8,14.5977,15.1,0.0,0.0,13307
06/24/2019,15.07,14.99,14.77,15.4324,0.0,0.0,18588
06/21/2019,14.81,15.03,14.81,15.1,0.0,0.0,41927
06/20/2019,14.96,14.79,14.735,15,0.0,0.0,17114
06/19/2019,14.89,14.99,14.88,15,0.0,0.0,12127
06/18/2019,14.8031,14.83,14.7839,14.94,0.0,0.0,13799
06/17/2019,14.79,14.72,14.55,14.85,0.0,0.0,9349
06/14/2019,14.814,14.65,14.6,14.9,0.0,0.0,14492
06/13/2019,14.52,14.74,14.45,14.8,0.0,0.0,15221
06/12/2019,14.23,14.37,14.2,14.47,0.0,0.0,21598
06/11/2019,14.38,14.32,14.22,14.39,0.0,0.0,21378
06/10/2019,14.41,14.38,14.255,14.51,0.0,0.0,13831
06/07/2019,14.785,14.4,14.4,14.785,0.0,0.0,7974
06/06/2019,14.48,14.49,14.28,14.62,0.0,0.0,9944
06/05/2019,14.492,14.48,14.47,14.65,0.0,0.0,13251
06/04/2019,14.51,14.61,14.51,14.75,0.0,0.0,18874
06/03/2019,14.38,14.51,14.31,14.56,0.0,0.0,17862
05/31/2019,14.41,14.45,14.32,14.54,0.0,0.0,19972
05/30/2019,14.45,14.45,14.31,14.67,0.0,0.0,12838
05/29/2019,14.53,14.46,14.42,14.62,0.0,0.0,12346
05/28/2019,14.78,14.52,14.52,14.88,0.0,0.0,19071
05/24/2019,14.5,14.74,14.5,14.8853,0.0,0.0,13035
05/23/2019,14.42,14.53,14.34,14.75,0.0,0.0,13491
05/22/2019,14.95,14.63,14.42,14.99,0.0,0.0,35875
05/21/2019,14.68,14.97,14.68,14.98,0.0,0.0,12532
05/20/2019,14.86,14.7,14.53,14.88,0.0,0.0,23716
05/17/2019,14.71,14.84,14.63,14.86,0.0,0.0,9758
05/16/2019,14.66,14.79,14.54,14.8,0.0,0.0,8926
05/15/2019,14.07,14.55,14.06,14.855,0.0,0.0,32601
05/14/2019,14.08,14.1,13.41,14.13,0.0,0.0,14239
05/13/2019,14.12,14.02,14,14.25,0.0,0.0,14195
05/10/2019,14.01,14.255,13.96,14.32,0.0,0.0,18334
05/09/2019,13.85,14,13.69,14.04,0.0,0.0,19501
05/08/2019,14.15,13.93,13.86,14.25,0.0,0.0,23389
05/07/2019,14.2,14.19,14.1,14.25,0.0,0.0,17582
05/06/2019,13.64,14.21,13.64,14.37,0.0,0.0,25792
05/03/2019,13.65,13.98,13.65,13.98,0.0,0.0,31411
05/02/2019,13.4014,13.71,13.4014,13.75,0.0,0.0,18100
05/01/2019,13.59,13.53,13.53,13.65,0.0,0.0,8665
04/30/2019,13.46,13.5,13.16,13.645,0.0,0.0,22756
04/29/2019,13.28,13.53,13.28,13.58,0.0,0.0,38284
04/26/2019,13.54,13.37,13.3,13.54,0.0,0.0,2915
04/25/2019,13.31,13.13,13,13.36,0.0,0.0,10723
04/24/2019,13.27,13.31,13.1968,13.53,0.0,0.0,17377
04/23/2019,12.81,13.34,12.63,13.35,0.0,0.0,68949
04/22/2019,12.73,12.69,12.62,12.77,0.0,0.0,13690
04/18/2019,12.47,12.68,12.46,12.68,0.0,0.0,16330
04/17/2019,12.68,12.51,12.42,12.7325,0.0,0.0,18013
04/16/2019,12.8,12.61,12.61,12.915,0.0,0.0,9919
