Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,29.82,30.03,29.73,30.29,0.0,0.0,7820873
07/15/2019,29.79,29.81,29.645,30.06,0.0,0.0,1409879
07/12/2019,29.07,29.8,29.07,30.05,0.0,0.0,2048673
07/11/2019,29,29.16,28.85,29.23,0.0,0.0,2462956
07/10/2019,29.16,28.97,28.62,29.29,0.0,0.0,2952588
07/09/2019,28.69,29.03,28.59,29.36,0.0,0.0,2480065
07/08/2019,28.63,28.8,28.52,28.81,0.0,0.0,1790059
07/05/2019,28.21,28.72,28.12,28.74,0.0,0.0,1413875
07/03/2019,28.53,28.38,28.345,28.74,0.0,0.0,1369269
07/02/2019,28.34,28.4,28.25,28.8,0.0,0.0,2156757
07/01/2019,28.82,28.33,28.02,28.9,0.0,0.0,2456950
06/28/2019,27.76,28.45,27.54,28.46,0.0,0.0,2795880
06/27/2019,27.3,27.45,26.935,27.51,0.0,0.0,1888990
06/26/2019,27.62,27.28,27.25,27.81,0.0,0.0,4183558
06/25/2019,28.53,27.57,27.34,28.62,0.0,0.0,4774350
06/24/2019,28.22,28.54,28.085,28.6,0.0,0.0,4700822
06/21/2019,28.6,28.28,28.075,28.6,0.0,0.0,5223744
06/20/2019,28.33,28.41,27.95,28.5,0.0,0.0,4300690
06/19/2019,27.38,28.04,27.285,28.16,0.0,0.0,4924113
06/18/2019,27.24,27.25,27.04,27.64,0.0,0.0,5774053
06/17/2019,26.82,27.2,26.52,27.32,0.0,0.0,3112237
06/14/2019,27.14,26.84,26.82,27.29,0.0,0.0,4180885
06/13/2019,27.34,27.77,27.14,27.82,0.0,0.0,3186980
06/12/2019,27.07,27.21,27,27.4933,0.0,0.0,2045947
06/11/2019,26.42,27,26.38,27.075,0.0,0.0,2688744
06/10/2019,26.57,26.34,26.22,26.7,0.0,0.0,1464126
06/07/2019,26.45,26.49,26.4,26.88,0.0,0.0,2138549
06/06/2019,26.31,26.39,26.15,26.475,0.0,0.0,2440376
06/05/2019,26.78,26.21,25.9,26.93,0.0,0.0,4607213
06/04/2019,25.77,26.68,25.77,26.74,0.0,0.0,5079351
06/03/2019,25.59,25.53,25.37,26.16,0.0,0.0,3946299
05/31/2019,25.57,25.64,25.47,26.11,0.0,0.0,4236676
05/30/2019,25.81,25.62,25.51,26.19,0.0,0.0,2867580
05/29/2019,25.79,25.7,25.515,26,0.0,0.0,3462388
05/28/2019,25.59,25.91,25.59,26.08,0.0,0.0,5385539
05/24/2019,25.54,25.51,25.36,25.74,0.0,0.0,1446610
05/23/2019,25.58,25.48,25.26,25.72,0.0,0.0,2439759
05/22/2019,26.28,25.78,25.77,26.415,0.0,0.0,3063835
05/21/2019,25.97,26.34,25.89,26.51,0.0,0.0,4449386
05/20/2019,26.21,25.83,25.62,26.21,0.0,0.0,2185561
05/17/2019,26.01,26.22,25.885,26.28,0.0,0.0,2169710
05/16/2019,26.15,26.25,25.97,26.355,0.0,0.0,2172683
05/15/2019,26.28,26.18,25.95,26.44,0.0,0.0,2367516
05/14/2019,25.89,26.25,25.82,26.47,0.0,0.0,3540891
05/13/2019,26.37,25.75,25.69,26.62,0.0,0.0,2562018
05/10/2019,26.91,26.77,26.16,26.91,0.0,0.0,2968431
05/09/2019,27.1,26.94,26.46,27.312,0.0,0.0,3061077
05/08/2019,27.44,27.35,26.92,27.54,0.0,0.0,2599114
05/07/2019,27.33,27.1,26.97,27.76,0.0,0.0,2821125
05/06/2019,27.49,27.5,27.14,27.81,0.0,0.0,2096356
05/03/2019,27.75,27.77,27.3874,28.06,0.0,0.0,2585028
05/02/2019,29.21,27.65,27.03,29.66,0.0,0.0,3670837
05/01/2019,28.62,28.86,28.62,29.16,0.0,0.0,2439738
04/30/2019,29.42,28.76,28.63,29.5,0.0,0.0,3925618
04/29/2019,29.5,29.33,29.21,29.92,0.0,0.0,2776473
04/26/2019,28.66,29.49,28.53,29.51,0.0,0.0,2054930
04/25/2019,28.45,28.56,27.7,28.76,0.0,0.0,2775681
04/24/2019,27.15,28.45,27.02,28.5923,0.0,0.0,2529743
04/23/2019,27.13,27.55,27.13,27.83,0.0,0.0,1755843
04/22/2019,27.87,27.16,26.965,28,0.0,0.0,1602969
04/18/2019,28.37,28.03,27.89,28.39,0.0,0.0,1362565
04/17/2019,28.2,28.23,28.04,28.5,0.0,0.0,1152242
04/16/2019,28.13,28.07,27.81,28.305,0.0,0.0,1161290
