Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,230.8,230.8,230.8,230.8,0.0,0.0,00
07/15/2019,230.8,230.8,230.8,230.8,0.0,0.0,00
07/12/2019,230.8,230.8,230.8,230.8,0.0,0.0,682
07/11/2019,233.21,233.21,233.21,233.21,0.0,0.0,1207
07/10/2019,235.47,235.47,235.47,235.47,0.0,0.0,00
07/09/2019,235.47,235.47,235.47,235.47,0.0,0.0,00
07/08/2019,235.47,235.47,235.47,235.47,0.0,0.0,00
07/05/2019,235.47,235.47,235.47,235.47,0.0,0.0,00
07/03/2019,235.47,235.47,235.47,235.47,0.0,0.0,00
07/02/2019,235.47,235.47,235.47,235.47,0.0,0.0,00
07/01/2019,235.47,235.47,235.47,235.47,0.0,0.0,1604
06/28/2019,227.51,238,227.51,238,0.0,0.0,7786
06/27/2019,224.325,228.88,224.325,228.88,0.0,0.0,1071
06/26/2019,226.7,226.7,226.7,226.7,0.0,0.0,290
06/25/2019,225,225,225,225,0.0,0.0,00
06/24/2019,225,225,225,225,0.0,0.0,00
06/21/2019,219.85,225,219.85,225,0.0,0.0,2175
06/20/2019,223.45,223.45,223.45,223.45,0.0,0.0,00
06/19/2019,223.45,223.45,223.45,223.45,0.0,0.0,00
06/18/2019,223.45,223.45,223.45,223.45,0.0,0.0,00
06/17/2019,223.45,223.45,223.45,223.45,0.0,0.0,305
06/14/2019,220.57,220.57,220.57,220.57,0.0,0.0,279
06/13/2019,220,220,220,220,0.0,0.0,369
06/12/2019,220.83,220.83,220.83,220.83,0.0,0.0,00
06/11/2019,220.83,220.83,220.83,220.83,0.0,0.0,645
06/10/2019,216.61,216.61,216.61,216.61,0.0,0.0,00
06/07/2019,216.61,216.61,216.61,216.61,0.0,0.0,00
06/06/2019,216.61,216.61,216.61,216.61,0.0,0.0,617
06/05/2019,215.2,215.2,215.2,215.2,0.0,0.0,393
06/04/2019,214.1,216.8,214.1,216.8,0.0,0.0,1376
06/03/2019,213.68,213.68,213.68,213.68,0.0,0.0,412
05/31/2019,214.89,214.89,214.89,214.89,0.0,0.0,518
05/30/2019,213.73,213.73,213.73,213.73,0.0,0.0,288
05/29/2019,218,214.95,214.95,218,0.0,0.0,1503
05/28/2019,220.79,219.1,219.1,220.79,0.0,0.0,647
05/24/2019,219.1,219.1,219.1,219.1,0.0,0.0,00
05/23/2019,219.1,219.1,219.1,219.1,0.0,0.0,583
05/22/2019,219.5,219.5,219.5,219.5,0.0,0.0,00
05/21/2019,219.5,219.5,219.5,219.5,0.0,0.0,1098
05/20/2019,219.1,219.1,219.1,219.1,0.0,0.0,241
05/17/2019,219.38,219.15,219.15,219.38,0.0,0.0,397
05/16/2019,220.45,220.45,220.45,220.45,0.0,0.0,342
05/15/2019,226.23,220.77,220.77,226.23,0.0,0.0,522
05/14/2019,218.0027,220.78,218.0027,220.78,0.0,0.0,723
05/13/2019,219,219,219,219,0.0,0.0,620
05/10/2019,218.3,218.3,218.3,218.3,0.0,0.0,00
05/09/2019,218.3,218.3,218.3,218.3,0.0,0.0,00
05/08/2019,218.3,218.3,218.3,218.3,0.0,0.0,245
05/07/2019,218.09,218.09,218.09,218.09,0.0,0.0,412
05/06/2019,221.95,219,219,222.78,0.0,0.0,1715
05/03/2019,220.006,222.59,220.006,222.59,0.0,0.0,725
05/02/2019,223.8,223.8,223.8,223.8,0.0,0.0,00
05/01/2019,223.8,223.8,223.8,223.8,0.0,0.0,382
04/30/2019,223,223,223,223,0.0,0.0,993
04/29/2019,225.34,223.18,223.18,225.34,0.0,0.0,712
04/26/2019,220.23,220.23,220.23,220.23,0.0,0.0,00
04/25/2019,220.23,220.23,220.23,220.23,0.0,0.0,221
04/24/2019,223,223,223,223,0.0,0.0,367
04/23/2019,219.64,221,219.64,221,0.0,0.0,505
04/22/2019,218.21,218.21,218.21,218.21,0.0,0.0,00
04/18/2019,218.21,218.21,218.21,218.21,0.0,0.0,388
04/17/2019,229.36,224.35,223,229.37,0.0,0.0,1320
04/16/2019,220.47,221,217.39,221,0.0,0.0,1139
