Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,5.52,5.44,5.4201,5.54,0.0,0.0,6373
07/15/2019,5.52,5.53,5.4141,5.58,0.0,0.0,8118
07/12/2019,5.44,5.45,5.33,5.65,0.0,0.0,11069
07/11/2019,5.33,5.43,5.33,5.43,0.0,0.0,3546
07/10/2019,5.5,5.33,5.33,5.5,0.0,0.0,5806
07/09/2019,5.48,5.5,5.36,5.6201,0.0,0.0,9864
07/08/2019,5.27,5.38,5.23,5.71,0.0,0.0,14648
07/05/2019,5.44,5.23,5.17,5.7854,0.0,0.0,36164
07/03/2019,5.23,5.43,5.0753,5.43,0.0,0.0,21053
07/02/2019,5.12,5.23,5.05,5.24,0.0,0.0,16818
07/01/2019,5.07,5.05,4.9302,5.45,0.0,0.0,40922
06/28/2019,4.9,5.08,4.9,5.0932,0.0,0.0,12956
06/27/2019,4.87,4.89,4.87,5.08,0.0,0.0,16806
06/26/2019,5.11,4.85,4.85,5.1257,0.0,0.0,14407
06/25/2019,5.32,5.055,4.9501,5.32,0.0,0.0,3944
06/24/2019,4.96,5.23,4.81,5.4,0.0,0.0,93221
06/21/2019,4.94,4.92,4.92,5.39,0.0,0.0,53411
06/20/2019,5.02,5.06,4.7617,5.08,0.0,0.0,49947
06/19/2019,4.85,5.03,4.73,5.07,0.0,0.0,21164
06/18/2019,4.78,4.76,4.76,5.1,0.0,0.0,30890
06/17/2019,4.74,4.8,4.63,4.8,0.0,0.0,38564
06/14/2019,4.88,4.71,4.6604,4.88,0.0,0.0,23062
06/13/2019,5.05,4.9,4.8443,5.05,0.0,0.0,4368
06/12/2019,5.1,5.11,4.81,5.11,0.0,0.0,32265
06/11/2019,4.93,5.1,4.91,5.16,0.0,0.0,20071
06/10/2019,4.72,4.85,4.66,5.3,0.0,0.0,42601
06/07/2019,4.77,4.64,4.64,4.88,0.0,0.0,12966
06/06/2019,4.85,4.8,4.6,4.97,0.0,0.0,34673
06/05/2019,4.65,4.9,4.6201,4.9667,0.0,0.0,36982
06/04/2019,5,4.65,4.63,5,0.0,0.0,20233
06/03/2019,4.7,5,4.67,5,0.0,0.0,41689
05/31/2019,4.8,4.75,4.5,4.84,0.0,0.0,10857
05/30/2019,5,4.9,4.9,5.03,0.0,0.0,18174
05/29/2019,5.24,5.11,5.1091,5.24,0.0,0.0,8813
05/28/2019,5.25,5.24,5.09,5.3,0.0,0.0,29933
05/24/2019,5.4,5.2564,5.2352,5.4,0.0,0.0,5180
05/23/2019,5.31,5.4,5.075,5.4,0.0,0.0,41222
05/22/2019,5.5,5.31,5.31,5.5,0.0,0.0,50855
05/21/2019,5.58,5.461,5.461,5.74,0.0,0.0,18319
05/20/2019,5.61,5.53,5.5002,5.75,0.0,0.0,80959
05/17/2019,5.41,5.76,5.41,5.99,0.0,0.0,32917
05/16/2019,5.68,5.64,5.4572,5.79,0.0,0.0,42368
05/15/2019,5.75,5.6694,5.4125,5.83,0.0,0.0,95864
05/14/2019,5.8,5.75,5.75,5.91,0.0,0.0,22542
05/13/2019,5.82,5.87,5.75,5.91,0.0,0.0,45557
05/10/2019,6.03,6,5.9,6.1601,0.0,0.0,12766
05/09/2019,6.15,6.06,6,6.15,0.0,0.0,12627
05/08/2019,6.25,6.2,6.04,6.3899,0.0,0.0,13068
05/07/2019,6.41,6.4,6.13,6.4327,0.0,0.0,31840
05/06/2019,6.16,6.4,6.12,6.44,0.0,0.0,53539
05/03/2019,6.28,6.3,6.02,6.42,0.0,0.0,70259
05/02/2019,6.2391,6.2,6.0701,6.27,0.0,0.0,8500
05/01/2019,6.3,6.3,6.2,6.359,0.0,0.0,5692
04/30/2019,6.29,6.25,6.2,6.29,0.0,0.0,16088
04/29/2019,6.43,6.29,6.2,6.439,0.0,0.0,85148
04/26/2019,6.35,6.35,6.2329,6.35,0.0,0.0,12382
04/25/2019,6.28,6.29,6.1601,6.3517,0.0,0.0,20327
04/24/2019,6.17,6.22,6.1585,6.39,0.0,0.0,34214
04/23/2019,5.81,6.12,5.81,6.19,0.0,0.0,84785
04/22/2019,6,5.85,5.82,6.15,0.0,0.0,27165
04/18/2019,5.8,6.19,5.8,6.25,0.0,0.0,37487
04/17/2019,5.83,5.8,5.8,5.9,0.0,0.0,12385
04/16/2019,5.85,5.87,5.8,5.88,0.0,0.0,23577
