Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,13.64,13.64,13.39,13.76,0.0,0.0,352714
07/15/2019,13.67,13.64,13.48,14.02,0.0,0.0,768503
07/12/2019,12.86,13.64,12.83,13.78,0.0,0.0,1270831
07/11/2019,12.76,12.82,12.7,13.03,0.0,0.0,469748
07/10/2019,13.48,12.75,12.49,13.6,0.0,0.0,942819
07/09/2019,13.71,13.42,13.25,13.82,0.0,0.0,394295
07/08/2019,13.92,13.81,13.61,14.03,0.0,0.0,227076
07/05/2019,13.76,13.94,13.65,14.03,0.0,0.0,245315
07/03/2019,13.77,13.84,13.55,13.99,0.0,0.0,218770
07/02/2019,13.82,13.73,13.47,13.82,0.0,0.0,346008
07/01/2019,13.75,13.82,13.52,14.07,0.0,0.0,517759
06/28/2019,13.82,13.59,13.57,14.2,0.0,0.0,989497
06/27/2019,13.2,13.82,13.1,13.97,0.0,0.0,495566
06/26/2019,13.35,13.2,13.18,13.81,0.0,0.0,527140
06/25/2019,13.74,13.34,13.34,13.98,0.0,0.0,492933
06/24/2019,14.4,13.79,13.6,14.475,0.0,0.0,555913
06/21/2019,13.92,14.32,13.7922,14.51,0.0,0.0,599804
06/20/2019,14.19,13.99,13.9,14.53,0.0,0.0,627865
06/19/2019,14.04,13.96,13.8,14.32,0.0,0.0,361649
06/18/2019,13.84,13.96,13.67,14.4699,0.0,0.0,461776
06/17/2019,13.17,13.69,12.965,13.86,0.0,0.0,770897
06/14/2019,14.74,13.37,13.32,14.88,0.0,0.0,1313164
06/13/2019,15.37,14.9,14.64,17.085,0.0,0.0,1572914
06/12/2019,15.35,15.07,14.82,15.36,0.0,0.0,509758
06/11/2019,15.52,15.32,15,15.56,0.0,0.0,477486
06/10/2019,15.38,15.34,15.3,15.61,0.0,0.0,434578
06/07/2019,15.62,15.24,15.06,15.75,0.0,0.0,439689
06/06/2019,15.25,15.55,15.08,15.66,0.0,0.0,321678
06/05/2019,15.63,15.24,15.21,15.83,0.0,0.0,282085
06/04/2019,15.45,15.72,15.4,15.82,0.0,0.0,241071
06/03/2019,14.91,15.32,14.86,15.42,0.0,0.0,327348
05/31/2019,15.01,14.95,14.585,15.29,0.0,0.0,463357
05/30/2019,15.51,15.13,15.12,15.7,0.0,0.0,282706
05/29/2019,15.79,15.49,15.44,15.95,0.0,0.0,277413
05/28/2019,16.09,15.99,15.93,16.36,0.0,0.0,351034
05/24/2019,15.7,15.99,15.7,16.08,0.0,0.0,290665
05/23/2019,15.6,15.6,15.43,15.88,0.0,0.0,167778
05/22/2019,15.92,15.72,15.67,16.03,0.0,0.0,163621
05/21/2019,15.89,16.01,15.69,16.02,0.0,0.0,191207
05/20/2019,15.68,15.81,15.35,15.855,0.0,0.0,276856
05/17/2019,16,15.83,15.81,16.27,0.0,0.0,311264
05/16/2019,16.22,16.1,16.08,16.38,0.0,0.0,203645
05/15/2019,16,16.19,15.9,16.275,0.0,0.0,339540
05/14/2019,15.99,16.12,15.72,16.27,0.0,0.0,326275
05/13/2019,16.33,15.83,15.3,16.36,0.0,0.0,509954
05/10/2019,16.72,16.7,16.37,16.825,0.0,0.0,305429
05/09/2019,16.48,16.79,16.37,16.92,0.0,0.0,338080
05/08/2019,16.65,16.62,16.35,16.73,0.0,0.0,275487
05/07/2019,17.28,16.69,16.62,17.28,0.0,0.0,587285
05/06/2019,16.02,16.6,16.02,16.67,0.0,0.0,577802
05/03/2019,15.99,16.31,15.7724,16.35,0.0,0.0,540888
05/02/2019,15.92,15.82,15.72,16.22,0.0,0.0,338664
05/01/2019,16.01,15.91,15.89,16.21,0.0,0.0,307526
04/30/2019,16.32,15.92,15.8,16.4071,0.0,0.0,377910
04/29/2019,16.48,16.3,16.22,16.6794,0.0,0.0,277724
04/26/2019,16.07,16.48,16.01,16.59,0.0,0.0,327796
04/25/2019,16.58,16.13,16.13,16.62,0.0,0.0,371306
04/24/2019,16.72,16.57,16.41,16.9011,0.0,0.0,318535
04/23/2019,16.5,16.69,16.22,16.79,0.0,0.0,509019
04/22/2019,16.17,16.49,16.17,16.655,0.0,0.0,353126
04/18/2019,16.22,16.2,16.12,16.49,0.0,0.0,365432
04/17/2019,16.62,16.28,16.2127,16.83,0.0,0.0,386749
04/16/2019,16.89,16.57,16.54,17.01,0.0,0.0,324891
