Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,111.84,112.32,111.47,112.44,0.0,0.0,1210645
07/15/2019,112.47,111.75,111.5,112.87,0.0,0.0,1194941
07/12/2019,111.14,112.43,110.65,112.47,0.0,0.0,1209261
07/11/2019,112.12,110.97,110.67,112.49,0.0,0.0,1407185
07/10/2019,111.62,111.69,111.23,112.18,0.0,0.0,1469342
07/09/2019,109.83,111.49,109.27,111.8,0.0,0.0,2045111
07/08/2019,109.32,110.26,109,110.49,0.0,0.0,1642451
07/05/2019,108.98,109.64,107.92,109.94,0.0,0.0,1024103
07/03/2019,109.39,109.75,109.02,110.43,0.0,0.0,1149736
07/02/2019,110.09,109.08,107.92,110.11,0.0,0.0,1841890
07/01/2019,108.79,110.09,108.75,110.34,0.0,0.0,2110905
06/28/2019,107.98,107.39,106.58,108.565,0.0,0.0,3885879
06/27/2019,109.23,108.14,108.03,109.23,0.0,0.0,1155904
06/26/2019,109,109.07,108.33,110.05,0.0,0.0,1407923
06/25/2019,112.61,108.95,108.75,112.675,0.0,0.0,2393146
06/24/2019,112.3,112.71,111.75,113.375,0.0,0.0,2007750
06/21/2019,110.89,112.19,110.46,112.5,0.0,0.0,3037065
06/20/2019,110.5,110.79,109.43,111.06,0.0,0.0,1678179
06/19/2019,109.5,109.37,107.64,109.72,0.0,0.0,1869968
06/18/2019,109.25,109.47,108.67,110.11,0.0,0.0,1899236
06/17/2019,110.43,108.13,107.96,110.76,0.0,0.0,2148780
06/14/2019,108.98,110.31,108.93,111.12,0.0,0.0,3320795
06/13/2019,108.27,108.66,107.1,108.73,0.0,0.0,1672566
06/12/2019,106.15,108.05,106.15,108.16,0.0,0.0,1778962
06/11/2019,108,106.53,105.36,108.3,0.0,0.0,3479615
06/10/2019,102.7,103.78,102.36,104.41,0.0,0.0,2186894
06/07/2019,102.58,102.64,102.15,103.73,0.0,0.0,1782686
06/06/2019,100.18,102.22,100.18,102.6,0.0,0.0,1619874
06/05/2019,100.87,100.29,99.8762,101.445,0.0,0.0,1806450
06/04/2019,101.18,100.69,100.04,101.92,0.0,0.0,2256995
06/03/2019,101.59,100.69,100.24,102.75,0.0,0.0,2242188
05/31/2019,97.57,101.59,97,101.77,0.0,0.0,3477867
05/30/2019,96.17,98.31,96.06,100.82,0.0,0.0,4004198
05/29/2019,96.26,95.32,95.11,96.98,0.0,0.0,3289703
05/28/2019,98.42,97.27,96.94,98.95,0.0,0.0,3131255
05/24/2019,98.13,98.42,97.51,98.77,0.0,0.0,2191321
05/23/2019,99.16,97.46,96.69,99.44,0.0,0.0,2659887
05/22/2019,99.89,99.57,99.55,101.22,0.0,0.0,1425074
05/21/2019,99.65,99.77,97.6,100.18,0.0,0.0,1961511
05/20/2019,99.9,100.06,99.16,100.42,0.0,0.0,1878236
05/17/2019,100.47,100.39,99.4,101.03,0.0,0.0,1877923
05/16/2019,100.51,100.89,100.4,102.25,0.0,0.0,2052760
05/15/2019,98.16,100.2,97.83,100.42,0.0,0.0,1870562
05/14/2019,99.29,98.75,98.5,99.78,0.0,0.0,2947767
05/13/2019,102.62,99.34,99.01,102.62,0.0,0.0,2739370
05/10/2019,105.42,104.02,102.97,105.42,0.0,0.0,2163663
05/09/2019,105.43,105.64,104.865,106.43,0.0,0.0,1525168
05/08/2019,104.73,106.11,104.67,106.71,0.0,0.0,1592996
05/07/2019,107.99,105.45,104.42,108.07,0.0,0.0,2367983
05/06/2019,107.68,108.62,106.24,108.8,0.0,0.0,1577166
05/03/2019,109.7,108.82,108.36,110.18,0.0,0.0,1529694
05/02/2019,109.75,109.45,108.2247,110.2,0.0,0.0,1508013
05/01/2019,111.29,109.65,109.64,111.36,0.0,0.0,1010627
04/30/2019,111.4,111.28,110.62,111.61,0.0,0.0,1639563
04/29/2019,110.16,110.98,109.46,111.04,0.0,0.0,1681728
04/26/2019,110.42,109.94,109.16,110.64,0.0,0.0,1431307
04/25/2019,110.06,110.76,109.4032,111.53,0.0,0.0,1292910
04/24/2019,109.57,110.21,109.35,110.72,0.0,0.0,1385445
04/23/2019,108.21,109.3,107.18,109.57,0.0,0.0,1895111
04/22/2019,108.7,108.2,107.93,109.28,0.0,0.0,1597276
04/18/2019,108.66,108.67,107.98,109.05,0.0,0.0,1625531
04/17/2019,106.47,108,105.86,108.18,0.0,0.0,1536642
04/16/2019,107.05,106.31,105.9,107.59,0.0,0.0,1212234
