Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,5.77,5.47,5.4593,5.77,0.0,0.0,6550
07/15/2019,5.79,5.79,5.6157,5.79,0.0,0.0,3882
07/12/2019,5.79,5.74,5.74,5.89,0.0,0.0,9432
07/11/2019,5.8139,5.718,5.7125,5.8314,0.0,0.0,11415
07/10/2019,5.9717,5.8899,5.71,5.9717,0.0,0.0,2484
07/09/2019,5.96,5.71,5.44,5.96,0.0,0.0,12631
07/08/2019,6.21,6.06,5.8,6.21,0.0,0.0,10156
07/05/2019,6.1,6.21,6.1,6.3,0.0,0.0,6271
07/03/2019,6.47,6.12,6.1,6.47,0.0,0.0,6699
07/02/2019,6.71,6.4579,6.35,6.7509,0.0,0.0,12478
07/01/2019,6.94,6.71,6.71,6.99,0.0,0.0,10681
06/28/2019,7.09,6.91,6.91,7.15,0.0,0.0,10848
06/27/2019,7.05,7.05,7.05,7.1269,0.0,0.0,1837
06/26/2019,7.1,7.04,7.01,7.3438,0.0,0.0,8940
06/25/2019,7.2,7.1,7.045,7.35,0.0,0.0,16029
06/24/2019,6.86,7.1,6.86,7.1,0.0,0.0,12804
06/21/2019,6.92,6.93,6.81,7.3595,0.0,0.0,45622
06/20/2019,6.93,7,6.85,7.5346,0.0,0.0,35011
06/19/2019,7.21,7.01,6.9105,7.21,0.0,0.0,18120
06/18/2019,7.145,7.09,7,7.4,0.0,0.0,11024
06/17/2019,6.86,7.15,6.85,7.4277,0.0,0.0,13386
06/14/2019,6.96,6.85,6.85,7.4423,0.0,0.0,7317
06/13/2019,6.8843,7.09,6.4571,7.21,0.0,0.0,26897
06/12/2019,6.81,6.83,6.37,7.1,0.0,0.0,31955
06/11/2019,6.65,6.91,6.51,7.4663,0.0,0.0,56919
06/10/2019,6.37,6.6402,6.3533,6.88,0.0,0.0,15087
06/07/2019,5.79,6.31,5.7,6.95,0.0,0.0,61854
06/06/2019,5.67,5.86,5.275,6,0.0,0.0,34624
06/05/2019,5.7,5.75,5.4062,6.19,0.0,0.0,18342
06/04/2019,5.85,5.789,5.752,6.2,0.0,0.0,10958
06/03/2019,6,6,5.3,6.099,0.0,0.0,12301
05/31/2019,6.3,6.011,6,6.329,0.0,0.0,6745
05/30/2019,6.4,6.317,6.21,6.4,0.0,0.0,2572
05/29/2019,6.5,6.3,6.3,6.6,0.0,0.0,1618
05/28/2019,6.403,6.401,6.4,6.594,0.0,0.0,607
05/24/2019,7,6.401,6.4,7,0.0,0.0,3109
05/23/2019,6.7,6.52,6.5,6.886,0.0,0.0,2721
05/22/2019,7.245,6.66,6.66,7.245,0.0,0.0,11954
05/21/2019,6.8,7.1,6.8,7.199,0.0,0.0,11513
05/20/2019,6.5,6.703,6.2,6.7943,0.0,0.0,15794
05/17/2019,6.7,6.448,6.3,6.834,0.0,0.0,4263
05/16/2019,7.4,6.5,6.1,7.4,0.0,0.0,20175
05/15/2019,6.9,7.5,6.9,7.5,0.0,0.0,6586
05/14/2019,6.7,7.065,6.7,7.1,0.0,0.0,22323
05/13/2019,6.5,7,6.2055,7.1,0.0,0.0,11024
05/10/2019,6.97,6.5,6.5,7,0.0,0.0,2930
05/09/2019,7,6.8,6.541,7.237,0.0,0.0,22640
05/08/2019,5.8,6.9326,5.8,7,0.0,0.0,16736
05/07/2019,5.773,5.9,5.6,6,0.0,0.0,9464
05/06/2019,6.378,5.541,5.53,6.378,0.0,0.0,8360
05/03/2019,6.7,6.09,5.903,7,0.0,0.0,21056
05/02/2019,6.911,6.6,6.598,6.9857,0.0,0.0,5270
05/01/2019,7.22,6.582,6.515,7.377,0.0,0.0,7680
04/30/2019,7.415,7.2,7.2,7.449,0.0,0.0,5072
04/29/2019,7.449,7.341,7.341,7.456,0.0,0.0,1018
04/26/2019,7.8,7.449,7.22,7.8,0.0,0.0,2036
04/25/2019,7.562,7.4,7.203,7.7,0.0,0.0,1203
04/24/2019,7.5,7.5,7.2,7.599,0.0,0.0,2180
04/23/2019,7.35,7.51,7,7.701,0.0,0.0,4491
04/22/2019,7.5,7.198,7,7.5,0.0,0.0,5346
04/18/2019,7.197,7.078,6.85,7.197,0.0,0.0,2179
04/17/2019,6.729,6.8,6.729,7.2,0.0,0.0,3134
04/16/2019,7.165,6.8,6.8,7.2,0.0,0.0,5952
