Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,33.61,33.61,33.61,33.61,0.0,0.0,02
07/15/2019,33.71,33.285,33.285,33.71,0.0,0.0,152
07/12/2019,33.93,33.28,33.28,33.93,0.0,0.0,345
07/11/2019,33.4739,33.4739,33.4739,33.4739,0.0,0.0,322
07/10/2019,33.065,33.065,33.065,33.065,0.0,0.0,02
07/09/2019,33.97,33.94,33.94,34.39,0.0,0.0,1000
07/08/2019,33.65,33.65,33.65,33.65,0.0,0.0,02
07/05/2019,33.08,33.5784,32.85,33.5784,0.0,0.0,372
07/03/2019,32.305,32.305,32.305,32.305,0.0,0.0,02
07/02/2019,32.29,32.29,32.29,32.29,0.0,0.0,36
07/01/2019,32.4076,32.445,32.4076,32.445,0.0,0.0,100
06/28/2019,32,32,32,32,0.0,0.0,00
06/27/2019,32,32,32,32,0.0,0.0,18
06/26/2019,32.25,32.25,32.25,32.25,0.0,0.0,02
06/25/2019,31.36,31.5388,31.19,31.54,0.0,0.0,792
06/24/2019,31.49,31.355,31.17,31.49,0.0,0.0,1200
06/21/2019,31.97,32.0466,31.97,32.0466,0.0,0.0,103
06/20/2019,30.87,31.41,30.87,31.41,0.0,0.0,688
06/19/2019,32.98,31.68,31.68,32.98,0.0,0.0,102
06/18/2019,32.44,32.8588,32.44,32.8588,0.0,0.0,334
06/17/2019,32.49,32.6652,32.49,32.6652,0.0,0.0,140
06/14/2019,32.15,32.5788,32.15,32.5788,0.0,0.0,103
06/13/2019,32.42,32.1401,32.1401,32.42,0.0,0.0,100
06/12/2019,32.62,32.9029,32.62,32.9029,0.0,0.0,203
06/11/2019,33.21,33.3037,33.21,33.3037,0.0,0.0,103
06/10/2019,32.91,33.0978,32.82,33.0978,0.0,0.0,1590
06/07/2019,32.55,32.6108,31.86,32.6108,0.0,0.0,4785
06/06/2019,33.0146,33.0146,33.0146,33.0146,0.0,0.0,30
06/05/2019,32.3,32.3668,32.14,32.4,0.0,0.0,402
06/04/2019,33.1909,33.1909,33.1909,33.1909,0.0,0.0,00
06/03/2019,33.1909,33.1909,33.1909,33.1909,0.0,0.0,00
05/31/2019,33.71,33.1909,33.1909,33.71,0.0,0.0,134
05/30/2019,35.0436,35.0436,35.0436,35.0436,0.0,0.0,00
05/29/2019,34.4301,35.0436,34.4301,35.0436,0.0,0.0,110
05/28/2019,35.1318,35.1318,35.1318,35.1318,0.0,0.0,01
05/24/2019,36.509,36.509,36.509,36.509,0.0,0.0,00
05/23/2019,36.509,36.509,36.509,36.509,0.0,0.0,00
05/22/2019,36.509,36.509,36.509,36.509,0.0,0.0,00
05/21/2019,36.4614,36.509,36.4614,36.509,0.0,0.0,200
05/20/2019,35.6898,35.6898,35.6898,35.6898,0.0,0.0,00
05/17/2019,35.64,35.6898,35.64,35.88,0.0,0.0,25400
05/16/2019,35.74,35.7691,35.74,35.7691,0.0,0.0,186
05/15/2019,33.93,35.4697,33.93,35.4697,0.0,0.0,827
05/14/2019,35.23,35.4585,35.23,35.71,0.0,0.0,200
05/13/2019,36.36,36.025,35.6473,36.36,0.0,0.0,5704
05/10/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/09/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/08/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/07/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/06/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/03/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/02/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
05/01/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/30/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/29/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/26/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/25/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/24/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/23/2019,37.1,37.1,37.1,37.1,0.0,0.0,00
04/22/2019,36.03,37.1,36.03,37.5,0.0,0.0,6397
04/18/2019,36.87,36.87,36.87,36.87,0.0,0.0,00
04/17/2019,36.87,36.87,36.87,36.87,0.0,0.0,00
04/16/2019,36.87,36.87,36.87,36.87,0.0,0.0,00
