Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,12.458,11.63,11.56,12.465,0.0,0.0,65068
07/15/2019,12.49,12.4,12.3035,12.795,0.0,0.0,84777
07/12/2019,12.5,12.48,12.45,12.56,0.0,0.0,62066
07/11/2019,12.92,12.5,12.36,12.99,0.0,0.0,80692
07/10/2019,12.884,12.8,12.675,12.98,0.0,0.0,44852
07/09/2019,12.71,12.8,12.61,12.86,0.0,0.0,53784
07/08/2019,12.9,12.61,12.6,12.98,0.0,0.0,83461
07/05/2019,12.9,12.87,12.665,13,0.0,0.0,34441
07/03/2019,12.98,12.92,12.73,12.98,0.0,0.0,31223
07/02/2019,12.8,12.95,12.8,13.14,0.0,0.0,29751
07/01/2019,13.11,12.84,12.7489,13.33,0.0,0.0,61319
06/28/2019,12.95,12.99,12.701,13.15,0.0,0.0,308696
06/27/2019,12.44,12.9,12.32,13.18,0.0,0.0,259010
06/26/2019,12.62,12.41,12.4,12.68,0.0,0.0,17592
06/25/2019,12.67,12.6,12.59,12.83,0.0,0.0,17621
06/24/2019,12.65,12.72,12.1163,12.87,0.0,0.0,79834
06/21/2019,12.64,12.7,12.2815,12.86,0.0,0.0,61912
06/20/2019,12.86,12.72,12.6785,12.9,0.0,0.0,30304
06/19/2019,12.94,12.8,12.68,13.06,0.0,0.0,38049
06/18/2019,12.77,12.85,12.63,13.03,0.0,0.0,26538
06/17/2019,12.96,12.95,12.74,13.06,0.0,0.0,50123
06/14/2019,13.02,12.97,12.8707,13.17,0.0,0.0,22120
06/13/2019,13,13.1,12.575,13.34,0.0,0.0,52879
06/12/2019,13.05,12.79,12.79,13.15,0.0,0.0,61398
06/11/2019,13.29,13.14,12.88,13.44,0.0,0.0,62449
06/10/2019,13.52,13.23,13.21,13.64,0.0,0.0,53629
06/07/2019,13.0619,13.49,13.0619,13.49,0.0,0.0,29923
06/06/2019,13.64,13.15,13,13.75,0.0,0.0,67311
06/05/2019,13.89,13.75,13.49,13.89,0.0,0.0,45532
06/04/2019,13.2,13.77,13.0704,14,0.0,0.0,174855
06/03/2019,13.07,13.2,13.07,13.425,0.0,0.0,123683
05/31/2019,13.59,13.08,13.08,13.98,0.0,0.0,114358
05/30/2019,13.75,13.6,13.13,14.18,0.0,0.0,72513
05/29/2019,13.87,13.86,13.69,14.32,0.0,0.0,74879
05/28/2019,13.07,13.8,13.07,14.0188,0.0,0.0,151096
05/24/2019,11.44,13.07,11.415,13.089,0.0,0.0,186307
05/23/2019,11.23,11.38,11.001,11.4299,0.0,0.0,94949
05/22/2019,11.37,11.25,11.24,11.52,0.0,0.0,65110
05/21/2019,11.17,11.5,11.05,11.71,0.0,0.0,347065
05/20/2019,10.6,11.2,10.17,11.54,0.0,0.0,178304
05/17/2019,10.47,10.48,10.185,10.55,0.0,0.0,123789
05/16/2019,9.99,10.53,9.89,10.74,0.0,0.0,1313322
05/15/2019,10.8,9.98,9.9406,11,0.0,0.0,79391
05/14/2019,11.174,10.99,10.93,11.47,0.0,0.0,22418
05/13/2019,11.98,11.4,11.19,12.2672,0.0,0.0,43525
05/10/2019,12.64,12,11.6982,12.965,0.0,0.0,51550
05/09/2019,12.7544,12.3,12.21,12.7544,0.0,0.0,15814
05/08/2019,12.9821,12.67,12.4386,12.9821,0.0,0.0,10389
05/07/2019,12.37,12.36,12.35,12.95,0.0,0.0,14350
05/06/2019,12.48,12.615,11.6801,12.8475,0.0,0.0,17404
05/03/2019,11.6191,12.4,11.6191,12.4,0.0,0.0,7990
05/02/2019,11.59,11.6,11.57,11.85,0.0,0.0,1855
05/01/2019,11.21,11.725,11.21,11.97,0.0,0.0,9947
04/30/2019,11.09,11.46,11.09,11.5,0.0,0.0,11075
04/29/2019,10.83,11.11,10.83,11.2985,0.0,0.0,3048
04/26/2019,10.8685,10.99,10.6538,11.0016,0.0,0.0,3647
04/25/2019,10.78,10.83,10.78,11.069,0.0,0.0,1806
04/24/2019,10.75,10.72,10.34,11.0701,0.0,0.0,25211
04/23/2019,10.322,10.74,10.26,10.74,0.0,0.0,4905
04/22/2019,10.37,10.51,10.37,10.51,0.0,0.0,845
04/18/2019,10.27,10.45,10.27,10.57,0.0,0.0,6774
04/17/2019,10.533,10.33,10.33,10.71,0.0,0.0,3873
04/16/2019,10.75,10.4,10.4,10.76,0.0,0.0,4475
