Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.25,0.25,0.25,0.25,0.0,0.0,500
07/15/2019,0.25,0.25,0.25,0.261,0.0,0.0,600
07/12/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
07/11/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
07/10/2019,0.26,0.26,0.26,0.26,0.0,0.0,500
07/09/2019,0.27,0.27,0.2697,0.3041,0.0,0.0,10600
07/08/2019,0.28,0.28,0.28,0.28,0.0,0.0,500
07/05/2019,0.29,0.29,0.29,0.29,0.0,0.0,500
07/03/2019,0.25,0.28,0.25,0.28,0.0,0.0,1200
07/02/2019,0.2596,0.2596,0.2596,0.2596,0.0,0.0,00
07/01/2019,0.26,0.2596,0.2596,0.26,0.0,0.0,1200
06/28/2019,0.21,0.2596,0.2,0.26,0.0,0.0,91552
06/27/2019,0.29,0.21,0.21,0.3294,0.0,0.0,10700
06/26/2019,0.3,0.3,0.3,0.3,0.0,0.0,200
06/25/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
06/24/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
06/21/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
06/20/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
06/19/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
06/18/2019,0.28,0.28,0.28,0.28,0.0,0.0,600
06/17/2019,0.29,0.29,0.29,0.29,0.0,0.0,100
06/14/2019,0.26,0.28,0.26,0.28,0.0,0.0,400
06/13/2019,0.27,0.27,0.27,0.27,0.0,0.0,500
06/12/2019,0.28,0.28,0.28,0.28,0.0,0.0,100
06/11/2019,0.23,0.23,0.23,0.23,0.0,0.0,00
06/10/2019,0.23,0.23,0.23,0.23,0.0,0.0,00
06/07/2019,0.26,0.23,0.204,0.26,0.0,0.0,21066
06/06/2019,0.3,0.27,0.25,0.3,0.0,0.0,1800
06/05/2019,0.3,0.3,0.3,0.3,0.0,0.0,600
06/04/2019,0.28,0.28,0.28,0.28,0.0,0.0,300
06/03/2019,0.28,0.28,0.28,0.28,0.0,0.0,1000
05/31/2019,0.28,0.28,0.28,0.28,0.0,0.0,200
05/30/2019,0.28,0.3,0.28,0.3,0.0,0.0,1100
05/29/2019,0.27,0.3,0.27,0.3,0.0,0.0,900
05/28/2019,0.3,0.3,0.3,0.3,0.0,0.0,300
05/24/2019,0.3,0.3,0.3,0.3,0.0,0.0,100
05/23/2019,0.29,0.29,0.29,0.29,0.0,0.0,500
05/22/2019,0.3,0.29,0.29,0.3,0.0,0.0,1000
05/21/2019,0.23,0.299,0.23,0.299,0.0,0.0,370
05/20/2019,0.3,0.28,0.28,0.3,0.0,0.0,400
05/17/2019,0.3,0.2999,0.2999,0.3,0.0,0.0,2310
05/16/2019,0.28,0.28,0.28,0.28,0.0,0.0,500
05/15/2019,0.29,0.29,0.29,0.29,0.0,0.0,300
05/14/2019,0.25,0.25,0.25,0.25,0.0,0.0,1000
05/13/2019,0.26,0.26,0.26,0.26,0.0,0.0,300
05/10/2019,0.26,0.26,0.26,0.26,0.0,0.0,100
05/09/2019,0.24,0.24,0.24,0.24,0.0,0.0,300
05/08/2019,0.225,0.24,0.225,0.24,0.0,0.0,700
05/07/2019,0.24,0.22,0.22,0.24,0.0,0.0,2100
05/06/2019,0.22,0.2389,0.22,0.24,0.0,0.0,17200
05/03/2019,0.2001,0.2001,0.2001,0.2001,0.0,0.0,00
05/02/2019,0.2,0.2001,0.2,0.2001,0.0,0.0,10000
05/01/2019,0.2001,0.2001,0.2001,0.2001,0.0,0.0,15300
04/30/2019,0.2001,0.2001,0.2001,0.2001,0.0,0.0,3000
04/29/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
04/26/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
04/25/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
04/24/2019,0.24,0.24,0.24,0.24,0.0,0.0,2000
04/23/2019,0.23,0.23,0.2001,0.23,0.0,0.0,700
04/22/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
04/18/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
04/17/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
04/16/2019,0.22,0.24,0.22,0.24,0.0,0.0,8000
