Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.26,1.22,1.2,1.2635,0.0,0.0,507780
07/15/2019,1.26,1.25,1.23,1.2961,0.0,0.0,175530
07/12/2019,1.28,1.26,1.25,1.31,0.0,0.0,206887
07/11/2019,1.24,1.28,1.23,1.29,0.0,0.0,305157
07/10/2019,1.3,1.25,1.24,1.3,0.0,0.0,215920
07/09/2019,1.27,1.28,1.23,1.3,0.0,0.0,189591
07/08/2019,1.27,1.27,1.23,1.3,0.0,0.0,300604
07/05/2019,1.25,1.26,1.25,1.3,0.0,0.0,244443
07/03/2019,1.27,1.26,1.25,1.28,0.0,0.0,309066
07/02/2019,1.27,1.27,1.27,1.31,0.0,0.0,277997
07/01/2019,1.27,1.27,1.27,1.33,0.0,0.0,238342
06/28/2019,1.3,1.27,1.27,1.3113,0.0,0.0,458690
06/27/2019,1.34,1.3,1.28,1.34,0.0,0.0,545238
06/26/2019,1.28,1.28,1.26,1.39,0.0,0.0,1206876
06/25/2019,1.3,1.27,1.27,1.31,0.0,0.0,174590
06/24/2019,1.29,1.29,1.28,1.3185,0.0,0.0,104014
06/21/2019,1.33,1.27,1.27,1.33,0.0,0.0,184317
06/20/2019,1.27,1.3,1.27,1.35,0.0,0.0,239745
06/19/2019,1.3,1.3,1.28,1.32,0.0,0.0,76019
06/18/2019,1.28,1.29,1.28,1.34,0.0,0.0,232153
06/17/2019,1.3,1.27,1.26,1.34,0.0,0.0,229884
06/14/2019,1.33,1.31,1.28,1.35,0.0,0.0,217177
06/13/2019,1.3,1.33,1.28,1.33,0.0,0.0,165785
06/12/2019,1.33,1.28,1.25,1.35,0.0,0.0,405366
06/11/2019,1.33,1.31,1.3,1.3598,0.0,0.0,295474
06/10/2019,1.32,1.33,1.3,1.37,0.0,0.0,223126
06/07/2019,1.33,1.3,1.3,1.39,0.0,0.0,439784
06/06/2019,1.35,1.32,1.3,1.36,0.0,0.0,443180
06/05/2019,1.5,1.31,1.31,1.57,0.0,0.0,1440169
06/04/2019,1.39,1.41,1.39,1.45,0.0,0.0,272827
06/03/2019,1.33,1.385,1.32,1.425,0.0,0.0,366808
05/31/2019,1.41,1.33,1.31,1.44,0.0,0.0,548325
05/30/2019,1.4,1.44,1.36,1.48,0.0,0.0,293736
05/29/2019,1.46,1.37,1.31,1.5,0.0,0.0,618774
05/28/2019,1.5,1.45,1.41,1.5,0.0,0.0,436091
05/24/2019,1.51,1.49,1.46,1.52,0.0,0.0,408082
05/23/2019,1.47,1.53,1.41,1.55,0.0,0.0,1131508
05/22/2019,1.24,1.37,1.18,1.5,0.0,0.0,7906523
05/21/2019,1.93,1.86,1.83,1.97,0.0,0.0,460614
05/20/2019,1.78,1.91,1.75,1.95,0.0,0.0,345177
05/17/2019,1.78,1.78,1.78,1.82,0.0,0.0,220255
05/16/2019,1.91,1.78,1.76,1.91,0.0,0.0,335103
05/15/2019,1.97,1.96,1.92,2.07,0.0,0.0,461849
05/14/2019,1.72,2.01,1.66,2.04,0.0,0.0,565134
05/13/2019,1.9,1.76,1.76,1.9,0.0,0.0,296715
05/10/2019,1.85,1.86,1.85,1.94,0.0,0.0,330501
05/09/2019,1.99,1.82,1.8,1.9909,0.0,0.0,604773
05/08/2019,2,2.02,2,2.06,0.0,0.0,240360
05/07/2019,2.1,2.01,2,2.1,0.0,0.0,314453
05/06/2019,2.13,2.11,2.09,2.18,0.0,0.0,227617
05/03/2019,2.11,2.2,2.07,2.2,0.0,0.0,269266
05/02/2019,2.18,2.13,2.09,2.2,0.0,0.0,235497
05/01/2019,2.25,2.17,2.15,2.2613,0.0,0.0,188361
04/30/2019,2.19,2.2,2.15,2.2,0.0,0.0,232676
04/29/2019,2.15,2.18,2.15,2.2,0.0,0.0,125019
04/26/2019,2.29,2.15,2.15,2.29,0.0,0.0,251151
04/25/2019,2.33,2.31,2.22,2.3534,0.0,0.0,182398
04/24/2019,2.35,2.36,2.325,2.37,0.0,0.0,63803
04/23/2019,2.24,2.37,2.23,2.4,0.0,0.0,150485
04/22/2019,2.23,2.27,2.23,2.27,0.0,0.0,100137
04/18/2019,2.24,2.23,2.19,2.27,0.0,0.0,198104
04/17/2019,2.43,2.26,2.24,2.43,0.0,0.0,458703
04/16/2019,2.5,2.44,2.4,2.5,0.0,0.0,160046
