Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,73.03,73.1773,73.03,73.321,0.0,0.0,1654
07/15/2019,72.9433,72.93,72.93,72.9433,0.0,0.0,2047
07/12/2019,73.08,72.88,72.87,73.08,0.0,0.0,504
07/11/2019,73.35,73.08,73.08,73.35,0.0,0.0,6387
07/10/2019,72.76,72.74,72.17,73.27,0.0,0.0,8332
07/09/2019,72.658,72.95,72.57,72.95,0.0,0.0,3799
07/08/2019,73,72.74,72.71,73.04,0.0,0.0,4203
07/05/2019,72.88,72.88,72.88,72.9,0.0,0.0,540
07/03/2019,73.33,73.35,73.14,73.35,0.0,0.0,2952
07/02/2019,72.72,73.08,72.7121,73.15,0.0,0.0,8162
07/01/2019,72.72,72.72,72.72,72.72,0.0,0.0,443
06/28/2019,72.842,72.575,72.527,72.842,0.0,0.0,3273
06/27/2019,72.31,72.31,72.31,72.31,0.0,0.0,00
06/26/2019,72.27,72.31,72.27,72.3835,0.0,0.0,2213
06/25/2019,72.43,72.19,72.19,72.43,0.0,0.0,413
06/24/2019,72.17,72.13,72.13,72.17,0.0,0.0,359
06/21/2019,72.46,72.54,72.46,72.54,0.0,0.0,985
06/20/2019,72.7103,72.7103,72.7103,72.7103,0.0,0.0,1050
06/19/2019,72.3078,72.68,72.1753,72.68,0.0,0.0,1564
06/18/2019,71.67,71.67,71.67,71.67,0.0,0.0,00
06/17/2019,71.7,71.67,71.67,71.7,0.0,0.0,369
06/14/2019,72.22,71.96,71.96,72.22,0.0,0.0,3897
06/13/2019,71.8929,71.83,71.83,72,0.0,0.0,1542
06/12/2019,71.8651,72.0168,71.8651,72.0168,0.0,0.0,439
06/11/2019,71.33,71.33,71.33,71.33,0.0,0.0,00
06/10/2019,71.33,71.33,71.33,71.33,0.0,0.0,392
06/07/2019,71.33,71.33,71.33,71.33,0.0,0.0,00
06/06/2019,71.6,71.33,71.33,71.6,0.0,0.0,5209
06/05/2019,72.0635,71.49,71.49,72.0635,0.0,0.0,888
06/04/2019,71.1946,71.1946,71.1946,71.1946,0.0,0.0,00
06/03/2019,71.5,71.1946,71.1946,71.5919,0.0,0.0,950
05/31/2019,71.5043,71.5043,71.5043,71.5043,0.0,0.0,209
05/30/2019,71.15,71.15,71.15,71.15,0.0,0.0,00
05/29/2019,71.15,71.15,71.15,71.15,0.0,0.0,107
05/28/2019,71.8371,71.8371,71.8371,71.8371,0.0,0.0,00
05/24/2019,71.382,71.8371,71.382,72.05,0.0,0.0,1096
05/23/2019,71.12,71.579,71.09,71.58,0.0,0.0,6045
05/22/2019,71.6297,71.6297,71.6297,71.6297,0.0,0.0,411
05/21/2019,71.5,71.3953,71.3953,71.5,0.0,0.0,508
05/20/2019,71.09,71.2134,71.09,71.4,0.0,0.0,5816
05/17/2019,71.2,71.565,71.15,71.565,0.0,0.0,1585
05/16/2019,71.35,71.3023,71.3023,71.35,0.0,0.0,308
05/15/2019,71.12,71.12,71.12,71.12,0.0,0.0,00
05/14/2019,71.23,71.12,71.12,71.23,0.0,0.0,1218
05/13/2019,71.28,71.25,71.25,71.5635,0.0,0.0,730
05/10/2019,71.12,71.12,71.12,71.12,0.0,0.0,00
05/09/2019,71.12,71.12,71.12,71.12,0.0,0.0,00
05/08/2019,71.1,71.12,71.1,71.12,0.0,0.0,344
05/07/2019,71.28,71.1,71.1,71.35,0.0,0.0,14367
05/06/2019,71.5514,71.12,71.12,71.5514,0.0,0.0,2035
05/03/2019,71.4955,71.55,71.4955,71.55,0.0,0.0,2004
05/02/2019,71.5365,71.39,71.39,71.5365,0.0,0.0,1702
05/01/2019,71.3929,71.4794,71.2904,71.4794,0.0,0.0,1290
04/30/2019,71.1,71.48,71.07,71.48,0.0,0.0,5019
04/29/2019,71.19,71.09,71.09,71.41,0.0,0.0,4854
04/26/2019,71.05,71.09,71.02,71.26,0.0,0.0,6729
04/25/2019,71.15,71.0069,70.88,71.15,0.0,0.0,6200
04/24/2019,71.2701,71.2701,71.2701,71.2701,0.0,0.0,00
04/23/2019,71.2701,71.2701,71.2701,71.2701,0.0,0.0,00
04/22/2019,71.2701,71.2701,71.2701,71.2701,0.0,0.0,00
04/18/2019,71.22,71.2701,71.1953,71.5,0.0,0.0,7335
04/17/2019,71.2532,71.49,71.0401,71.49,0.0,0.0,13114
04/16/2019,71.2006,71.2006,71.2006,71.2006,0.0,0.0,653
