Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,57.7,57.36,57.29,57.86,0.0,0.0,124896
07/15/2019,57.82,57.39,56.79,58.1,0.0,0.0,175333
07/12/2019,57.73,57.51,55.44,57.84,0.0,0.0,294804
07/11/2019,57.17,57.85,57.17,58.05,0.0,0.0,162348
07/10/2019,57.22,57.35,56.31,58.07,0.0,0.0,205833
07/09/2019,56.25,56.92,55.67,57.05,0.0,0.0,245540
07/08/2019,57.61,56.8,56.68,57.61,0.0,0.0,224548
07/05/2019,57.49,57.8,56.5,57.85,0.0,0.0,178381
07/03/2019,57.78,57.84,57.16,57.94,0.0,0.0,99306
07/02/2019,56.86,57.53,56.31,58.135,0.0,0.0,226173
07/01/2019,57.44,57.01,56.26,58.88,0.0,0.0,299989
06/28/2019,55.99,56.92,55.9,58.21,0.0,0.0,727641
06/27/2019,55.35,56.28,55.025,56.3,0.0,0.0,222021
06/26/2019,56.77,55.28,54.74,57.27,0.0,0.0,255352
06/25/2019,56.51,56.57,55.98,56.79,0.0,0.0,255285
06/24/2019,56.74,56.32,55.78,57.44,0.0,0.0,216231
06/21/2019,56.97,56.52,56.11,57.2,0.0,0.0,322201
06/20/2019,58.06,57.29,56.72,58.19,0.0,0.0,359132
06/19/2019,56.12,57.62,55.7,57.66,0.0,0.0,245957
06/18/2019,57.94,56.25,56.2,58.35,0.0,0.0,246697
06/17/2019,56.67,57.62,56.29,57.77,0.0,0.0,424220
06/14/2019,55.89,56.61,55.37,56.72,0.0,0.0,191229
06/13/2019,55.25,55.66,54.51,55.66,0.0,0.0,205336
06/12/2019,54.49,55,54.3,55.29,0.0,0.0,213223
06/11/2019,55.34,54.49,53.91,55.96,0.0,0.0,243659
06/10/2019,55.21,55.34,55.09,56.23,0.0,0.0,246401
06/07/2019,54.15,55.11,53.6,55.1934,0.0,0.0,236937
06/06/2019,53.72,53.93,53.0575,54.68,0.0,0.0,274469
06/05/2019,53.75,53.6,53.13,53.97,0.0,0.0,202464
06/04/2019,52.81,53.51,52.5,54.035,0.0,0.0,272736
06/03/2019,53.36,53.01,52.48,54.21,0.0,0.0,232414
05/31/2019,52.98,53.26,52.34,53.75,0.0,0.0,262979
05/30/2019,53.95,53.5,53.33,54.45,0.0,0.0,180584
05/29/2019,54.54,53.35,52.89,54.66,0.0,0.0,365424
05/28/2019,55,55.11,54.715,55.69,0.0,0.0,378012
05/24/2019,54.12,55.27,54.09,55.65,0.0,0.0,269648
05/23/2019,55.98,53.74,53.55,56.03,0.0,0.0,271942
05/22/2019,56.32,56.2,55.03,56.9242,0.0,0.0,309374
05/21/2019,56.53,56.66,56.055,58.14,0.0,0.0,381972
05/20/2019,55.65,56.1,54.88,56.595,0.0,0.0,238404
05/17/2019,56.64,56.14,55.6,56.93,0.0,0.0,482038
05/16/2019,56.11,57.16,55.99,57.2786,0.0,0.0,482381
05/15/2019,55.5,55.96,55.27,56.36,0.0,0.0,358987
05/14/2019,56.2,55.63,55.41,56.99,0.0,0.0,534967
05/13/2019,52.82,56.04,52.5,56.3535,0.0,0.0,659659
05/10/2019,52.3,53.97,51.92,53.9825,0.0,0.0,329035
05/09/2019,51.16,52.11,50.45,52.455,0.0,0.0,204989
05/08/2019,51.26,51.81,50.65,52.902,0.0,0.0,350227
05/07/2019,53.25,50.91,50.15,53.45,0.0,0.0,592800
05/06/2019,50.39,52.03,49.82,52.42,0.0,0.0,273792
05/03/2019,50.89,51.42,50.15,51.47,0.0,0.0,252553
05/02/2019,51.06,50.8,50.16,51.61,0.0,0.0,158479
05/01/2019,51.75,50.88,50.82,51.75,0.0,0.0,490435
04/30/2019,51.48,51.52,50.63,52.267,0.0,0.0,350447
04/29/2019,51.6,51.33,50.8,52.0995,0.0,0.0,258269
04/26/2019,50.6,51.55,50.07,51.75,0.0,0.0,209673
04/25/2019,50.31,50.55,49.885,50.83,0.0,0.0,243549
04/24/2019,50.2,50.51,49.93,51,0.0,0.0,227789
04/23/2019,48.86,50.26,48.57,50.89,0.0,0.0,232625
04/22/2019,48.37,48.71,47.96,49.13,0.0,0.0,180692
04/18/2019,47.4,48.25,47.18,48.93,0.0,0.0,226655
04/17/2019,48.85,47.55,46.06,48.85,0.0,0.0,415354
04/16/2019,52.05,48.51,48.3,52.28,0.0,0.0,271930
