Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,5.546,5.5,5.45,5.59,0.0,0.0,12390
07/15/2019,5.596,5.47,5.47,5.79,0.0,0.0,3932
07/12/2019,5.531,5.5,5.48,5.6,0.0,0.0,8291
07/11/2019,5.49,5.5,5.46,5.708,0.0,0.0,8751
07/10/2019,5.594,5.51,5.49,6.14,0.0,0.0,14330
07/09/2019,5.511,5.5,5.45,5.55,0.0,0.0,7201
07/08/2019,5.5,5.5,5.43,5.75,0.0,0.0,9573
07/05/2019,5.31,5.5,5.31,5.65,0.0,0.0,6680
07/03/2019,5.6,5.51,5.5,5.85,0.0,0.0,33536
07/02/2019,6.53,5.6,5.6,7.45,0.0,0.0,57876
07/01/2019,5.72,5.44,5.4,5.74,0.0,0.0,30974
06/28/2019,5.72,5.66,5.52,5.85,0.0,0.0,476123
06/27/2019,5.782,5.75,5.7,5.87,0.0,0.0,18335
06/26/2019,5.98,5.7,5.7,5.98,0.0,0.0,29684
06/25/2019,5.69,5.92,5.69,6.04,0.0,0.0,21910
06/24/2019,6,5.63,5.63,6.21,0.0,0.0,40294
06/21/2019,6.05,6,5.92,6.2,0.0,0.0,24034
06/20/2019,6,6.1,5.9,6.4041,0.0,0.0,32406
06/19/2019,6,6.01,5.905,6.2297,0.0,0.0,45068
06/18/2019,6,6.06,5.96,6.145,0.0,0.0,24966
06/17/2019,5.97,6.01,5.91,6.215,0.0,0.0,30358
06/14/2019,5.9,6,5.87,6.07,0.0,0.0,31893
06/13/2019,5.96,6.03,5.805,6.125,0.0,0.0,37652
06/12/2019,5.98,6,5.75,6.42,0.0,0.0,44693
06/11/2019,6.28,6.01,5.92,6.58,0.0,0.0,17498
06/10/2019,6.04,6.18,5.9614,6.49,0.0,0.0,21579
06/07/2019,5.98,6.01,5.74,6.26,0.0,0.0,18933
06/06/2019,6.3,6,5.79,6.3,0.0,0.0,14438
06/05/2019,6.19,6.25,6.05,6.6152,0.0,0.0,14013
06/04/2019,6.4,6.34,6.25,6.78,0.0,0.0,7633
06/03/2019,6.32,6.39,6.1,6.59,0.0,0.0,35484
05/31/2019,6.45,6.45,6.25,6.7829,0.0,0.0,23951
05/30/2019,6.2,6.6,6.01,6.9,0.0,0.0,35207
05/29/2019,6.42,6.17,6.105,6.42,0.0,0.0,14299
05/28/2019,6.19,6.2,6.05,6.39,0.0,0.0,7500
05/24/2019,6.11,6.07,6,6.25,0.0,0.0,11306
05/23/2019,6.68,6.11,6.02,7.35,0.0,0.0,15166
05/22/2019,7.008,6.59,6.59,7.71,0.0,0.0,11138
05/21/2019,6.52,7.73,6.37,7.76,0.0,0.0,36186
05/20/2019,6.14,6.57,6.11,6.618,0.0,0.0,15625
05/17/2019,6.1,6.13,6.07,6.3,0.0,0.0,2604
05/16/2019,6.05,6.12,6.05,6.3838,0.0,0.0,5289
05/15/2019,6.1,6.05,6,6.3748,0.0,0.0,13415
05/14/2019,6.1,6.1,6,6.5536,0.0,0.0,56643
05/13/2019,5.98,6.08,5.98,6.615,0.0,0.0,18343
05/10/2019,6.067,5.98,5.88,6.21,0.0,0.0,16680
05/09/2019,6.085,6.04,5.7285,6.2701,0.0,0.0,10448
05/08/2019,7.82,6.08,5.965,8.03,0.0,0.0,105702
05/07/2019,6.26,7.71,6,8,0.0,0.0,27469
05/06/2019,6.2,6.92,6,7.28,0.0,0.0,7109
05/03/2019,6.39,6.75,6.34,6.75,0.0,0.0,6655
05/02/2019,6.37,6.33,6.0501,6.58,0.0,0.0,92978
05/01/2019,5.5,6.39,5.5,6.44,0.0,0.0,17157
04/30/2019,6.23,6.24,6.23,6.24,0.0,0.0,5540
04/29/2019,6,6.14,5.975,6.4681,0.0,0.0,57608
04/26/2019,5.37,5.99,5.3265,6.2625,0.0,0.0,10192
04/25/2019,5.457,5.38,5.35,5.53,0.0,0.0,17829
04/24/2019,5.65,5.28,5.28,5.65,0.0,0.0,8444
04/23/2019,5.73,5.42,5.3,6.29,0.0,0.0,22633
04/22/2019,5.49,5.51,5.49,6.34,0.0,0.0,32424
04/18/2019,5.44,5.35,5.12,6.05,0.0,0.0,36386
04/17/2019,6.1,5.48,5.48,6.1,0.0,0.0,54241
04/16/2019,6.22,5.65,5.65,6.45,0.0,0.0,31007
