Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,135,136.37,134.6,136.54,0.0,0.0,1314585
07/15/2019,135,134.74,133.9,135.2,0.0,0.0,1472977
07/12/2019,134.11,134.58,133.71,134.76,0.0,0.0,1044825
07/11/2019,133.33,133.94,132.874,133.99,0.0,0.0,994857
07/10/2019,133.83,133.3,132.77,134.485,0.0,0.0,1143600
07/09/2019,132.16,133.45,132.16,133.71,0.0,0.0,827152
07/08/2019,134.58,132.48,132.13,135.03,0.0,0.0,1127719
07/05/2019,134.16,135.12,132.92,135.17,0.0,0.0,736356
07/03/2019,134.09,134.88,133.0601,135,0.0,0.0,733550
07/02/2019,133.23,134.01,132.32,134.05,0.0,0.0,1047508
07/01/2019,133.95,133.24,132.12,134.2,0.0,0.0,1282311
06/28/2019,130.39,133.03,130.3402,133.29,0.0,0.0,1710069
06/27/2019,128.39,130.14,127.95,130.32,0.0,0.0,1029461
06/26/2019,130.04,127.66,127.52,130.71,0.0,0.0,1502381
06/25/2019,130.82,129.75,129.69,131.6,0.0,0.0,1007880
06/24/2019,131,130.23,130.1201,131.95,0.0,0.0,1047418
06/21/2019,129.68,130.48,128.65,131.14,0.0,0.0,1731209
06/20/2019,130,129.6,129.07,130.8,0.0,0.0,1305135
06/19/2019,127.34,129.64,126.95,129.94,0.0,0.0,1692087
06/18/2019,127.69,127.59,127.37,129.17,0.0,0.0,1308603
06/17/2019,126.63,127.06,126.12,128.4,0.0,0.0,1357905
06/14/2019,125.79,126.81,124.92,127.84,0.0,0.0,1632481
06/13/2019,124.91,125.63,124.48,126.34,0.0,0.0,1308994
06/12/2019,122.89,124.22,122.3501,124.51,0.0,0.0,1213229
06/11/2019,122.51,123.06,122.5,124.16,0.0,0.0,1376894
06/10/2019,123.2,121.75,121.54,124.49,0.0,0.0,1468170
06/07/2019,120.88,122.6,120.56,122.94,0.0,0.0,1384676
06/06/2019,121,120.52,119.4301,122.23,0.0,0.0,1949210
06/05/2019,120.2,120.57,118.78,120.62,0.0,0.0,1543899
06/04/2019,117.01,120.15,117.01,120.4,0.0,0.0,2118113
06/03/2019,114.62,116.17,114.62,116.92,0.0,0.0,1738333
05/31/2019,115.17,115,114.86,116.14,0.0,0.0,1422800
05/30/2019,116.11,116.1,115.7,116.81,0.0,0.0,1381714
05/29/2019,115.44,116.02,115.17,116.5,0.0,0.0,1460167
05/28/2019,116.04,115.99,115.63,117.22,0.0,0.0,1588725
05/24/2019,117,115.92,115.69,117.74,0.0,0.0,1416762
05/23/2019,114.58,116.44,114.58,117.39,0.0,0.0,1417261
05/22/2019,116.26,116.71,116.26,117.75,0.0,0.0,1029915
05/21/2019,117.25,117.48,116.38,117.909,0.0,0.0,1450744
05/20/2019,115.24,116.48,114.475,116.965,0.0,0.0,2485790
05/17/2019,117.75,116.26,116.02,118.22,0.0,0.0,1793147
05/16/2019,119.33,118.17,117.995,120.44,0.0,0.0,2238671
05/15/2019,118.7,119.14,118.32,120.95,0.0,0.0,1724499
05/14/2019,117.55,119.56,117.0501,119.9225,0.0,0.0,2271161
05/13/2019,116.17,116.77,115.07,117.03,0.0,0.0,2155063
05/10/2019,120.23,118.76,117.2,120.62,0.0,0.0,2343018
05/09/2019,120.06,119.3,118.27,120.87,0.0,0.0,1550804
05/08/2019,122.23,121.87,120.6,122.8,0.0,0.0,1574606
05/07/2019,123.1,122.87,122.47,125.34,0.0,0.0,2425188
05/06/2019,124.52,124.09,123.45,125.94,0.0,0.0,1889226
05/03/2019,124.39,127.1,123,127.18,0.0,0.0,3869929
05/02/2019,128.56,128.23,126.47,128.93,0.0,0.0,2238317
05/01/2019,130.03,128.81,128.69,131.71,0.0,0.0,1604177
04/30/2019,129.39,129.84,128.66,130.1,0.0,0.0,1800032
04/29/2019,127.61,129.98,127.59,130.64,0.0,0.0,1789242
04/26/2019,125.89,127.76,125.32,129.2,0.0,0.0,1834057
04/25/2019,124.62,125.22,123.96,126.39,0.0,0.0,1328218
04/24/2019,126,124.49,124.31,126.5,0.0,0.0,1251893
04/23/2019,124.45,125.88,124.1,126.48,0.0,0.0,1619034
04/22/2019,124.34,124.35,123.78,124.76,0.0,0.0,1591118
04/18/2019,125.17,124.51,123.68,125.17,0.0,0.0,1154639
04/17/2019,126.59,124.82,123.15,127.06,0.0,0.0,1985379
04/16/2019,127.96,125.99,125.79,128.24,0.0,0.0,2014434
