Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.75,6.74,6.69,6.77,0.0,0.0,726644
07/15/2019,6.8,6.74,6.71,6.86,0.0,0.0,583243
07/12/2019,6.71,6.77,6.67,6.8,0.0,0.0,708365
07/11/2019,6.64,6.69,6.54,6.7,0.0,0.0,868964
07/10/2019,6.64,6.6,6.49,6.68,0.0,0.0,859748
07/09/2019,6.46,6.59,6.43,6.6,0.0,0.0,530480
07/08/2019,6.43,6.46,6.3818,6.57,0.0,0.0,762851
07/05/2019,6.47,6.5,6.47,6.57,0.0,0.0,675050
07/03/2019,6.55,6.52,6.49,6.57,0.0,0.0,277738
07/02/2019,6.55,6.51,6.45,6.59,0.0,0.0,670360
07/01/2019,6.68,6.59,6.495,6.68,0.0,0.0,967181
06/28/2019,6.25,6.47,6.1513,6.515,0.0,0.0,2269622
06/27/2019,6.06,6.2,5.99,6.21,0.0,0.0,1971943
06/26/2019,5.98,5.99,5.86,6.145,0.0,0.0,2449670
06/25/2019,5.65,5.73,5.63,5.86,0.0,0.0,1715718
06/24/2019,5.72,5.64,5.49,5.7778,0.0,0.0,2836020
06/21/2019,5.78,5.72,5.63,5.84,0.0,0.0,1668768
06/20/2019,5.91,5.8,5.78,5.97,0.0,0.0,723247
06/19/2019,5.75,5.84,5.7,5.86,0.0,0.0,769401
06/18/2019,5.66,5.7,5.66,5.85,0.0,0.0,1105686
06/17/2019,5.6,5.6,5.56,5.73,0.0,0.0,1016418
06/14/2019,5.92,5.58,5.56,5.92,0.0,0.0,1049405
06/13/2019,5.8,5.94,5.8,5.975,0.0,0.0,770675
06/12/2019,5.83,5.76,5.73,5.9,0.0,0.0,567242
06/11/2019,5.86,5.85,5.765,5.95,0.0,0.0,951659
06/10/2019,5.89,5.79,5.78,6.025,0.0,0.0,1242403
06/07/2019,5.66,5.85,5.6,5.89,0.0,0.0,1416508
06/06/2019,5.79,5.65,5.59,5.82,0.0,0.0,659662
06/05/2019,5.69,5.8,5.585,5.85,0.0,0.0,1539833
06/04/2019,5.48,5.65,5.445,5.68,0.0,0.0,2231049
06/03/2019,5.67,5.41,5.37,5.69,0.0,0.0,1524842
05/31/2019,5.64,5.63,5.58,5.67,0.0,0.0,968353
05/30/2019,5.71,5.75,5.71,5.85,0.0,0.0,1321455
05/29/2019,5.75,5.69,5.665,5.78,0.0,0.0,1530679
05/28/2019,5.91,5.79,5.77,5.99,0.0,0.0,639910
05/24/2019,5.92,5.89,5.87,5.98,0.0,0.0,855098
05/23/2019,5.9,5.84,5.84,6.005,0.0,0.0,987167
05/22/2019,6.09,6.02,6,6.14,0.0,0.0,1135218
05/21/2019,6.1,6.14,6.04,6.225,0.0,0.0,1295489
05/20/2019,6,6.03,5.8925,6.155,0.0,0.0,1129999
05/17/2019,6.22,6.07,6.01,6.29,0.0,0.0,1172215
05/16/2019,6.24,6.31,6.211,6.33,0.0,0.0,707802
05/15/2019,6.16,6.21,6.16,6.28,0.0,0.0,714709
05/14/2019,6.13,6.23,6.1185,6.29,0.0,0.0,796469
05/13/2019,6.21,6.12,6.09,6.3,0.0,0.0,1097466
05/10/2019,6.26,6.4,6.18,6.42,0.0,0.0,1168374
05/09/2019,6.38,6.31,6.24,6.4,0.0,0.0,1094878
05/08/2019,6.46,6.43,6.42,6.64,0.0,0.0,1387328
05/07/2019,6.52,6.52,6.44,6.63,0.0,0.0,1226283
05/06/2019,6.53,6.64,6.53,6.705,0.0,0.0,1216183
05/03/2019,6.45,6.72,6.42,6.75,0.0,0.0,1854331
05/02/2019,7.01,6.39,6.37,7.01,0.0,0.0,3223964
05/01/2019,6.85,6.84,6.3,7.28,0.0,0.0,6248488
04/30/2019,8.08,8,7.88,8.18,0.0,0.0,1884312
04/29/2019,7.99,8.11,7.87,8.27,0.0,0.0,1958363
04/26/2019,7.93,7.99,7.8,7.99,0.0,0.0,1038897
04/25/2019,8.2,7.98,7.95,8.25,0.0,0.0,982857
04/24/2019,7.94,8.26,7.92,8.28,0.0,0.0,2132486
04/23/2019,7.74,7.97,7.6901,7.97,0.0,0.0,1271205
04/22/2019,7.7,7.72,7.68,7.885,0.0,0.0,1734325
04/18/2019,7.73,7.75,7.54,7.78,0.0,0.0,923199
04/17/2019,7.95,7.75,7.73,8.01,0.0,0.0,1019903
04/16/2019,7.67,7.87,7.63,7.97,0.0,0.0,1061828
