Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.214,0.21,0.21,0.214,0.0,0.0,1465
07/15/2019,0.22,0.229,0.219,0.23,0.0,0.0,7026
07/12/2019,0.2027,0.2027,0.2027,0.2027,0.0,0.0,00
07/11/2019,0.201,0.2027,0.2,0.2027,0.0,0.0,8320
07/10/2019,0.2,0.201,0.2,0.201,0.0,0.0,975
07/09/2019,0.211,0.211,0.211,0.211,0.0,0.0,100
07/08/2019,0.2032,0.232,0.2032,0.24,0.0,0.0,2829
07/05/2019,0.23,0.23,0.23,0.23,0.0,0.0,400
07/03/2019,0.24,0.24,0.24,0.24,0.0,0.0,00
07/02/2019,0.225,0.24,0.211,0.24,0.0,0.0,4200
07/01/2019,0.225,0.24,0.224,0.2452,0.0,0.0,42848
06/28/2019,0.21,0.23,0.2046,0.23,0.0,0.0,53945
06/27/2019,0.2155,0.24,0.2155,0.24,0.0,0.0,54624
06/26/2019,0.2,0.22,0.2,0.25,0.0,0.0,150554
06/25/2019,0.1802,0.1711,0.171,0.1802,0.0,0.0,2781
06/24/2019,0.191,0.191,0.191,0.191,0.0,0.0,2500
06/21/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/20/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/19/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/18/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/17/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/14/2019,0.18,0.17,0.17,0.18,0.0,0.0,1756
06/13/2019,0.1799,0.1799,0.1799,0.1799,0.0,0.0,732
06/12/2019,0.17,0.17,0.1691,0.198,0.0,0.0,2984
06/11/2019,0.19,0.17,0.17,0.19,0.0,0.0,10752
06/10/2019,0.15,0.15,0.15,0.15,0.0,0.0,404
06/07/2019,0.19,0.187,0.187,0.19,0.0,0.0,5673
06/06/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
06/05/2019,0.16,0.16,0.16,0.19,0.0,0.0,10556
06/04/2019,0.16,0.19,0.14,0.19,0.0,0.0,43559
06/03/2019,0.17,0.17,0.16,0.215,0.0,0.0,12973
05/31/2019,0.19,0.185,0.17,0.19,0.0,0.0,10000
05/30/2019,0.17,0.1825,0.17,0.185,0.0,0.0,28409
05/29/2019,0.16,0.17,0.16,0.21,0.0,0.0,34700
05/28/2019,0.18,0.18,0.1692,0.185,0.0,0.0,13308
05/24/2019,0.21,0.21,0.19,0.2211,0.0,0.0,60417
05/23/2019,0.2499,0.2499,0.2499,0.2499,0.0,0.0,00
05/22/2019,0.2,0.2499,0.18,0.25,0.0,0.0,37782
05/21/2019,0.2,0.23,0.2,0.23,0.0,0.0,1735
05/20/2019,0.22,0.23,0.2,0.23,0.0,0.0,2600
05/17/2019,0.25,0.2499,0.19,0.25,0.0,0.0,109807
05/16/2019,0.2399,0.25,0.225,0.25,0.0,0.0,43480
05/15/2019,0.2001,0.214,0.2,0.22,0.0,0.0,11610
05/14/2019,0.21,0.21,0.21,0.21,0.0,0.0,100
05/13/2019,0.21,0.21,0.21,0.21,0.0,0.0,00
05/10/2019,0.21,0.21,0.21,0.21,0.0,0.0,00
05/09/2019,0.21,0.21,0.21,0.21,0.0,0.0,100
05/08/2019,0.2,0.2399,0.191,0.2399,0.0,0.0,1553
05/07/2019,0.2,0.238,0.2,0.239,0.0,0.0,3243
05/06/2019,0.17,0.24,0.17,0.24,0.0,0.0,41629
05/03/2019,0.2101,0.2199,0.2101,0.2199,0.0,0.0,1580
05/02/2019,0.2101,0.2101,0.2101,0.2101,0.0,0.0,800
05/01/2019,0.2111,0.2128,0.2111,0.23,0.0,0.0,11898
04/30/2019,0.21,0.21,0.21,0.21,0.0,0.0,00
04/29/2019,0.2488,0.21,0.19,0.2488,0.0,0.0,10593
04/26/2019,0.21,0.21,0.21,0.21,0.0,0.0,732
04/25/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
04/24/2019,0.22,0.22,0.22,0.22,0.0,0.0,2146
04/23/2019,0.24,0.22,0.22,0.24,0.0,0.0,5727
04/22/2019,0.2142,0.23,0.2142,0.23,0.0,0.0,5894
04/18/2019,0.25,0.2478,0.2478,0.25,0.0,0.0,4565
04/17/2019,0.262,0.269,0.2607,0.274,0.0,0.0,1822
04/16/2019,0.28,0.271,0.2575,0.285,0.0,0.0,14629
