Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.74,26.6,26.6,26.77,0.0,0.0,3823
07/15/2019,26.81,26.673,26.61,26.81,0.0,0.0,11800
07/12/2019,26.77,26.7268,26.7108,26.775,0.0,0.0,3948
07/11/2019,26.88,26.6801,26.6801,26.88,0.0,0.0,3380
07/10/2019,26.71,26.6897,26.6607,26.74,0.0,0.0,10783
07/09/2019,26.69,26.67,26.617,26.7799,0.0,0.0,4537
07/08/2019,26.785,26.66,26.66,26.785,0.0,0.0,7217
07/05/2019,26.52,26.6667,26.52,26.6667,0.0,0.0,2647
07/03/2019,26.61,26.6351,26.57,26.729,0.0,0.0,9305
07/02/2019,26.74,26.6899,26.6401,26.7628,0.0,0.0,21957
07/01/2019,26.64,26.74,26.6252,26.75,0.0,0.0,19378
06/28/2019,26.71,26.64,26.615,26.73,0.0,0.0,3473
06/27/2019,26.78,26.7135,26.71,26.78,0.0,0.0,5068
06/26/2019,26.81,26.825,26.741,26.825,0.0,0.0,6793
06/25/2019,26.8365,26.7841,26.7841,26.8365,0.0,0.0,4043
06/24/2019,26.86,26.8,26.7483,26.86,0.0,0.0,13963
06/21/2019,26.85,26.85,26.8001,26.89,0.0,0.0,39933
06/20/2019,26.67,26.7678,26.67,26.78,0.0,0.0,29809
06/19/2019,26.7,26.67,26.62,26.7,0.0,0.0,13711
06/18/2019,26.69,26.6583,26.62,26.71,0.0,0.0,31323
06/17/2019,26.53,26.64,26.5135,26.66,0.0,0.0,34672
06/14/2019,26.5704,26.5697,26.53,26.5833,0.0,0.0,8272
06/13/2019,26.5905,26.5622,26.531,26.5905,0.0,0.0,2987
06/12/2019,26.5868,26.5145,26.5145,26.5868,0.0,0.0,3483
06/11/2019,26.6235,26.6101,26.5801,26.68,0.0,0.0,6425
06/10/2019,26.69,26.61,26.61,26.69,0.0,0.0,1885
06/07/2019,26.64,26.6799,26.6,26.6799,0.0,0.0,11336
06/06/2019,26.3675,26.55,26.3675,26.55,0.0,0.0,4818
06/05/2019,26.4686,26.47,26.4,26.5092,0.0,0.0,5775
06/04/2019,26.53,26.52,26.43,26.53,0.0,0.0,8859
06/03/2019,26.6352,26.5271,26.5271,26.6399,0.0,0.0,6993
05/31/2019,26.6282,26.6095,26.55,26.631,0.0,0.0,33883
05/30/2019,26.6633,26.6681,26.6507,26.7026,0.0,0.0,6142
05/29/2019,26.63,26.6826,26.61,26.7092,0.0,0.0,3954
05/28/2019,26.7899,26.7664,26.7321,26.8096,0.0,0.0,3629
05/24/2019,26.7865,26.785,26.7341,26.7896,0.0,0.0,5941
05/23/2019,26.84,26.7617,26.75,26.84,0.0,0.0,12904
05/22/2019,26.994,26.9584,26.942,27,0.0,0.0,1410
05/21/2019,27.0417,27,26.9507,27.0517,0.0,0.0,8385
05/20/2019,26.9841,27.009,26.9772,27.0508,0.0,0.0,5219
05/17/2019,27.06,27.06,27.02,27.0655,0.0,0.0,3878
05/16/2019,27.1299,27.07,27.01,27.1299,0.0,0.0,5947
05/15/2019,26.92,27.0727,26.92,27.0822,0.0,0.0,4122
05/14/2019,27,26.9718,26.9339,27,0.0,0.0,2962
05/13/2019,27.0697,26.9401,26.9401,27.0852,0.0,0.0,13853
05/10/2019,26.9925,27,26.9793,27.03,0.0,0.0,7004
05/09/2019,26.926,26.9768,26.9,26.98,0.0,0.0,4836
05/08/2019,26.95,26.954,26.94,26.9929,0.0,0.0,3060
05/07/2019,26.99,26.9599,26.9356,26.99,0.0,0.0,4650
05/06/2019,27.0675,27.0771,27.061,27.12,0.0,0.0,7687
05/03/2019,26.984,27.0656,26.984,27.09,0.0,0.0,3892
05/02/2019,26.98,26.9799,26.91,26.98,0.0,0.0,5404
05/01/2019,27.1,27.03,26.98,27.17,0.0,0.0,103083
04/30/2019,27.1,27.0935,27.0386,27.1292,0.0,0.0,24461
04/29/2019,27.069,27.0242,26.9956,27.0698,0.0,0.0,3762
04/26/2019,27.1,27.019,26.9608,27.1,0.0,0.0,17258
04/25/2019,27.17,27.12,27.09,27.19,0.0,0.0,3556
04/24/2019,27.16,27.1657,27.1141,27.17,0.0,0.0,2882
04/23/2019,27.08,27.16,27.08,27.17,0.0,0.0,7856
04/22/2019,27.15,27.144,27.1077,27.1699,0.0,0.0,5032
04/18/2019,26.9801,27.0594,26.97,27.0627,0.0,0.0,447719
04/17/2019,27.1,27.08,27.0307,27.1,0.0,0.0,5395
04/16/2019,26.98,27.0199,26.9257,27.03,0.0,0.0,12152
