Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,54.26,54.16,54.11,54.3673,0.0,0.0,3708
07/15/2019,53.98,53.925,53.91,53.98,0.0,0.0,760
07/12/2019,53.63,54.2116,53.63,54.2408,0.0,0.0,2736
07/11/2019,53.6955,53.6078,53.38,53.6955,0.0,0.0,5302
07/10/2019,54.03,53.7589,53.54,54.03,0.0,0.0,5167
07/09/2019,53.525,53.625,53.525,53.6284,0.0,0.0,2574
07/08/2019,54.335,53.962,53.92,54.335,0.0,0.0,1902
07/05/2019,53.88,54.34,53.88,54.34,0.0,0.0,2819
07/03/2019,54,54.13,54,54.145,0.0,0.0,1883
07/02/2019,54,53.8375,53.65,54.02,0.0,0.0,2908
07/01/2019,54.4962,54.09,54.025,54.4962,0.0,0.0,2057
06/28/2019,53.6,53.83,53.6,53.94,0.0,0.0,3810
06/27/2019,53.05,53.05,52.9074,53.0562,0.0,0.0,2642
06/26/2019,52.84,52.73,52.72,52.8954,0.0,0.0,2650
06/25/2019,52.55,52.4768,52.46,52.62,0.0,0.0,3690
06/24/2019,53.125,52.7457,52.738,53.1578,0.0,0.0,1408
06/21/2019,53.125,53.228,53.125,53.46,0.0,0.0,5691
06/20/2019,53.35,53.395,53.1228,53.395,0.0,0.0,5589
06/19/2019,52.948,52.84,52.8245,53.03,0.0,0.0,2115
06/18/2019,53.2,52.971,52.92,53.21,0.0,0.0,2455
06/17/2019,52.59,52.3973,52.27,52.59,0.0,0.0,1701
06/14/2019,52.2456,52.4,52.2456,52.42,0.0,0.0,2590
06/13/2019,52.55,52.7301,52.55,52.87,0.0,0.0,1594
06/12/2019,52.3668,52.3582,52.2276,52.37,0.0,0.0,2022
06/11/2019,52.8716,52.55,52.55,52.8716,0.0,0.0,1352
06/10/2019,52.8386,52.5828,52.47,52.8386,0.0,0.0,11683
06/07/2019,52.24,52.2353,52.2339,52.3378,0.0,0.0,5234
06/06/2019,51.75,52.0441,51.51,52.0441,0.0,0.0,3076
06/05/2019,51.924,51.8211,51.53,51.924,0.0,0.0,5883
06/04/2019,50.95,51.775,50.95,51.775,0.0,0.0,4258
06/03/2019,50.36,50.642,50.3142,50.642,0.0,0.0,922
05/31/2019,50.13,50.1616,50.09,50.1616,0.0,0.0,762
05/30/2019,51.02,51.02,51.02,51.02,0.0,0.0,319
05/29/2019,51.03,51.21,50.9495,51.2223,0.0,0.0,904
05/28/2019,51.89,51.51,51.51,52.031,0.0,0.0,3827
05/24/2019,51.8,52.0601,51.7975,52.0601,0.0,0.0,21606
05/23/2019,51.94,51.64,51.64,52.0041,0.0,0.0,1001
05/22/2019,52.92,52.8498,52.82,53.0338,0.0,0.0,10335
05/21/2019,53.3824,53.4767,53.3824,53.5848,0.0,0.0,4589
05/20/2019,52.86,52.72,52.72,53.0441,0.0,0.0,1804
05/17/2019,53.5001,53.25,53.25,53.6032,0.0,0.0,3051
05/16/2019,54.0138,53.8356,53.78,54.1196,0.0,0.0,5195
05/15/2019,52.9958,53.57,52.9958,53.5808,0.0,0.0,2312
05/14/2019,52.71,53.5402,52.71,53.5402,0.0,0.0,2846
05/13/2019,52.9299,52.7061,52.705,52.9299,0.0,0.0,1752
05/10/2019,54.0968,54.49,53.7,54.49,0.0,0.0,1517
05/09/2019,54.33,54.4456,53.92,54.45,0.0,0.0,1603
05/08/2019,54.6652,54.8024,54.6652,54.91,0.0,0.0,1736
05/07/2019,55.0905,54.6225,54.49,55.0905,0.0,0.0,3383
05/06/2019,55.51,55.89,55.51,55.89,0.0,0.0,1763
05/03/2019,55.65,55.9836,55.65,55.9836,0.0,0.0,1267
05/02/2019,55.56,55.23,55.23,55.56,0.0,0.0,758
05/01/2019,55.94,55.5326,55.5326,56.119,0.0,0.0,4588
04/30/2019,55.6899,55.95,55.62,56.0568,0.0,0.0,1729
04/29/2019,55.73,56.04,55.73,56.2,0.0,0.0,3230
04/26/2019,55.3322,55.84,55.3322,55.84,0.0,0.0,3085
04/25/2019,55.7371,55.62,55.4758,55.9298,0.0,0.0,2025
04/24/2019,56.03,56.2301,55.67,56.38,0.0,0.0,5014
04/23/2019,55.7895,56.18,55.63,56.2787,0.0,0.0,2017
04/22/2019,55.7408,55.63,55.5609,55.7408,0.0,0.0,3036
04/18/2019,55.87,56.0799,55.87,56.0799,0.0,0.0,3923
04/17/2019,55.882,55.9371,55.882,55.9371,0.0,0.0,891
04/16/2019,55.7,55.9188,55.7,55.9188,0.0,0.0,804
