Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.25,26.25,25.72,26.25,0.0,0.0,739
07/15/2019,28.86,26.1216,26.1216,28.86,0.0,0.0,8958
07/12/2019,25.91,26.0901,25.91,26.24,0.0,0.0,1382
07/11/2019,26.4661,26.0961,25.91,26.4661,0.0,0.0,8965
07/10/2019,25.9436,25.99,25.9107,26.02,0.0,0.0,5062
07/09/2019,26.16,26.03,26.02,27.4458,0.0,0.0,4179
07/08/2019,25.89,26.0025,25.89,26.0025,0.0,0.0,1266
07/05/2019,25.88,26.0032,25.88,26.0032,0.0,0.0,2312
07/03/2019,25.8943,25.8943,25.8943,25.8943,0.0,0.0,884
07/02/2019,25.77,25.9048,25.6719,25.96,0.0,0.0,3543
07/01/2019,25.62,25.777,25.5438,25.78,0.0,0.0,7691
06/28/2019,25.68,25.6657,25.6657,25.68,0.0,0.0,1680
06/27/2019,25.54,25.6288,25.54,25.6288,0.0,0.0,1329
06/26/2019,25.52,25.6,25.498,25.6,0.0,0.0,610
06/25/2019,25.6384,25.6379,25.5,25.6384,0.0,0.0,1914
06/24/2019,25.68,25.5968,25.5,25.68,0.0,0.0,1814
06/21/2019,25.46,25.64,25.46,25.64,0.0,0.0,1733
06/20/2019,25.58,25.58,25.57,25.58,0.0,0.0,813
06/19/2019,25.57,25.51,25.51,25.57,0.0,0.0,418
06/18/2019,25.6,25.48,25.48,25.6,0.0,0.0,917
06/17/2019,25.58,25.48,25.48,25.7,0.0,0.0,7152
06/14/2019,25.49,25.6023,25.49,25.6023,0.0,0.0,885
06/13/2019,25.61,25.6385,25.49,25.6385,0.0,0.0,2695
06/12/2019,25.5526,25.5526,25.5526,25.5526,0.0,0.0,354
06/11/2019,25.4721,25.68,25.4721,25.68,0.0,0.0,618
06/10/2019,25.56,25.5989,25.56,25.6386,0.0,0.0,1221
06/07/2019,25.5,25.5,25.4127,25.55,0.0,0.0,2588
06/06/2019,25.506,25.52,25.495,25.52,0.0,0.0,974
06/05/2019,25.49,25.55,25.49,25.55,0.0,0.0,1536
06/04/2019,25.4854,25.5099,25.4854,25.5799,0.0,0.0,1330
06/03/2019,25.5356,25.4231,25.4231,25.6,0.0,0.0,1758
05/31/2019,25.5832,25.57,25.48,25.6068,0.0,0.0,1498
05/30/2019,25.6482,25.6482,25.6482,25.6482,0.0,0.0,250
05/29/2019,25.47,25.6774,25.47,25.68,0.0,0.0,2556
05/28/2019,25.6775,25.6775,25.6775,25.6775,0.0,0.0,00
05/24/2019,25.45,25.6775,25.45,25.6775,0.0,0.0,3047
05/23/2019,25.9001,25.58,25.35,26.05,0.0,0.0,13486
05/22/2019,26.09,25.9942,25.9942,26.09,0.0,0.0,1126
05/21/2019,26.06,25.9574,25.8121,26.11,0.0,0.0,4680
05/20/2019,25.7893,25.7893,25.7893,25.7893,0.0,0.0,362
05/17/2019,25.94,25.7786,25.7786,25.94,0.0,0.0,342
05/16/2019,25.95,25.7,25.7,25.97,0.0,0.0,1455
05/15/2019,25.6929,25.9278,25.6805,25.9278,0.0,0.0,1821
05/14/2019,25.47,25.6001,25.47,25.739,0.0,0.0,4211
05/13/2019,25.46,25.5855,25.4,25.6625,0.0,0.0,2368
05/10/2019,25.54,25.53,25.53,25.54,0.0,0.0,321
05/09/2019,25.42,25.469,25.42,25.469,0.0,0.0,507
05/08/2019,25.5385,25.5201,25.4525,25.5385,0.0,0.0,1068
05/07/2019,25.55,25.5166,25.5,25.55,0.0,0.0,3085
05/06/2019,25.5413,25.5413,25.5413,25.5413,0.0,0.0,553
05/03/2019,25.5884,25.5884,25.5884,25.5884,0.0,0.0,362
05/02/2019,25.5884,25.51,25.43,25.5884,0.0,0.0,2797
05/01/2019,25.4086,25.43,25.4,25.59,0.0,0.0,5234
04/30/2019,25.4,25.5319,25.4,25.5794,0.0,0.0,678
04/29/2019,25.531,25.53,25.53,25.531,0.0,0.0,657
04/26/2019,25.3813,25.57,25.3813,25.57,0.0,0.0,749
04/25/2019,25.5,25.4591,25.4591,25.5,0.0,0.0,3342
04/24/2019,25.38,25.5027,25.38,25.58,0.0,0.0,2637
04/23/2019,25.37,25.485,25.35,25.5977,0.0,0.0,3075
04/22/2019,25.38,25.38,25.38,25.38,0.0,0.0,00
04/18/2019,25.7,25.38,25.38,25.7,0.0,0.0,780
04/17/2019,25.79,25.55,25.55,25.79,0.0,0.0,633
04/16/2019,25.6472,25.6472,25.6472,25.6472,0.0,0.0,286
