Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,14.05,13.95,13.9,14.11,0.0,0.0,22157
07/15/2019,14.1381,14.08,14.08,14.1381,0.0,0.0,1690
07/12/2019,14.25,14.17,14.08,14.38,0.0,0.0,4556
07/11/2019,14.13,14.17,14.05,14.17,0.0,0.0,6522
07/10/2019,14.15,14.16,13.99,14.16,0.0,0.0,8429
07/09/2019,14.02,14.05,13.855,14.095,0.0,0.0,4734
07/08/2019,14,14,13.95,14,0.0,0.0,5381
07/05/2019,13.89,13.92,13.76,14.13,0.0,0.0,5926
07/03/2019,14.04,13.93,13.79,14.04,0.0,0.0,3757
07/02/2019,13.9,14.02,13.755,14.1,0.0,0.0,12599
07/01/2019,14.24,14.11,13.91,14.34,0.0,0.0,12482
06/28/2019,14.102,14.15,13.87,14.48,0.0,0.0,65855
06/27/2019,13.65,14.04,13.62,14.04,0.0,0.0,29259
06/26/2019,13.8,13.66,13.66,13.97,0.0,0.0,11728
06/25/2019,13.57,13.69,13.4,13.867,0.0,0.0,5944
06/24/2019,13.5782,13.49,13.3,13.8323,0.0,0.0,35843
06/21/2019,13.74,13.61,13.26,13.88,0.0,0.0,43771
06/20/2019,14.13,13.87,13.8,14.1336,0.0,0.0,15862
06/19/2019,14.45,14.04,14.04,14.45,0.0,0.0,9764
06/18/2019,14.13,14.39,14.13,14.42,0.0,0.0,9286
06/17/2019,14.822,14.27,13.9,14.841,0.0,0.0,24367
06/14/2019,15.01,14.78,14.78,15.03,0.0,0.0,8108
06/13/2019,15,15.11,14.75,15.13,0.0,0.0,17186
06/12/2019,15.03,14.85,14.79,15.06,0.0,0.0,7427
06/11/2019,15.23,15.06,15.05,15.26,0.0,0.0,28382
06/10/2019,15.16,15.22,15.06,15.29,0.0,0.0,10195
06/07/2019,15.265,15.24,15.07,15.33,0.0,0.0,4429
06/06/2019,15.16,15.2,15.06,15.36,0.0,0.0,10428
06/05/2019,15.33,15.43,15.265,15.43,0.0,0.0,2750
06/04/2019,15.5,15.5,15.285,15.66,0.0,0.0,12423
06/03/2019,15.05,15.39,15.05,15.5,0.0,0.0,26686
05/31/2019,15.05,15.16,15.05,15.21,0.0,0.0,19198
05/30/2019,15.17,15.05,15.05,15.17,0.0,0.0,12577
05/29/2019,15.26,15.06,15.055,15.2878,0.0,0.0,11426
05/28/2019,15.1956,15.16,15.11,15.3665,0.0,0.0,8042
05/24/2019,15.21,15.5,15.12,15.5858,0.0,0.0,13370
05/23/2019,15.55,15.18,15.11,15.82,0.0,0.0,14150
05/22/2019,15.72,15.56,15.56,15.72,0.0,0.0,2594
05/21/2019,15.68,15.72,15.54,15.848,0.0,0.0,4623
05/20/2019,15.52,15.77,15.52,15.77,0.0,0.0,1030
05/17/2019,16.01,15.83,15.83,16.05,0.0,0.0,5457
05/16/2019,16.5107,16,16,16.5107,0.0,0.0,4143
05/15/2019,16.4,16.28,16.07,16.495,0.0,0.0,4128
05/14/2019,16.25,16.57,16.24,16.57,0.0,0.0,4486
05/13/2019,16.16,16.13,16.13,16.535,0.0,0.0,10290
05/10/2019,16.32,16.32,16.11,16.59,0.0,0.0,5114
05/09/2019,16.52,16.42,16.19,16.7,0.0,0.0,8796
05/08/2019,16.955,16.5,16.49,16.99,0.0,0.0,15600
05/07/2019,16.37,16.67,16.37,16.72,0.0,0.0,6475
05/06/2019,16.82,16.64,16.5,16.89,0.0,0.0,9267
05/03/2019,16.61,17,16.4,17.24,0.0,0.0,15157
05/02/2019,16.34,16.52,16.34,16.59,0.0,0.0,7487
05/01/2019,16.42,16.66,16.42,17,0.0,0.0,22226
04/30/2019,16.54,16.73,16.48,16.73,0.0,0.0,42099
04/29/2019,16.71,16.69,16.55,16.71,0.0,0.0,7631
04/26/2019,16.74,16.75,16.55,16.75,0.0,0.0,3582
04/25/2019,16.7867,16.69,16.52,16.7867,0.0,0.0,5573
04/24/2019,15.85,16.51,15.85,16.7,0.0,0.0,11389
04/23/2019,16.05,16.2,15.76,16.25,0.0,0.0,59285
04/22/2019,16.35,16.04,16.01,16.405,0.0,0.0,11616
04/18/2019,16.46,16.49,16.09,16.68,0.0,0.0,12297
04/17/2019,16.6,16.54,16.485,16.71,0.0,0.0,14709
04/16/2019,16.43,16.62,16.43,16.96,0.0,0.0,33559
