Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,27.91,27.85,27.635,27.96,0.0,0.0,4920360
07/15/2019,28.25,27.81,27.74,28.25,0.0,0.0,5823356
07/12/2019,27.98,28.2,27.82,28.23,0.0,0.0,4309447
07/11/2019,27.81,28.05,27.6,28.16,0.0,0.0,5608609
07/10/2019,28.28,27.64,27.6,28.3,0.0,0.0,5723851
07/09/2019,27.81,28.26,27.78,28.285,0.0,0.0,4312814
07/08/2019,28.24,28.06,27.95,28.24,0.0,0.0,4645428
07/05/2019,28.32,28.35,28.23,28.64,0.0,0.0,2636095
07/03/2019,27.85,28.1,27.72,28.11,0.0,0.0,2299998
07/02/2019,28.24,27.71,27.645,28.42,0.0,0.0,5008461
07/01/2019,28.19,28.32,28.06,28.48,0.0,0.0,6267098
06/28/2019,27.5,27.9,27.23,27.945,0.0,0.0,8183298
06/27/2019,27.16,27.29,27.07,27.52,0.0,0.0,4030967
06/26/2019,27.23,27.26,27.16,27.48,0.0,0.0,5545111
06/25/2019,27.13,27.09,26.8,27.28,0.0,0.0,7386738
06/24/2019,27.4,27.18,27.1,27.66,0.0,0.0,6383835
06/21/2019,27.24,27.36,27.2,27.58,0.0,0.0,11605940
06/20/2019,27.42,27.3,26.76,27.4999,0.0,0.0,8431689
06/19/2019,28,27.29,27.23,28.39,0.0,0.0,8695994
06/18/2019,26.98,27.88,26.9,27.91,0.0,0.0,8542691
06/17/2019,27.39,26.97,26.895,27.63,0.0,0.0,7111837
06/14/2019,27.23,27.39,26.97,27.48,0.0,0.0,5843756
06/13/2019,27.26,27.21,27.14,27.54,0.0,0.0,6341893
06/12/2019,27.25,27.11,26.95,27.37,0.0,0.0,7410237
06/11/2019,27.22,27.41,27.19,27.64,0.0,0.0,6272182
06/10/2019,27.13,27.02,26.94,27.32,0.0,0.0,6921705
06/07/2019,27.03,26.83,26.76,27.07,0.0,0.0,5782361
06/06/2019,27.15,27.09,26.84,27.25,0.0,0.0,6160875
06/05/2019,27.26,27.17,26.83,27.35,0.0,0.0,7697284
06/04/2019,27.04,27.33,26.955,27.34,0.0,0.0,8037261
06/03/2019,26.43,26.57,26.29,26.95,0.0,0.0,6703649
05/31/2019,26.61,26.5,26.4,26.7,0.0,0.0,8431373
05/30/2019,27.31,26.89,26.63,27.5,0.0,0.0,4868443
05/29/2019,26.89,27.25,26.84,27.295,0.0,0.0,6506693
05/28/2019,27.22,27.06,27.02,27.39,0.0,0.0,7925490
05/24/2019,27.17,27.23,27.07,27.35,0.0,0.0,5542096
05/23/2019,27.06,27.02,26.84,27.2,0.0,0.0,8023659
05/22/2019,27.2,27.36,27.18,27.44,0.0,0.0,4767335
05/21/2019,27.44,27.42,27.265,27.6,0.0,0.0,4823177
05/20/2019,27.19,27.37,27.19,27.575,0.0,0.0,5004674
05/17/2019,26.95,27.28,26.94,27.6,0.0,0.0,7313900
05/16/2019,27.17,27.24,27.14,27.61,0.0,0.0,4422809
05/15/2019,27.01,27,26.63,27.2,0.0,0.0,7111331
05/14/2019,27.16,27.38,27.13,27.64,0.0,0.0,7171201
05/13/2019,27.3,27.08,27.04,27.83,0.0,0.0,8909771
05/10/2019,27.64,28.03,27.435,28.13,0.0,0.0,4444625
05/09/2019,27.42,27.83,27.2893,27.92,0.0,0.0,5357370
05/08/2019,28.01,27.74,27.72,28.206,0.0,0.0,5807608
05/07/2019,28.4,28.08,27.9,28.6,0.0,0.0,6630424
05/06/2019,28.45,28.8,28.29,28.98,0.0,0.0,6461319
05/03/2019,28.96,28.98,28.86,29.18,0.0,0.0,5559769
05/02/2019,28.55,28.83,28.55,29.04,0.0,0.0,6301170
05/01/2019,28.8,28.5,28.28,29.13,0.0,0.0,10078050
04/30/2019,28.74,28.82,28.51,28.91,0.0,0.0,5842527
04/29/2019,28.45,28.75,28.41,29.045,0.0,0.0,6440418
04/26/2019,28.32,28.4,28.11,28.44,0.0,0.0,6213339
04/25/2019,28.16,28.26,27.97,28.53,0.0,0.0,7492084
04/24/2019,28.13,28.28,27.74,28.395,0.0,0.0,7726808
04/23/2019,27.44,28.35,27.285,28.475,0.0,0.0,11389860
04/22/2019,27.25,27.56,27.22,27.72,0.0,0.0,8935219
04/18/2019,27.73,27.5,27.28,27.82,0.0,0.0,7824873
04/17/2019,27.75,27.71,27.53,27.99,0.0,0.0,6068268
04/16/2019,27.13,27.73,27.04,27.805,0.0,0.0,8182340
