Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.84,7.77,7.77,7.99,0.0,0.0,101540
07/15/2019,7.9,7.85,7.75,7.9,0.0,0.0,160227
07/12/2019,7.96,7.84,7.79,7.98,0.0,0.0,212288
07/11/2019,8.14,7.94,7.86,8.24,0.0,0.0,238975
07/10/2019,8.27,8.13,8.125,8.3829,0.0,0.0,117478
07/09/2019,8.16,8.31,8,8.32,0.0,0.0,118312
07/08/2019,8.25,8.2,8.14,8.37,0.0,0.0,138991
07/05/2019,8.48,8.29,8.03,8.49,0.0,0.0,104191
07/03/2019,8.4,8.52,8.23,8.72,0.0,0.0,97660
07/02/2019,8.48,8.38,8.35,8.55,0.0,0.0,155456
07/01/2019,8.45,8.56,8.45,8.8195,0.0,0.0,299688
06/28/2019,8.33,8.4,8.12,8.66,0.0,0.0,4796875
06/27/2019,8.23,8.3,8.2,8.49,0.0,0.0,210507
06/26/2019,8,8.25,8,8.4,0.0,0.0,216303
06/25/2019,7.85,7.87,7.76,8.14,0.0,0.0,219493
06/24/2019,7.95,7.82,7.81,8,0.0,0.0,129718
06/21/2019,8.12,7.9,7.55,8.21,0.0,0.0,183463
06/20/2019,7.96,8.05,7.92,8.46,0.0,0.0,142093
06/19/2019,8.01,7.91,7.86,8.1,0.0,0.0,203051
06/18/2019,7.6,8.07,7.5978,8.08,0.0,0.0,168537
06/17/2019,7.77,7.54,7.54,7.77,0.0,0.0,181577
06/14/2019,7.12,7.49,7.055,7.53,0.0,0.0,131115
06/13/2019,7.1,7.07,6.985,7.2791,0.0,0.0,132551
06/12/2019,7.41,7.06,6.95,7.48,0.0,0.0,87230
06/11/2019,7.33,7.4,7.24,7.53,0.0,0.0,86072
06/10/2019,7.32,7.26,6.91,7.365,0.0,0.0,537308
06/07/2019,7.44,7.38,7.27,7.55,0.0,0.0,160670
06/06/2019,7.3,7.38,7.12,7.41,0.0,0.0,70359
06/05/2019,7.4,7.24,7.01,7.4,0.0,0.0,135630
06/04/2019,7.53,7.35,7.26,7.9752,0.0,0.0,247677
06/03/2019,7.38,7.53,7.34,7.63,0.0,0.0,169072
05/31/2019,7.25,7.38,7.01,7.43,0.0,0.0,213470
05/30/2019,7.4,7.24,7.19,7.41,0.0,0.0,337668
05/29/2019,7.87,7.31,7.22,8,0.0,0.0,454584
05/28/2019,7.58,7.34,7.24,7.68,0.0,0.0,287296
05/24/2019,7.52,7.54,7.3,7.56,0.0,0.0,406303
05/23/2019,7.48,7.35,7,7.6,0.0,0.0,198100
05/22/2019,7.89,7.62,7.47,7.9,0.0,0.0,298076
05/21/2019,7.89,7.9,7.76,7.96,0.0,0.0,310382
05/20/2019,7.79,7.87,7.79,8.03,0.0,0.0,199032
05/17/2019,8.1,7.85,7.81,8.17,0.0,0.0,114318
05/16/2019,7.98,8.01,7.92,8.205,0.0,0.0,371669
05/15/2019,7.98,8.14,7.98,8.16,0.0,0.0,303621
05/14/2019,8.18,7.97,7.96,8.18,0.0,0.0,171272
05/13/2019,8.22,8.14,7.84,8.3547,0.0,0.0,267062
05/10/2019,8.2,8.21,8.1,8.3,0.0,0.0,203014
05/09/2019,8.21,8.16,8.1,8.3,0.0,0.0,189774
05/08/2019,8.04,8.15,8.04,8.26,0.0,0.0,117928
05/07/2019,8.09,8.09,8,8.41,0.0,0.0,145978
05/06/2019,8.26,8.26,8.14,8.46,0.0,0.0,539106
05/03/2019,8.31,8.3,8.07,8.5,0.0,0.0,48134
05/02/2019,8.53,8.25,8.25,8.54,0.0,0.0,54486
05/01/2019,8.68,8.55,8.375,8.77,0.0,0.0,148857
04/30/2019,8.95,8.67,8.28,8.95,0.0,0.0,277678
04/29/2019,8.86,8.88,8.86,8.97,0.0,0.0,85504
04/26/2019,8.97,8.89,8.83,9.03,0.0,0.0,69914
04/25/2019,8.95,9.02,8.95,9.05,0.0,0.0,61963
04/24/2019,9.13,8.95,8.88,9.13,0.0,0.0,155943
04/23/2019,9.06,9.06,8.94,9.2,0.0,0.0,81520
04/22/2019,9.02,9.08,9.02,9.29,0.0,0.0,63105
04/18/2019,9.26,9.05,8.96,9.26,0.0,0.0,55216
04/17/2019,9,9.25,8.98,9.29,0.0,0.0,262985
04/16/2019,8.97,8.98,8.87,9.2,0.0,0.0,103856
